gene_symbol_of_protein_target	index_cpd
ABL1	150;411;450;457
AHR	222;470
AKT1	113;333;356
ALK	267;395
APH1A	144;158;343;435
ATM	167;171;220
AURKA	157;309;384
AURKB	309;332;384
BCL2	130;146;183;300;324;415;481
BCL2L1	130;146;183;294;300;415
BCL2L2	300;415
BCR	411;457
BRAF	105;133;134;164;241;301;353;462
BRD2	94;221
BRD3	94;221
BRD4	94;221
CASP3	196;460
CDK1	122;341;359;371
CDK2	122;240;341;359
CDK4	341;359
CDK5	122;341;371
CDK7	240;341
CDK9	122;197;240;341
DNMT1	2;78;402;444
DRD2	147;446
EGFR	151;176;269;333;345;365;375;392;413;426
EHMT2	178;374;380;431
EIF4A2	109;162
EIF4E	109;162
EIF4G1	109;162
ERBB2	151;269;345;365;426
ESR1	53;466
EZH2	237;276;326
F2R	138;465
FAAH	93;228;416
FGFR1	184;260
FGFR2	184;260
FGFR3	184;260
FLT1	185;193;232;238;260;284;299;382;432;480
FLT3	157;164;193;232;238;260;273;284;299;382;442;467;480
FNTA	328;330;397
GPER1	52;53
GSK3B	132;410
HDAC1	59;70;80;110;141;168;246;279;336;348;393;404;407;425
HDAC2	59;70;80;110;141;246;279;336;348;393;404;407
HDAC3	59;70;141;189;246;256;279;336;393;407
HDAC6	59;62;70;141;246;272;279;296;336;361;393;407
HDAC8	59;70;141;246;272;279;336;393;407;441
HMGCR	34;44;159
HSP90AA1	304;368;409
HSPA1A	200;472
HSPA1B	200;472
HSPA1L	200;472
IDH1	7;45
IGF1R	97;120;127;212
IKBKB	111;121;274
INSR	97;212
JAK1	288;344;436
JAK2	68;116;288;344;436
KDR	79;134;164;172;185;193;232;238;254;260;273;284;299;382;392;432;462;480
KIT	134;172;193;232;238;254;263;367;382;411;442;457
MAP2K1	36;115;302
MAP2K2	36;115;302
MAPK1	98;477
MAPK14	378;419
MCL1	1;130;215;303
MDM2	11;61;139;314;461
MEN1	335;451
MET	76;79;149;204;273;299;395
MGMT	181;452
MTOR	90;95;114;352;355;362;385;423;433
NAMPT	160;255;305;417
NCSTN	144;158;343;435
NR1D1	5;399
PARP1	69;434
PARP2	69;434
PDGFRA	193;232;238;254;260;367
PDGFRB	193;232;238;260;367;382
PIK3CA	90;114;282;292;295;355;385
PIK3CB	30;90;114;261;282;295;306;329;355;385
PIK3CD	90;114;282;306;317;329;340;355;385;386
PIK3CG	90;114;190;282;329;340;355;385
PKM	245;405
PLD2	198;321
PLK1	295;327;342;448;455
PRKDC	101;355;385
PSEN1	144;158;343;435
PSENEN	144;158;343;435
PSMB1	315;439
PSMB2	315;439
PSMB5	315;398;439
PSMD1	315;439
PSMD2	315;439
RAF1	164;241
RARA	92;252;338;370
RARB	89;252;338;370;463
RARG	83;173;187;252;338;370
RET	134;273
RRM1	119;126
SIRT1	41;286;391
SIRT2	41;201
SPHK1	156;403
SRC	150;194;263;450
STAT3	219;233
TERT	81;153
TGFBR1	225;351;394
TOP1	28;298
TOP2A	25;227;453
TP53	61;128;166;264;461;472
TYMS	126;170
UGCG	88;98
USP13	381;424
USP14	243;251
USP5	243;381
XIAP	75;143
XPO1	180;322;369
