index_ccl	ccl_name	snp_fp_status	culture_media	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1	cell_line_cluster_id	master_ccl_id
1	CHP212	SNP-not-tested	EMEM001	autonomic_ganglia	neuroblastoma		440;513;552;589;607;628;638;647;651;657;660	144
2	IMR32	SNP-matched-reference	EMEM001	autonomic_ganglia	neuroblastoma		288;333;475;513;552;589;607;628;638;647;651;657;660	475
3	KELLY	SNP-matched-reference	RPMI001	autonomic_ganglia	neuroblastoma		23;116;259;393;423;480;556;569;601;604;615;624;631;638;647;651;657;660	528
4	KPNSI9S	SNP-not-tested	RPMI001	autonomic_ganglia	neuroblastoma		98;138;199;377;460;485;542;567;600;609;624;631;638;647;651;657;660	571
5	KPNYN	SNP-matched-reference	RPMI001	autonomic_ganglia	neuroblastoma		620;652;655;657;660	572
6	MHHNB11	SNP-matched-reference	RPMI001	autonomic_ganglia	neuroblastoma		505;541;592;632;641;654;659;660	678
7	NB1	SNP-matched-reference	RPMI001	autonomic_ganglia	neuroblastoma		23;116;259;393;423;480;556;569;601;604;615;624;631;638;647;651;657;660	720
8	NH6	SNP-matched-reference	ALPHAMEM002	autonomic_ganglia	neuroblastoma		91;333;475;513;552;589;607;628;638;647;651;657;660	852
9	SIMA	SNP-matched-reference	RPMI001	autonomic_ganglia	neuroblastoma		592;632;641;654;659;660	1030
10	SKNAS	SNP-matched-reference	DMEM012	autonomic_ganglia	neuroblastoma		107;281;331;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1051
11	SKNBE2	SNP-matched-reference	EMEMF12001	autonomic_ganglia	neuroblastoma		214;406;485;542;567;600;609;624;631;638;647;651;657;660	1052
12	SKNDZ	SNP-not-tested	DMEM001	autonomic_ganglia	neuroblastoma		339;475;513;552;589;607;628;638;647;651;657;660	1053
13	SKNFI	SNP-matched-reference	DMEM012	autonomic_ganglia	neuroblastoma		440;513;552;589;607;628;638;647;651;657;660	1055
14	SKNSH	SNP-matched-reference	EMEM001	autonomic_ganglia	neuroblastoma		91;333;475;513;552;589;607;628;638;647;651;657;660	1058
