index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
1	ML311	BRD-A40802033	66	probe	MCL1	inhibitor of MCL1	65;132;227;336;358;372;425;447;476;478;479	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O	290356
2	zebularine	BRD-A01145011	590	probe	DNMT1	inhibitor of DNA methyltransferases	368;429;468;477	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O	411739
3	BRD-A02303741	BRD-A02303741	55	probe	DOT1L	inhibitor of histone methyltransferases	332;402;453;466;469;472;476;478;479	CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(N)ncnc12	659371
4	importazole	BRD-A02481876	200	probe	KPNB1	inhibitor of importin	81;228;345;383;450;471;477	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1	46792
5	SR8278	BRD-A02904414	66	probe	NR1D1	antagonist of Rev-ErbAalpha	378;424;442;456;466;469;472;476;478;479	CCOC(=O)C1Cc2ccccc2CN1C(=O)c1ccc(SC)s1	668858
6	elocalcitol	BRD-A04287157	66	clinical	VDR	agonist of vitamin D receptor	306;331;410;438;445;467;475;479	CCC(O)(CC)\C=C\CC(C)C1=CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](F)C1=C	660319
7	BRD-A05715709	BRD-A05715709	66	probe	IDH1	putative inhibitor of IDH1 R132H	258;390;415;448;468;477	Cc1ccccc1C(N(C(=O)Cc1ccncc1)c1cccc(F)c1)C(=O)NC1CCCCC1	660342
8	docetaxel	BRD-A05821830	66	FDA		inhibitor of microtubule assembly	87;96;140;199;227;336;358;372;425;447;476;478;479	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C	660364
9	cyclophosphamide	BRD-A09722536	130	FDA		DNA alkylator	203;339;389;463;473;478;479	ClCCN(CCCl)P1(=O)NCCCO1	32620
10	3-Cl-AHPC	BRD-A09890259	66	probe	NR0B2	binder of nuclear receptor SHP	15;90;116;184;312;404;423;445;467;475;479	OC(=O)\C=C\c1ccc(c(Cl)c1)-c1ccc(O)c(c1)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2	660796
11	nutlin-3	BRD-A12230535	150	clinical	MDM2	inhibitor of p53-MDM2 interaction	252;328;374;403;449;461;467;475;479	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1	411722
12	NVP-231	BRD-A12571627	66	probe	CERK	inhibitor of ceramide kinase	132;227;336;358;372;425;447;476;478;479	O=C(Nc1nc2ccc(NC(=O)C34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc2s1)c1ccccc1	660331
13	triptolide	BRD-A13122391	0.3	clinical		natural product; inhibitor of RNA polymerase II	222;260;374;403;449;461;467;475;479	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O	411720
14	avicin D	BRD-A15100685	66	probe		natural product	426;443;464;469;472;476;478;479	CC1O[C@@H](OCC2O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@H](C[C@@]6([C@H](O)C[C@@]54C)C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)OC(=O)C(\CO)=C\CC[C@](C)(O[C@@H]4OC(C)[C@@H](OC(=O)C(\CO)=C\CCC(C)(O)C=C)[C@@H](O)[C@@H]4O)C=C)C3(C)C)[C@@H](NC(C)=O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O	688975
15	Bax channel blocker	BRD-A18763547	33	probe	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	147;213;287;313;371;430;457;461;467;475;479	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12	18311
16	CCT036477	BRD-A22997170	33	probe		inhibitor of WNT signaling by blocking beta-catenin transcription	223;304;376;394;437;449;461;467;475;479	Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1	417663
17	erastin	BRD-A25004090	66	probe	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	117;207;333;426;443;464;469;472;476;478;479	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1	63578
18	cucurbitacin I	BRD-A28105619	33	probe		natural product; modulator of NFKB1 and STAT3 signaling	179;222;260;374;403;449;461;467;475;479	CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	595102
19	paclitaxel	BRD-A28746609	66	FDA		inhibitor of microtubule assembly	24;39;50;75;85;199;227;336;358;372;425;447;476;478;479	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1	26956
20	hyperforin	BRD-A30032852	66	clinical	TRPC6	agonist of calcium-permeable ion channels	216;296;350;386;409;450;471;477	CC(C)C(=O)[C@@]12C(=O)C(CC=C(C)C)C(=O)C(CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O	660327
21	brefeldin A	BRD-A31107743	37	probe	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	278;336;358;372;425;447;476;478;479	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1	411714
22	tigecycline	BRD-A34462049	66	FDA		analog of tetracycline	220;393;416;455;464;469;472;476;478;479	CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C	659993
23	itraconazole	BRD-A34817987	17	FDA		anti-fungal agent; inhibitor of hedgehog signaling pathway	256;381;418;442;456;466;469;472;476;478;479	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O	63349
24	dexamethasone	BRD-A35108200	33	FDA	NR3C1	agonist of glucocorticoid receptor	329;359;452;462;471;477	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	277354
25	teniposide	BRD-A35588707	33	FDA	TOP2A;TOP2B	inhibitor of topoisomerase II	42;72;224;240;312;404;423;445;467;475;479	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12	27871
26	ML162	BRD-A36275421	33	probe		selectively kills engineered cells expressing mutant HRAS	2;6;117;207;333;426;443;464;469;472;476;478;479	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl	154846
27	necrostatin-1	BRD-A36318220	530	probe	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	209;335;389;463;473;478;479	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O	375435
28	SN-38	BRD-A36630025	1.3	probe	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	12;73;129;184;312;404;423;445;467;475;479	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12	375637
29	ciclosporin	BRD-A38030642	33	FDA	PPID	inhibitor of calcineurin by binding to cyclophilin D	349;377;427;446;460;465;474;475;479	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	55512
30	TGX-221	BRD-A41692738	66	probe	PIK3CB	inhibitor of PI3K catalytic subunit beta	84;97;281;431;460;465;474;475;479	CC(Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1	606356
31	bleomycin A2	BRD-A42083487	66	FDA		inducer of DNA damage	224;240;312;404;423;445;467;475;479	C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@@H](N)C(N)=O)C(O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C	639531
32	compound 1B	BRD-A42556028	66	probe		screening hit	55;408;453;466;469;472;476;478;479	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C	62111
33	968	BRD-A43210826	66	probe	GLS	inhibitor of glutaminase	367;417;437;449;461;467;475;479	CN(C)c1ccc(cc1Br)C1Nc2ccc3ccccc3c2C2=C1C(=O)CC(C)(C)C2	660080
34	fluvastatin	BRD-A52530402	66	FDA	HMGCR	inhibitor of HMG-CoA reductase	172;397;443;464;469;472;476;478;479	CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)C(c2ccccc12)c1ccc(F)cc1	660322
35	PX-12	BRD-A56592690	100	clinical	TXN	inhibitor of thioredoxin-1	57;223;304;376;394;437;449;461;467;475;479	CCC(C)SSc1ncc[nH]1	609124
36	PD318088	BRD-A57798112	66	probe	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2	1;33;348;436;470;474;475;479	OCC(O)CONC(=O)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1F	660410
37	COL-3	BRD-A59431241	66	clinical		analog of tetracycline	220;393;416;455;464;469;472;476;478;479	NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O	665914
38	YK 4-279	BRD-A62182663	33	probe	DHX9;ERG;ETV1	inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity	4;58;87;96;140;199;227;336;358;372;425;447;476;478;479	COc1ccc(cc1)C(=O)CC1(O)C(=O)Nc2c1c(Cl)ccc2Cl	632103
39	fumonisin B1	BRD-A63646118	500	probe	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6	inhibitor of ceramide synthase	204;377;427;446;460;465;474;475;479	CCCC[C@@H](C)[C@@H](OC(=O)C[C@@H](CC(O)=O)C(O)=O)[C@H](CC(C)C[C@H](O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N)OC(=O)C[C@@H](CC(O)=O)C(O)=O	616353
40	ifosfamide	BRD-A67097164	66	FDA		DNA alkylator	415;448;468;477	ClCCNP1(=O)OCCCN1CCCl	35319
41	salermide	BRD-A67788537	400	probe	SIRT1;SIRT2	inhibitor of sirtuin 1 and sirtuin 2	230;337;409;450;471;477	CC(C(=O)Nc1cccc(c1)\N=C\c1c(O)ccc2ccccc12)c1ccccc1	616352
42	BCL-LZH-4	BRD-A68258842	66	probe		inhibitor of BCL2, BCL-xL, and MCL1	244;400;441;459;473;478;479	COc1ccc(cc1)C1C(C(=O)Nc2ccccc2)=C(C)N=c2s\c(=C/c3cn(Cc4ccccc4)c4ccccc34)c(=O)n12	688516
43	isoevodiamine	BRD-A68631409	33	probe		natural product	4;58;87;96;140;199;227;336;358;372;425;447;476;478;479	CN1C2N(CCc3c2[nH]c2ccccc32)C(=O)c2ccccc12	594664
44	lovastatin	BRD-A70155556	130	FDA	HMGCR	inhibitor of HMG-CoA reductase	37;172;397;443;464;469;472;476;478;479	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12	30620
45	BRD-A71883111	BRD-A71883111	33	probe	IDH1	putative inhibitor of IDH1 R132H	210;300;349;377;427;446;460;465;474;475;479	Fc1cccc(c1)N(C(C(=O)NC1CCCCC1)c1ccccc1Cl)C(=O)Cc1cccs1	660145
46	blebbistatin	BRD-A75817871	130	probe	MYH1;MYH2	inhibitor of myosin II ATPases	264;319;435;459;473;478;479	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1	50140
47	myriocin	BRD-A76279427	33	probe	SPTLC1;SPTLC2;SPTLC3	inhibitor of serine palmitoyltransferase	280;433;451;454;470;474;475;479	CCCCCCC(=O)CCCCCC\C=C\C[C@H](O)[C@@H](O)C(N)(CO)C(O)=O	417977
48	IPR-456	BRD-A76527075	66	probe	PLAUR	inhibitor of the interaction of urokinase receptor with binding partners	92;143;288;395;411;446;460;465;474;475;479	CC1CC(C)CN(C1)c1cc(Nc2ccccc2C(O)=O)c2C(=O)c3ccccc3-c3onc1c23	660084
