Name	Score	0.95 MoE	p-value	FDR
Claudin-7-R-V	0.6967063420560271	0.012894620367589368	0.001443001443001443	0.023809523809523808
TIGAR-R-V	0.6956913145356631	0.022853696955742644	0.001443001443001443	0.023809523809523808
Syk-M-V	0.6328317360223604	0.024145585394106484	0.001443001443001443	0.023809523809523808
Rab25-R-V	0.6276446097959274	0.03574128671864809	0.001443001443001443	0.023809523809523808
CDK1-R-V	0.6198886037394932	0.035876025991220285	0.001443001443001443	0.023809523809523808
E-Cadherin-R-V	0.5834775780038137	0.03666969628778053	0.001443001443001443	0.023809523809523808
p90RSK-R-C	0.5397868882942267	0.03083377701535517	0.001443001443001443	0.023809523809523808
c-Met-M-QC	0.5351807247379389	0.036951885078541	0.001443001443001443	0.023809523809523808
p14 Arf(CST2407)-M-E	0.5264025878085163	0.004287274854378309	0.001443001443001443	0.023809523809523808
Lck-R-V	0.5235394749684824	0.01174095733011395	0.001443001443001443	0.023809523809523808
HER3-R-V	0.5199323083874072	0.0515169725388469	0.001443001443001443	0.023809523809523808
Caspase-8-M-QC	0.5041426967764129	0.04378699871182184	0.001443001443001443	0.023809523809523808
RSK1-2-3-R-E	0.5015695984832081	0.03348890335225392	0.001443001443001443	0.023809523809523808
Snail-M-QC	0.4943341895536311	0.47269806149298643	0.001443001443001443	0.023809523809523808
PARP_cleaved-M-QC	0.47209698941486616	0.04408261246190498	0.002886002886002886	0.03508771929824561
eIF4E-R-V	0.4677666736475118	0.042676543710845415	0.002886002886002886	0.03508771929824561
Rab11-R-E	0.46626768343046093	0.022532361243953476	0.002886002886002886	0.03508771929824561
TSC1-R-C	0.46616622643046374	0.05387051576971615	0.002886002886002886	0.03508771929824561
RASD2(SigHPA005839)-R-E	0.4537513113803275	0.04916497629761303	0.002886002886002886	0.03508771929824561
VAV1-R-E	0.4488231183914317	0.027800746382927517	0.007215007215007215	0.07936507936507936
SETD2-R-QC	0.44879360073172564		0.007215007215007215	0.07936507936507936
Smad1-R-V	0.43923138669906353		0.010101010101010102	0.10144927536231885
HER2-M-V	0.4384255245509022		0.010101010101010102	0.10144927536231885
c-Myc-R-C	0.43109273274836174		0.011544011544011544	0.10256410256410256
beta-Catenin-R-V	0.4277005962439668		0.011544011544011544	0.10256410256410256
CD49b-M-V	0.4275494101979071		0.011544011544011544	0.10256410256410256
Caspase-7_cleavedD198-R-C	0.4229911485405512		0.01443001443001443	0.1234567901234568
HER2_pY1248-R-C	0.4111974590358312		0.023088023088023088	0.16161616161616163
MDM2-R-E	0.4110531860315927		0.023088023088023088	0.16161616161616163
p38 alpha MAPK-M-E	0.41102268957308075		0.023088023088023088	0.16161616161616163
Bid-R-C	0.4108295021979413		0.023088023088023088	0.16161616161616163
INPP4B-R-V	0.4086853382937199		0.023088023088023088	0.16161616161616163
PTEN-R-V	0.4071866221399252		0.023088023088023088	0.16161616161616163
PR-R-V	0.4057361928448788		0.025974025974025976	0.1764705882352941
Chk1-M-C	0.39917860626837126		0.030303030303030304	0.19444444444444445
Rb-M-QC	0.39910724838078476		0.030303030303030304	0.19444444444444445
PI3K-p85-R-V	0.3978426768508942		0.031746031746031744	0.1981981981981982
ERCC1-M-QC	0.3954296839577122		0.03318903318903319	0.2017543859649123
VHL-M-C	0.39245839870527205		0.03607503607503607	0.21367521367521367
Caspase 8 Cleaved Asp391-R-E	0.3872954777009283		0.04040404040404041	0.23333333333333336
Shc_pY317-R-E	0.3827895962830484		0.044733044733044736	0.25203252032520324
Annexin_VII-M-V	0.3794351054224345		0.049062049062049064	0.26356589147286824
SCD1-M-V	0.37898869843464733		0.049062049062049064	0.26356589147286824
MEK1-R-V	0.3766778852526927		0.050505050505050504	0.26515151515151514
beta-Catenin_pT41_S45-R-E	0.3695288602193956		0.06204906204906205	0.3055555555555555
PDCD4-R-C	0.3680482160190348		0.06204906204906205	0.3055555555555555
14-3-3_zeta-R-V	0.36706875544418405		0.06349206349206349	0.3055555555555555
c-Met_pY1235-R-V	0.36590851676123193		0.06349206349206349	0.3055555555555555
RAD51-R-V	0.3637348809203141		0.06493506493506493	0.3061224489795918
Mre11-R-C	0.3590904035648188		0.07215007215007214	0.32679738562091504
p53-R-E	0.3589479542301161		0.07215007215007214	0.32679738562091504
AMPK_pT172-R-V	0.35633024875893937		0.07647907647907648	0.3333333333333333
Src_pY416-R-C	0.353671313731258		0.07936507936507936	0.3333333333333333
VEGFR2-R-V	0.3535232156079115		0.07936507936507936	0.3333333333333333
beta-Catenin_pS33_S37_T41-R-E	0.35314700760125706		0.07936507936507936	0.3333333333333333
p44-42 MAPK (ERK1-2)-R-E	0.35231258838948765		0.0836940836940837	0.34285714285714286
PCNA-M-C	0.3509633983530582		0.08513708513708514	0.34285714285714286
p90RSK_pT359_S363-R-C	0.34678385106042864		0.09668109668109669	0.34285714285714286
HER3_pY1289-R-C	0.34675775598849307		0.09668109668109669	0.34285714285714286
Src-M-V	0.34626034009608314		0.09668109668109669	0.34285714285714286
PDK1_pS241-R-V	0.34609218927411045		0.09668109668109669	0.34285714285714286
Chk1_pS345-R-C	0.34600171010022157		0.09812409812409813	0.34285714285714286
EGFR_pY1068-R-C	0.3457251337390898		0.09812409812409813	0.34285714285714286
ACC1-R-E	0.3456000532688132		0.09812409812409813	0.34285714285714286
BRCA2-R-C	0.3446654853635176		0.10101010101010101	0.34285714285714286
alpha-Catenin-M-V	0.3445940230664172		0.10101010101010101	0.34285714285714286
YAP_pS127-R-E	0.3433890673590512		0.1038961038961039	0.34285714285714286
Cyclin_D1-R-V	0.3425807772500237		0.1038961038961039	0.34285714285714286
STAT5-alpha-R-V	0.34197720206602267		0.1038961038961039	0.34285714285714286
ACC_pS79-R-V	0.3417265903294562		0.1038961038961039	0.34285714285714286
p62 Lck ligand-M-C	0.3372815690567482		0.11255411255411256	0.36111111111111116
CD31-M-V	0.33718496048645613		0.11255411255411256	0.36111111111111116
p38_pT180_Y182-R-V	0.33574688026332355		0.11688311688311688	0.3698630136986301
14-3-3_beta-R-V	0.33463133949997215		0.12121212121212122	0.37280701754385964
YAP-R-E	0.3340066346320475		0.12265512265512266	0.37280701754385964
S6-R-E	0.33374018629068763		0.12265512265512266	0.37280701754385964
FASN-R-V	0.3307720418179862		0.13564213564213565	0.4008438818565401
Chk2-M-V	0.32935042019738386		0.13564213564213565	0.4008438818565401
Beclin-G-C	0.32732750731028193		0.1370851370851371	0.4008438818565401
p27_pT157-R-C	0.3252766073709312		0.1414141414141414	0.40650406504065034
PDK1-R-V	0.3242577182853007		0.1443001443001443	0.40650406504065034
Notch1-R-V	0.3241803144295372		0.1443001443001443	0.40650406504065034
Bcl-xL-R-V	0.32182117892533146		0.1544011544011544	0.42971887550200805
RASD2(OriTA502070)-M-E	0.3187689209540408		0.1717171717171717	0.4666666666666667
JAK2-R-E	0.3177599863960221		0.1717171717171717	0.4666666666666667
P-Cadherin-R-C	0.31556413432516545		0.1847041847041847	0.487719298245614
YB-1_pS102-R-V	0.31548760870827525		0.1847041847041847	0.487719298245614
MEK2(13E3)-R-E	0.31459434139301656		0.18903318903318903	0.487719298245614
Src_pY527-R-V	0.3135861125232489		0.19047619047619047	0.487719298245614
AMPK_alpha-R-C	0.31193875710013724		0.19624819624819625	0.487719298245614
FRA1-R-E	0.31167898021844476		0.1976911976911977	0.487719298245614
p38_MAPK-R-V	0.3115162562034632		0.1976911976911977	0.487719298245614
A-Raf_pS299-R-C	0.31098906192185904		0.19913419913419914	0.487719298245614
XBP1-G-C	0.31044521589667573		0.20057720057720058	0.487719298245614
JNK_pT183_Y185-R-V	0.3103790497435432		0.20057720057720058	0.487719298245614
ERK2-R-E	0.30865559262126346		0.20634920634920634	0.49652777777777773
N-Ras-M-V	0.30476693428934365		0.22077922077922077	0.5257731958762887
Rad50-M-V	0.30134866417614764		0.240981240981241	0.5680272108843537
Histone H2A-R-E	0.2987102589951225		0.25396825396825395	0.5907590759075908
SHP-2_pY542-R-E	0.29803081305741713		0.2582972582972583	0.5907590759075908
ASNS-R-V	0.2979880749189814		0.2582972582972583	0.5907590759075908
PRDX1-R-V	0.29645022620901035		0.2611832611832612	0.5915032679738562
p90RSK_pT573-R-E	0.2958664552819955		0.26406926406926406	0.5922330097087378
Cyclin_B1-R-V	0.2948953662317939		0.2727272727272727	0.6012461059190032
MDMX_MDM4(BetIHC-00108)-R-E	0.29418146342212076		0.27705627705627706	0.6012461059190032
FOXO3a_pS318_S321-R-C	0.2941102512287671		0.27705627705627706	0.6012461059190032
Bim(CST2933)-R-E	0.2930585866106755		0.2784992784992785	0.6012461059190032
IRS1-R-V	0.2917081705405865		0.2886002886002886	0.6172839506172839
