Name	Score	0.95 MoE	p-value	FDR
dabrafenib	-0.7722140404372311	0.04261194062559211	0.000693000693000693	0.041666666666666664
PLX-4720	-0.6202131840749067	0.025421341380737154	0.000693000693000693	0.041666666666666664
GDC-0879	-0.5840654118671382	0.053748926324949216	0.000693000693000693	0.041666666666666664
MLN2480	-0.5736989629480603	0.07852474487640167	0.000693000693000693	0.041666666666666664
PLX-4032	-0.5651670666584929	0.027359777721750266	0.000693000693000693	0.041666666666666664
BRD-K99006945	-0.5613441927510922	0.046410560162373764	0.000693000693000693	0.041666666666666664
compound 1B	-0.5551113160349097	0.031824841893170114	0.000693000693000693	0.041666666666666664
tubastatin A	-0.5109753376886021	0.42206111566060467	0.000693000693000693	0.041666666666666664
isoliquiritigenin	-0.47802124118219663	0.06967479351095397	0.002772002772002772	0.1212121212121212
trametinib	-0.4758784710424267	0.10396816824164173	0.002772002772002772	0.1212121212121212
PD318088	-0.4630955742229635	0.06567301216109367	0.002772002772002772	0.1212121212121212
CIL55	-0.44541932870287115	0.013990380584485873	0.004158004158004158	0.16666666666666666
imatinib	-0.42262369462148286	0.34368346679682876	0.006237006237006237	0.23076923076923078
cyclophosphamide	-0.4098547835936832	0.10002729005283154	0.012474012474012475	0.42857142857142855
BRD-K34485477	-0.4028244086389838	0.049779876685161165	0.018711018711018712	0.4691358024691358
BRD-K51490254	-0.4005854476367797	0.014578087253671494	0.020097020097020097	0.4691358024691358
BRD-K29313308	-0.4003210561498446	0.31989708268145806	0.02079002079002079	0.4691358024691358
birinapant	-0.39955942360561786	0.33972117207687064	0.02286902286902287	0.4691358024691358
staurosporine	-0.39927576704979595	0.021363965667056707	0.02286902286902287	0.4691358024691358
CHIR-99021	-0.3984004398317027	0.34270140663287246	0.02286902286902287	0.4691358024691358
CIL56	-0.39832927834966725		0.02286902286902287	0.4691358024691358
O-6-benzylguanine	-0.39656347742885345		0.02286902286902287	0.4691358024691358
ML239	-0.39638696192109046		0.02356202356202356	0.4691358024691358
BRD-K41334119	-0.3963477619296083		0.02356202356202356	0.4691358024691358
BRD-K86535717	-0.3946597725008693		0.02494802494802495	0.4691358024691358
selumetinib	-0.39340007904794455		0.02564102564102564	0.4691358024691358
procarbazine	-0.3926369083928927		0.026334026334026334	0.4691358024691358
VX-680	-0.39125744922955674		0.028413028413028413	0.4880952380952381
trifluoperazine	-0.38934376377000557		0.03187803187803188	0.4954954954954955
prochlorperazine	-0.38760343988410434		0.03395703395703396	0.4954954954954955
sotrastaurin	-0.38563957944292815		0.035343035343035345	0.4954954954954955
CIL70	-0.38531103512347425		0.035343035343035345	0.4954954954954955
CIL41	-0.3835324284389254		0.036729036729036726	0.4954954954954955
AT-406	-0.38349715541170204		0.036729036729036726	0.4954954954954955
RO4929097	-0.383228885134224		0.036729036729036726	0.4954954954954955
NSC30930	-0.3820186559820352		0.037422037422037424	0.4954954954954955
BRD-K09344309	-0.38152113616714073		0.038115038115038115	0.4954954954954955
ML203	-0.37859528299208134		0.04227304227304227	0.5166666666666666
BRD-K88742110	-0.3778125642341683		0.042966042966042964	0.5166666666666666
BRD9647	-0.3763982303705862		0.042966042966042964	0.5166666666666666
CAY10576	-0.37356070656495266		0.04504504504504504	0.5284552845528455
RAF265	-0.37257267381121545		0.04712404712404712	0.5396825396825397
BRD-A02303741	-0.367154454667032		0.05266805266805267	0.5757575757575757
BRD-K51831558	-0.3670780405894069		0.05266805266805267	0.5757575757575757
BRD-K92856060	-0.3590532518085426		0.06514206514206514	0.6545454545454545
nutlin-3	-0.3586676188938463		0.06583506583506583	0.6545454545454545
BRD-K45681478	-0.35737342545266915		0.06860706860706861	0.6545454545454545
isonicotinohydroxamic acid	-0.35713886850654264		0.06999306999306999	0.6545454545454545
NSC 74859	-0.35701539536471116		0.06999306999306999	0.6545454545454545
BRD-K24690302	-0.3567691850764206		0.07068607068607069	0.6545454545454545
SID 26681509	-0.3566964485286347		0.07068607068607069	0.6545454545454545
elocalcitol	-0.3554424066214594		0.07276507276507277	0.6545454545454545
NSC48300	-0.35418007602882434		0.07345807345807345	0.6545454545454545
CIL55A	-0.3536915318573118		0.07415107415107415	0.6545454545454545
cimetidine	-0.3533947406838415		0.07484407484407485	0.6545454545454545
chlorambucil	-0.35048793644529713		0.08038808038808039	0.6904761904761905
brivanib	-0.34825268430501555		0.08316008316008316	0.7017543859649122
BRD-K42260513	-0.34650394805371687		0.088011088011088	0.7298850574712643
dacarbazine	-0.3427330036123278		0.0997920997920998	0.8080808080808081
BIX-01294	-0.3383082769475715		0.10602910602910603	0.8080808080808081
tandutinib	-0.336537448666452		0.1088011088011088	0.8080808080808081
cabozantinib	-0.3364367304021968		0.1088011088011088	0.8080808080808081
bendamustine	-0.3355798762053335		0.11157311157311157	0.8080808080808081
nilotinib	-0.33264069249353595		0.11503811503811504	0.8080808080808081
PDMP	-0.3319017106948608		0.11642411642411643	0.8080808080808081
AZD4547	-0.3315163489479424		0.11711711711711711	0.8080808080808081
BRD-K29086754	-0.32966990355228004		0.11850311850311851	0.8080808080808081
bexarotene	-0.3292450080683666		0.11850311850311851	0.8080808080808081
BRD-K27224038	-0.3276401451017667		0.12266112266112267	0.8080808080808081
simvastatin	-0.32591020943902577		0.12612612612612611	0.8080808080808081
BRD-K44224150	-0.3241598524010263		0.13097713097713098	0.8080808080808081
NSC95397	-0.32340790235112526		0.13236313236313235	0.8080808080808081
neopeltolide	-0.3207498127919872		0.1392931392931393	0.8080808080808081
IC-87114	-0.320727893018859		0.1392931392931393	0.8080808080808081
BRD-M00053801	-0.3206466923748047		0.1392931392931393	0.8080808080808081
BRD-K49290616	-0.3205934855017972		0.13998613998613998	0.8080808080808081
epigallocatechin-3-monogallate	-0.3202364555408963		0.14067914067914067	0.8080808080808081
AT7867	-0.3199212447052664		0.14067914067914067	0.8080808080808081
BRD-A94377914	-0.31991864571948764		0.14067914067914067	0.8080808080808081
BRD-K30748066	-0.31941582389828677		0.14345114345114346	0.8080808080808081
CCT036477	-0.31831140718772455		0.14553014553014554	0.8080808080808081
darinaparsin	-0.31743697944884686		0.14760914760914762	0.8080808080808081
BRD-K11533227	-0.31628049982208395		0.1496881496881497	0.8080808080808081
tigecycline	-0.31592389356340744		0.15038115038115038	0.8080808080808081
NPC-26	-0.3155879589250865		0.15038115038115038	0.8080808080808081
Compound 1541A	-0.315424700064796		0.15107415107415106	0.8080808080808081
sorafenib	-0.3148288802896172		0.15246015246015246	0.8080808080808081
SJ-172550	-0.31455208695864684		0.15246015246015246	0.8080808080808081
pitstop2	-0.31436796353054774		0.15246015246015246	0.8080808080808081
BMS-270394	-0.31240809829280897		0.15661815661815662	0.8080808080808081
PYR-41	-0.3121077586593149		0.1573111573111573	0.8080808080808081
BRD-K71781559	-0.31180395661971294		0.1573111573111573	0.8080808080808081
BRD-K27986637	-0.31176482725230514		0.1573111573111573	0.8080808080808081
IPR-456	-0.3106775799234964		0.15939015939015938	0.8080808080808081
ML334 diastereomer	-0.31053653317614754		0.16077616077616078	0.8080808080808081
SU11274	-0.30943494365474394		0.16216216216216217	0.8080808080808081
alvocidib	-0.30880689987176496		0.16354816354816354	0.8080808080808081
myriocin	-0.30857580404401647		0.16493416493416493	0.8080808080808081
BRD-K37390332	-0.3078092869166368		0.16632016632016633	0.8080808080808081
BRD8899	-0.3046151156289913		0.17532917532917533	0.8253968253968254
leptomycin B	-0.3037985858211317		0.17671517671517672	0.8253968253968254
Bax channel blocker	-0.3035554872971172		0.1774081774081774	0.8253968253968254
PRL-3 inhibitor I	-0.3031618356839549		0.1794871794871795	0.8253968253968254
CAY10594	-0.30302485236590226		0.18018018018018017	0.8253968253968254
SR8278	-0.3027910093227549		0.18018018018018017	0.8253968253968254
STF-31	-0.30166200857983855		0.18711018711018712	0.8490566037735849
