Name	Score	0.95 MoE	p-value	FDR
SOX10	-0.7441578950013783	0.030402822068608018	1.9495457558388895e-05	0.0011037527593818985
BRAF	-0.701759455725711	0.050000780238968756	1.9495457558388895e-05	0.0011037527593818985
ZEB2	-0.6563006130955285	0.029158606301532903	1.9495457558388895e-05	0.0011037527593818985
HLA-J	-0.6184656120755769	0.03530305559195119	1.9495457558388895e-05	0.0011037527593818985
MAPK1	-0.597689499507145	0.10747054474470058	1.9495457558388895e-05	0.0011037527593818985
ZNF804B	-0.5877528731573078	0.03589733395813407	1.9495457558388895e-05	0.0011037527593818985
PRAMEF7	-0.5845379114968915	0.020607691858575163	1.9495457558388895e-05	0.0011037527593818985
PRAMEF8	-0.5845379114968915	0.020607691858575163	1.9495457558388895e-05	0.0011037527593818985
RLN1	-0.5821426581764625	0.019577280829361658	1.9495457558388895e-05	0.0011037527593818985
MSTO1	-0.5758210727090357	0.03248922206188963	1.9495457558388895e-05	0.0011037527593818985
CLEC12B	-0.5629264066918677	0.05334930579058446	1.9495457558388895e-05	0.0011037527593818985
WDR83OS	-0.5594539851880502	0.04246374219563336	1.9495457558388895e-05	0.0011037527593818985
WBP1L	-0.55834609307429	0.020060301665328018	1.9495457558388895e-05	0.0011037527593818985
TXNDC17	-0.558164983504956	0.02063132376800877	1.9495457558388895e-05	0.0011037527593818985
INCA1	-0.5568150826519466	0.0607451445059409	1.9495457558388895e-05	0.0011037527593818985
ZNF181	-0.555737305950517	0.029283768045166574	1.9495457558388895e-05	0.0011037527593818985
RAI14	-0.5544705560677359	0.02255521255352386	1.9495457558388895e-05	0.0011037527593818985
CATSPERB	-0.5534711298306642	0.08440481359280945	1.9495457558388895e-05	0.0011037527593818985
EXPH5	-0.5532142778662635	0.015187309574736171	1.9495457558388895e-05	0.0011037527593818985
ALX3	-0.552946026136711	0.04970159673399191	1.9495457558388895e-05	0.0011037527593818985
DLG1	-0.5522418258566644	0.026959728583093822	1.9495457558388895e-05	0.0011037527593818985
RAB3GAP1	-0.5512136652910979		1.9495457558388895e-05	0.0011037527593818985
STAT5A	-0.5496511691199009		1.9495457558388895e-05	0.0011037527593818985
FA2H	-0.5485338780318119		1.9495457558388895e-05	0.0011037527593818985
HIST1H2BE	-0.5472214938250892		1.9495457558388895e-05	0.0011037527593818985
PDE2A	-0.5421553173936536		1.9495457558388895e-05	0.0011037527593818985
CNDP1	-0.5414428168293715		1.9495457558388895e-05	0.0011037527593818985
FNDC4	-0.5407522178305935		1.9495457558388895e-05	0.0011037527593818985
DNAH7	-0.5399828716236555		1.9495457558388895e-05	0.0011037527593818985
HLA-H	-0.5399190505084421		1.9495457558388895e-05	0.0011037527593818985
C1orf168	-0.5370174082161291		1.9495457558388895e-05	0.0011037527593818985
HLA-A	-0.5346514467749794		1.9495457558388895e-05	0.0011037527593818985
ERVK13-1	-0.534175998994136		1.9495457558388895e-05	0.0011037527593818985
PIK3CB	-0.5329424227997474		1.9495457558388895e-05	0.0011037527593818985
KBTBD7	-0.530595508915621		1.9495457558388895e-05	0.0011037527593818985
LRG1	-0.5301466966977334		1.9495457558388895e-05	0.0011037527593818985
TRIM73	-0.5290173937941246		1.9495457558388895e-05	0.0011037527593818985
APOF	-0.5288651599472984		1.9495457558388895e-05	0.0011037527593818985
PLAC1	-0.5284684062941909		1.9495457558388895e-05	0.0011037527593818985
TLN2	-0.5283253888786985		1.9495457558388895e-05	0.0011037527593818985
NFKBIE	-0.5276490584581001		1.9495457558388895e-05	0.0011037527593818985
KIAA0226L	-0.526728394270979		1.9495457558388895e-05	0.0011037527593818985
IFI44	-0.525167424019959		1.9495457558388895e-05	0.0011037527593818985
PXMP2	-0.5241922818389007		1.9495457558388895e-05	0.0011037527593818985
MPZL2	-0.524109116470874		1.9495457558388895e-05	0.0011037527593818985
UGT3A2	-0.5239100692752873		1.9495457558388895e-05	0.0011037527593818985
PSAP	-0.5234041939287087		1.9495457558388895e-05	0.0011037527593818985
WDR34	-0.5220291129376035		1.9495457558388895e-05	0.0011037527593818985
TMEM108	-0.5196713437683336		1.9495457558388895e-05	0.0011037527593818985
CHRNA3	-0.5182089100070857		1.9495457558388895e-05	0.0011037527593818985
EPT1	-0.5179248155632625		1.9495457558388895e-05	0.0011037527593818985
NBEAL1	-0.5177069773830963		1.9495457558388895e-05	0.0011037527593818985
SEZ6	-0.5163005416811185		1.9495457558388895e-05	0.0011037527593818985
ELAVL2	-0.5156604084474076		1.9495457558388895e-05	0.0011037527593818985
UFSP2	-0.5151585215454231		1.9495457558388895e-05	0.0011037527593818985
PGBD3	-0.5150804019523494		1.9495457558388895e-05	0.0011037527593818985
ERCC6-PGBD3	-0.5150804019523494		1.9495457558388895e-05	0.0011037527593818985
BCRP2	-0.5147568702158882		1.9495457558388895e-05	0.0011037527593818985
MUC7	-0.514163022954544		1.9495457558388895e-05	0.0011037527593818985
MRI1	-0.5133210111252151		1.9495457558388895e-05	0.0011037527593818985
CCDC38	-0.5132851298906396		1.9495457558388895e-05	0.0011037527593818985
POLR3GL	-0.5131257959012708		1.9495457558388895e-05	0.0011037527593818985
TBC1D31	-0.5127547701376615		1.9495457558388895e-05	0.0011037527593818985
PIGM	-0.5126529600120469		1.9495457558388895e-05	0.0011037527593818985
CERKL	-0.5126208498447862		1.9495457558388895e-05	0.0011037527593818985
TAS2R19	-0.5121995029767419		1.9495457558388895e-05	0.0011037527593818985
POPDC2	-0.5121251776331042		1.9495457558388895e-05	0.0011037527593818985
PEA15	-0.5119435104093149		1.9495457558388895e-05	0.0011037527593818985
MYO16	-0.5115384659523956		1.9495457558388895e-05	0.0011037527593818985
SFT2D2	-0.5115006806260782		1.9495457558388895e-05	0.0011037527593818985
ODF2L	-0.5100782726076927		1.9495457558388895e-05	0.0011037527593818985
MMRN1	-0.5095035242220795		1.9495457558388895e-05	0.0011037527593818985
ZNF124	-0.5090521587284095		1.9495457558388895e-05	0.0011037527593818985
EIF4ENIF1	-0.5089533464935323		1.9495457558388895e-05	0.0011037527593818985
PBOV1	-0.5086341199428909		1.9495457558388895e-05	0.0011037527593818985
C7orf49	-0.5082643425878278		1.9495457558388895e-05	0.0011037527593818985
MYO5C	-0.508084704554092		1.9495457558388895e-05	0.0011037527593818985
