Name	Score	0.95 MoE	p-value	FDR
SPANXN5	-0.7186328130384875	0.04759972738245891	1.9495457558388895e-05	0.1111111111111111
PROK1	-0.6281592291023501	0.030722955879856333	1.9495457558388895e-05	0.1111111111111111
CACFD1	-0.6207735888925433	0.08348789245047643	1.9495457558388895e-05	0.1111111111111111
DBR1	-0.5899416797810387	0.062189040415376866	3.899091511677779e-05	0.16666666666666666
CTNNB1	-0.5761148639718475	0.46603211306290526	9.747728779194448e-05	0.3333333333333333
ZNF121	-0.5713173160865901	0.054807416495563026	0.00013646820290872226	0.3888888888888889
CIRBP-AS1	-0.552448606277957	0.06611224665076362	0.00025344094825905565	0.5666666666666665
BIN1	-0.5518115815087987	0.05106923179263455	0.0002729364058174445	0.5666666666666665
TXLNA	-0.5465210430106454	0.11186098161162693	0.0003119273209342223	0.5666666666666665
NOMO1	-0.5235676512920603	0.04187671400776813	0.0004483955238429446	0.5666666666666665
SYNGR4	-0.5198926207157839	0.06172418665462839	0.0004873864389597224	0.5666666666666665
NOMO2	-0.5189417801295513	0.015847179497674488	0.0004873864389597224	0.5666666666666665
ASZ1	-0.5174896457806852	0.061321784093724276	0.000545872811634889	0.5666666666666665
SUPT20H	-0.5170574698611458	0.08504489883190944	0.000545872811634889	0.5666666666666665
COMMD2	-0.5144627083532579	0.10028363039752589	0.0005848637267516669	0.5666666666666665
MRPS2	-0.5114053818556777	0.06088446848351682	0.0005848637267516669	0.5666666666666665
ZNF229	-0.5087505061649921	0.031044292063726973	0.0006043591843100558	0.5666666666666665
TMEM50B	-0.5078112832564651	0.06414766536369003	0.0006628455569852224	0.5666666666666665
CACYBP	-0.5073997097062714	0.1488881621554598	0.0006628455569852224	0.5666666666666665
MECP2	-0.5072247783900401	0.032279731645879155	0.0006628455569852224	0.5666666666666665
EXTL2	-0.49974067947229084		0.0008578001325691114	0.5885416666666666
SATB2	-0.4991625509844553		0.0008578001325691114	0.5885416666666666
NSL1	-0.4983155013586289		0.000935781962802667	0.5885416666666666
KBTBD6	-0.49063790255249695		0.0009942683354778336	0.5885416666666666
GATS	-0.4894027886156599		0.0009942683354778336	0.5885416666666666
PNMA6A	-0.4840045855838516		0.0010332592505946114	0.5885416666666666
TTC19	-0.4835359300387908		0.0010527547081530004	0.5885416666666666
CD248	-0.4774648589835589		0.0012087183686201116	0.5885416666666666
IRS4	-0.47685912633078414		0.0012087183686201116	0.5885416666666666
NCK1	-0.4742993289453517		0.0012282138261785003	0.5885416666666666
DIRAS3	-0.4722683917855346		0.001286700198853667	0.5885416666666666
SMIM11	-0.47085535735167455		0.001286700198853667	0.5885416666666666
SIGLEC1	-0.4706793016180404		0.001286700198853667	0.5885416666666666
FUNDC2	-0.4698177600652758		0.0013256911139704448	0.5885416666666666
LPIN3	-0.4688926142792953		0.0013451865715288338	0.5885416666666666
SEC24D	-0.4676920329821169		0.0013646820290872227	0.5885416666666666
BSPRY	-0.46698423744187295		0.0014231684017623895	0.5885416666666666
CCDC88A	-0.4650941839214869		0.001501150231995945	0.5885416666666666
AQP9	-0.4643664391584861		0.0015791320622295004	0.5885416666666666
ATOH1	-0.4642771739467909		0.0015791320622295004	0.5885416666666666
