Name	Score	0.95 MoE	p-value	FDR
JHDM1D	0.7343764349286293	0.042906683795188985	7.599072913104601e-06	0.0007293946024799417
BRI3BP	0.6761213016434261	0.031079694645270228	7.599072913104601e-06	0.0007293946024799417
PRR15L	0.6748822952422583	0.03687984879413554	7.599072913104601e-06	0.0007293946024799417
RALGPS1	0.6685516037116067	0.04370980443145148	7.599072913104601e-06	0.0007293946024799417
CDX2	0.6363650752204139	0.018804133909084544	7.599072913104601e-06	0.0007293946024799417
PANK1	0.6336946887933828	0.0331145431622872	7.599072913104601e-06	0.0007293946024799417
HADH	0.6316306545786375	0.060114579731756185	7.599072913104601e-06	0.0007293946024799417
RP11-173P15.3	0.6304785495377937	0.01866901338447826	7.599072913104601e-06	0.0007293946024799417
PIP5K1B	0.6289523731421937	0.039055141417460804	7.599072913104601e-06	0.0007293946024799417
NRARP	0.6277180303076111	0.036653127743492483	7.599072913104601e-06	0.0007293946024799417
ABLIM1	0.6275138586854259	0.03820622240821797	7.599072913104601e-06	0.0007293946024799417
RP11-867G2.8	0.6264091093706305	0.07091760564279367	7.599072913104601e-06	0.0007293946024799417
FAAH	0.6259143015347076	0.02361480714565383	7.599072913104601e-06	0.0007293946024799417
CAMSAP3	0.6214503004624069	0.027055431120057264	7.599072913104601e-06	0.0007293946024799417
ATP8A1	0.6204850087266556	0.09363867960416444	7.599072913104601e-06	0.0007293946024799417
EPB41	0.6162850682518861	0.04674087554629082	7.599072913104601e-06	0.0007293946024799417
AC008738.2	0.6156395087471629	0.027904807830527484	7.599072913104601e-06	0.0007293946024799417
HSD11B2	0.6155020136342412	0.0723262928949772	7.599072913104601e-06	0.0007293946024799417
PPM1H	0.6113341334562732	0.07512825904471317	7.599072913104601e-06	0.0007293946024799417
MLEC	0.6104393495189917	0.018066510167637145	7.599072913104601e-06	0.0007293946024799417
CEBPA	0.6094697321396613		7.599072913104601e-06	0.0007293946024799417
POF1B	0.608314633792921		7.599072913104601e-06	0.0007293946024799417
ACVR1B	0.605201115708674		7.599072913104601e-06	0.0007293946024799417
C9orf152	0.6039558145247425		7.599072913104601e-06	0.0007293946024799417
ADCK3	0.6037680248589685		7.599072913104601e-06	0.0007293946024799417
ERBB3	0.6013502833973843		7.599072913104601e-06	0.0007293946024799417
ABLIM2	0.600540967043541		7.599072913104601e-06	0.0007293946024799417
DUSP16	0.6001292826770841		7.599072913104601e-06	0.0007293946024799417
PLEKHH1	0.5995503276854034		7.599072913104601e-06	0.0007293946024799417
MYB	0.5995385063564674		7.599072913104601e-06	0.0007293946024799417
TMEM117	0.598032202615979		7.599072913104601e-06	0.0007293946024799417
FRAT2	0.5968084180521879		7.599072913104601e-06	0.0007293946024799417
FAM211A	0.5968017183829859		7.599072913104601e-06	0.0007293946024799417
CKMT1A	0.5961831271880089		7.599072913104601e-06	0.0007293946024799417
CKMT1B	0.5954152727400406		7.599072913104601e-06	0.0007293946024799417
RNF43	0.594961329975058		7.599072913104601e-06	0.0007293946024799417
GMDS	0.5944534473649739		7.599072913104601e-06	0.0007293946024799417
SAMD5	0.5943110409086924		7.599072913104601e-06	0.0007293946024799417
CASZ1	0.5939566368512113		7.599072913104601e-06	0.0007293946024799417
KCNQ1	0.5935220013976024		7.599072913104601e-06	0.0007293946024799417
IL17D	0.593231830739313		7.599072913104601e-06	0.0007293946024799417
ZNF703	0.5931228185968817		7.599072913104601e-06	0.0007293946024799417
ZNRF3	0.592926767997373		7.599072913104601e-06	0.0007293946024799417
CHDH	0.5899191906146818		7.599072913104601e-06	0.0007293946024799417
ZNF774	0.5849091789662081		7.599072913104601e-06	0.0007293946024799417
MAP7	0.584824420790036		7.599072913104601e-06	0.0007293946024799417
SLC12A2	0.5840614713883497		7.599072913104601e-06	0.0007293946024799417
HEPH	0.5837643208569924		7.599072913104601e-06	0.0007293946024799417
AC008738.1	0.5835779565420319		7.599072913104601e-06	0.0007293946024799417
CYP2J2	0.5829789935634787		7.599072913104601e-06	0.0007293946024799417
UGT8	0.5822093687453357		7.599072913104601e-06	0.0007293946024799417
POU2F1	0.5822087334128417		7.599072913104601e-06	0.0007293946024799417
SH3BGRL2	0.5816884324612416		7.599072913104601e-06	0.0007293946024799417
HOOK1	0.5815226836401284		7.599072913104601e-06	0.0007293946024799417
GPR160	0.5813398898201617		7.599072913104601e-06	0.0007293946024799417
SLC27A2	0.5813104841388991		7.599072913104601e-06	0.0007293946024799417
ARID5B	0.580417193434467		7.599072913104601e-06	0.0007293946024799417
SHROOM3	0.5802807936262256		7.599072913104601e-06	0.0007293946024799417
LNX2	0.5794895976319645		7.599072913104601e-06	0.0007293946024799417
MYH14	0.5792907320872738		7.599072913104601e-06	0.0007293946024799417
DEGS2	0.5789565196944029		7.599072913104601e-06	0.0007293946024799417
TBC1D30	0.5781630359035316		7.599072913104601e-06	0.0007293946024799417
RP11-234B24.2	0.5779207731998979		7.599072913104601e-06	0.0007293946024799417
ARHGEF10L	0.5768740529479717		7.599072913104601e-06	0.0007293946024799417
PRR5	0.576784265114851		7.599072913104601e-06	0.0007293946024799417
RP4-659J6.2	0.5763224778317471		7.599072913104601e-06	0.0007293946024799417
AXIN2	0.5755644893695214		7.599072913104601e-06	0.0007293946024799417
AC009061.1	0.5750944708349403		7.599072913104601e-06	0.0007293946024799417
RAB11FIP4	0.5747825458368371		7.599072913104601e-06	0.0007293946024799417
VIL1	0.5746619800157902		7.599072913104601e-06	0.0007293946024799417
GRTP1-AS1	0.5746037638074422		7.599072913104601e-06	0.0007293946024799417
RP11-297D21.3	0.5730535036319894		7.599072913104601e-06	0.0007293946024799417
ACOT11	0.5723261696442541		7.599072913104601e-06	0.0007293946024799417
AHCYL2	0.5719451589044888		7.599072913104601e-06	0.0007293946024799417
RALGAPA2	0.5709016942670847		7.599072913104601e-06	0.0007293946024799417
