Name	Score	0.95 MoE	p-value	FDR
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL	0.7159946451104634	0.04023515143012159	4.368147468658542e-05	0.0003907776475185619
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL	0.6582000715168862	0.051959767281362396	4.368147468658542e-05	0.0003907776475185619
AUNG_GASTRIC_CANCER	0.6571444012930813	0.031139976181348013	4.368147468658542e-05	0.0003907776475185619
HUANG_DASATINIB_RESISTANCE_DN	0.6528809139479524	0.071114934163366	4.368147468658542e-05	0.0003907776475185619
TOMLINS_PROSTATE_CANCER	0.6397375224950973	0.020895558739546616	4.368147468658542e-05	0.0003907776475185619
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	0.6384168255999783	0.018738941117817882	4.368147468658542e-05	0.0003907776475185619
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.6378460425285154	0.05255947515835519	4.368147468658542e-05	0.0003907776475185619
NAKAMURA_ADIPOGENESIS_LATE	0.6375524564916772	0.0659535412760585	4.368147468658542e-05	0.0003907776475185619
SANSOM_APC_TARGETS_UP	0.6348561988305105	0.04354507329798363	4.368147468658542e-05	0.0003907776475185619
NADELLA_PRKAR1A_TARGETS	0.6312213796757074	0.09355310970639322	4.368147468658542e-05	0.0003907776475185619
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD	0.6283378076062518	0.06362408313412299	4.368147468658542e-05	0.0003907776475185619
WALLACE_PROSTATE_CANCER	0.6280790434349014	0.05234276705747459	4.368147468658542e-05	0.0003907776475185619
DOANE_BREAST_CANCER_CLASSES	0.625572149183071	0.057892840841739096	4.368147468658542e-05	0.0003907776475185619
LIU_PROSTATE_CANCER	0.6219453386989109	0.030793357203596702	4.368147468658542e-05	0.0003907776475185619
KOBAYASHI_EGFR_SIGNALING_6HR	0.6195514551023716	0.12769118359260673	4.368147468658542e-05	0.0003907776475185619
REN_ALVEOLAR_RHABDOMYOSARCOMA	0.6188135769168295	0.04427007257814197	4.368147468658542e-05	0.0003907776475185619
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.6142710249259224	0.04159078122123454	4.368147468658542e-05	0.0003907776475185619
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2	0.6141235160833255	0.016339876870247873	4.368147468658542e-05	0.0003907776475185619
WANG_RESPONSE_TO_BEXAROTENE	0.6121030292250887	0.01826776621861521	4.368147468658542e-05	0.0003907776475185619
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL	0.6108950989798377	0.037525768698675695	4.368147468658542e-05	0.0003907776475185619
ODONNELL_METASTASIS_DN	0.6090131692399087		4.368147468658542e-05	0.0003907776475185619
LEE_LIVER_CANCER_SURVIVAL_UP	0.6076225078512133		4.368147468658542e-05	0.0003907776475185619
LANDIS_BREAST_CANCER_PROGRESSION	0.6060292857140208		4.368147468658542e-05	0.0003907776475185619
JEON_SMAD6_TARGETS_DN	0.6056940625373661		4.368147468658542e-05	0.0003907776475185619
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	0.6055574880570127		4.368147468658542e-05	0.0003907776475185619
PID_BETA_CATENIN_DEG_PATHWAY	0.60232928563654		4.368147468658542e-05	0.0003907776475185619
KYNG_DNA_DAMAGE	0.6009432637504086		4.368147468658542e-05	0.0003907776475185619
WAMUNYOKOLI_OVARIAN_CANCER_LMP	0.5997611896327755		4.368147468658542e-05	0.0003907776475185619
KEGG_LINOLEIC_ACID_METABOLISM	0.5958218107123934		4.368147468658542e-05	0.0003907776475185619
WOO_LIVER_CANCER_RECURRENCE_DN	0.5939908496047458		4.368147468658542e-05	0.0003907776475185619
LIU_CDX2_TARGETS_UP	0.5929192252685584		4.368147468658542e-05	0.0003907776475185619
DOANE_RESPONSE_TO_ANDROGEN	0.5922715202527732		4.368147468658542e-05	0.0003907776475185619
BRUECKNER_TARGETS_OF_MIRLET7A3	0.5910627468843046		4.368147468658542e-05	0.0003907776475185619
OSADA_ASCL1_TARGETS	0.5909442700410111		4.368147468658542e-05	0.0003907776475185619
SANSOM_WNT_PATHWAY_REQUIRE_MYC	0.589435369216237		4.368147468658542e-05	0.0003907776475185619
PASINI_SUZ12_TARGETS	0.5868142658443746		4.368147468658542e-05	0.0003907776475185619
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.5866785492209429		4.368147468658542e-05	0.0003907776475185619
BROWNE_HCMV_INFECTION_48HR	0.5866072693992636		4.368147468658542e-05	0.0003907776475185619
TOOKER_GEMCITABINE_RESISTANCE	0.5861156639519282		4.368147468658542e-05	0.0003907776475185619
SABATES_COLORECTAL_ADENOMA_SIZE_DN	0.5860489573065512		4.368147468658542e-05	0.0003907776475185619
BROWNE_HCMV_INFECTION_8HR	0.5826618779378416		4.368147468658542e-05	0.0003907776475185619
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY	0.5826146734681855		4.368147468658542e-05	0.0003907776475185619
HALLMARK_UV_RESPONSE	0.5816384934725104		4.368147468658542e-05	0.0003907776475185619
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS	0.5810762220646938		4.368147468658542e-05	0.0003907776475185619
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	0.5779547234053248		4.368147468658542e-05	0.0003907776475185619
