Name	Score	0.95 MoE	p-value	FDR
Syk-M-V	0.581724635135228	0.07054343748331836	0.001443001443001443	0.015151515151515152
p90RSK-R-C	0.5788098963483876	0.09575897580012878	0.001443001443001443	0.015151515151515152
Claudin-7-R-V	0.574353428268832	0.05347558430278339	0.001443001443001443	0.015151515151515152
RSK1-2-3-R-E	0.562895599941952	0.10227128688694058	0.001443001443001443	0.015151515151515152
Smad1-R-V	0.5269094708236886	0.06097506973466503	0.001443001443001443	0.015151515151515152
Rab25-R-V	0.4948906856539896	0.040579783015352415	0.001443001443001443	0.015151515151515152
TIGAR-R-V	0.4563977833007097	0.06008298123928366	0.001443001443001443	0.015151515151515152
CDK1-R-V	0.4449380009995999	0.08523280477252354	0.001443001443001443	0.015151515151515152
HER3-R-V	0.4362019979121667	0.1296573469235673	0.001443001443001443	0.015151515151515152
E-Cadherin-R-V	0.4212733609145031	0.12355225163783168	0.001443001443001443	0.015151515151515152
Snail-M-QC	0.4209234323332626	0.08995880322677692	0.001443001443001443	0.015151515151515152
PARP_cleaved-M-QC	0.3848577210350108	0.053475811245652115	0.001443001443001443	0.015151515151515152
Rab11-R-E	0.3824809476297171	0.06761994574990823	0.001443001443001443	0.015151515151515152
c-Met-M-QC	0.37575576440139347	0.08954703643194889	0.001443001443001443	0.015151515151515152
HER2-M-V	0.3657567801128672	0.03855395126493756	0.001443001443001443	0.015151515151515152
PEA15_pS116-R-V	0.36572935582694877	0.24264509467820586	0.001443001443001443	0.015151515151515152
PCNA-M-C	0.3627658868157159	0.021610774772868387	0.001443001443001443	0.015151515151515152
p14 Arf(CST2407)-M-E	0.3541533781133175	0.3176584848972235	0.001443001443001443	0.015151515151515152
eIF4E-R-V	0.3473504892295528	0.03423707360687243	0.001443001443001443	0.015151515151515152
ERCC1-M-QC	0.34691958479457985	0.07515275976647029	0.001443001443001443	0.015151515151515152
Shc_pY317-R-E	0.3452840356235388		0.001443001443001443	0.015151515151515152
GSK3-alpha-beta-M-V	0.34353058168856065		0.001443001443001443	0.015151515151515152
IGFBP2-R-V	0.33255014094656615		0.002886002886002886	0.02564102564102564
beta-Catenin_pT41_S45-R-E	0.329782834367255		0.002886002886002886	0.02564102564102564
Caspase-7_cleavedD198-R-C	0.3285262715368321		0.002886002886002886	0.02564102564102564
PDCD4-R-C	0.328034297892682		0.002886002886002886	0.02564102564102564
p38 alpha MAPK-M-E	0.3124610863230629		0.004329004329004329	0.03225806451612903
FOXO3a_pS318_S321-R-C	0.3084924756686671		0.004329004329004329	0.03225806451612903
Lck-R-V	0.30760163165188503		0.004329004329004329	0.03225806451612903
SCD1-M-V	0.30649626171141975		0.004329004329004329	0.03225806451612903
p38_pT180_Y182-R-V	0.3049684156466274		0.004329004329004329	0.03225806451612903
VHL-M-C	0.30003586450757497		0.007215007215007215	0.052083333333333336
Chk1_pS345-R-C	0.2911617719741873		0.010101010101010102	0.07070707070707072
Chk2-M-V	0.2856899342646529		0.011544011544011544	0.0784313725490196
Bax-R-V	0.2777581838167759		0.01443001443001443	0.09523809523809523
RAD51-R-V	0.2751758117468018		0.015873015873015872	0.10185185185185185
PTEN-R-V	0.2730462982320679		0.017316017316017316	0.10526315789473684
Caspase-8-M-QC	0.2724667545373369		0.017316017316017316	0.10526315789473684
p44-42 MAPK (ERK1-2)-R-E	0.27148836822710704		0.01875901875901876	0.10833333333333334
PR-R-V	0.2684230760192376		0.01875901875901876	0.10833333333333334
Smad4-M-V	0.2669241123894398		0.020202020202020204	0.11382113821138211
Src_pY527-R-V	0.2589334198916334		0.023088023088023088	0.12698412698412698
PI3K-p85-R-V	0.25597300501309905		0.025974025974025976	0.13953488372093023
p90RSK_pT359_S363-R-C	0.25250509256076065		0.02886002886002886	0.14184397163120568
beta-Catenin-R-V	0.25090293156420507		0.02886002886002886	0.14184397163120568
AMPK_pT172-R-V	0.24858906693281896		0.02886002886002886	0.14184397163120568
beta-Catenin_pS33_S37_T41-R-E	0.24796111130229329		0.02886002886002886	0.14184397163120568
Tuberin_pT1462-R-V	0.24360484625501863		0.031746031746031744	0.15277777777777776
Rb_pS807_S811-R-V	0.23987564078012413		0.03607503607503607	0.17006802721088435
Smac-M-QC	0.23914490637786107		0.03751803751803752	0.17333333333333334
PKC-pan_BetaII_pS660-R-V	0.2363632154236243		0.04040404040404041	0.18300653594771243
Rb-M-QC	0.23367907268026375		0.044733044733044736	0.1949685534591195
c-Kit-R-V	0.23324751997585697		0.044733044733044736	0.1949685534591195
Bcl-xL-R-V	0.23163741578097616		0.049062049062049064	0.2033898305084746
Histone H2A-R-E	0.22926879573686065		0.049062049062049064	0.2033898305084746
HER2_pY1248-R-C	0.22711137062192957		0.050505050505050504	0.2033898305084746
CD31-M-V	0.22540233455820619		0.05194805194805195	0.2033898305084746
p38_MAPK-R-V	0.22510971345310682		0.05194805194805195	0.2033898305084746
eEF2-R-C	0.2245766163380702		0.05194805194805195	0.2033898305084746
HER3_pY1289-R-C	0.22140309406741596		0.05772005772005772	0.22222222222222224
p90RSK_pT573-R-E	0.22029142946191166		0.06060606060606061	0.22222222222222224
Akt_pS473-R-V	0.21800806717870747		0.06060606060606061	0.22222222222222224
Cyclin_D1-R-V	0.21785864005781236		0.06060606060606061	0.22222222222222224
FASN-R-V	0.21740310411090108		0.06204906204906205	0.22395833333333334
JNK2-R-C	0.21067145509739146		0.07215007215007214	0.2564102564102564
INPP4B-R-V	0.20732429545245853		0.08225108225108226	0.2878787878787879
p70S6K-R-V	0.20570912791952303		0.08802308802308802	0.30348258706467657
PDK1_pS241-R-V	0.20235944045433601		0.09668109668109669	0.3284313725490196
PRDX1-R-V	0.20188171391956042		0.09956709956709957	0.33333333333333337
Bcl-2-M-V	0.198688653321797		0.10245310245310245	0.33809523809523806
Src-M-V	0.19230173635229786		0.12554112554112554	0.38333333333333336
14-3-3_epsilon-M-C	0.19050993262390223		0.12987012987012986	0.38333333333333336
Cyclin_E1-M-V	0.19017653999402262		0.12987012987012986	0.38333333333333336
XBP1-G-C	0.18974905559039942		0.12987012987012986	0.38333333333333336
SHP-2_pY542-R-E	0.18964690221749833		0.12987012987012986	0.38333333333333336
JNK_pT183_Y185-R-V	0.1894776475962901		0.12987012987012986	0.38333333333333336
MDMX_MDM4(BetIHC-00108)-R-E	0.1884722904619914		0.13131313131313133	0.38333333333333336
GSK3-alpha-beta_pS21_S9-R-V	0.18763143417130593		0.13131313131313133	0.38333333333333336
Bid-R-C	0.1865899866281666		0.13275613275613277	0.38333333333333336
ERK2-R-E	0.18629865318639507		0.13275613275613277	0.38333333333333336
MDM2-R-E	0.1836576838017331		0.1414141414141414	0.40329218106995884
TSC1-R-C	0.18149462428468258		0.14862914862914864	0.4176706827309237
Gab2-R-V	0.18101480745348705		0.15007215007215008	0.4176706827309237
GSK3_pS9-R-V	0.1700129571967006		0.17316017316017315	0.471264367816092
alpha-Catenin-M-V	0.16917655212736157		0.17604617604617603	0.471264367816092
GAPDH-M-C	0.1690410947154566		0.1774891774891775	0.471264367816092
TTF1-R-V	0.16841873425140902		0.1774891774891775	0.471264367816092
STAT5-alpha-R-V	0.16794594172351404		0.18326118326118326	0.4756554307116105
DJ-1-R-V	0.1678770055443118		0.18326118326118326	0.4756554307116105
p27-R-V	0.1668164681007701		0.18614718614718614	0.47777777777777775
ER-alpha_pS118-R-V	0.162406935874601		0.19624819624819625	0.49816849816849823
P-Cadherin-R-C	0.15971388544525114		0.20346320346320346	0.5108695652173912
MEK2(13E3)-R-E	0.1579466937249987		0.21356421356421357	0.5283687943262412
ACC_pS79-R-V	0.157921348527626		0.215007215007215	0.5283687943262412
FOXO3a-R-C	0.15650577444292565		0.21933621933621933	0.5333333333333333
AMPK_alpha-R-C	0.1546557432669946		0.23232323232323232	0.5567010309278351
p27_pT157-R-C	0.15376227601949288		0.23376623376623376	0.5567010309278351
N-Ras-M-V	0.15161675359158744		0.24386724386724387	0.557632398753894
Caspase 8 Cleaved Asp391-R-E	0.15104441145297898		0.24675324675324675	0.557632398753894
Bap1 c-4-M-E	0.15101360888326312		0.24675324675324675	0.557632398753894
MDMX_MDM4(BetA300-287A)-R-E	0.14982898193585487		0.25252525252525254	0.557632398753894
B-Raf_pS445-R-E	0.1497925544513005		0.25252525252525254	0.557632398753894
GSK-3-BETA-R-E	0.14975404209242765		0.25252525252525254	0.557632398753894
MAPK_pT202_Y204-R-V	0.14865255519102905		0.2554112554112554	0.557632398753894
Notch1-R-V	0.14783427409189132		0.2554112554112554	0.557632398753894
ER-alpha-R-V	0.1471152757719455		0.25685425685425683	0.557632398753894
TFRC-R-V	0.1459701310188538		0.2582972582972583	0.557632398753894
PDK1-R-V	0.1446711197751989		0.26406926406926406	0.5648148148148148
MDM2_pS166-R-E	0.14416496806339432		0.26695526695526695	0.5657492354740061
PI3K-p110-alpha-R-C	0.13129400547271042		0.31746031746031744	0.6666666666666666
HSP70-R-C	0.12541683266172285		0.3333333333333333	0.6936936936936937
Acetyl-a-Tubulin (Lys40)-R-C	0.1172681892729133		0.3722943722943723	0.7669616519174042
Collagen_VI-R-V	0.11646923521654083		0.37518037518037517	0.7669616519174042
Bim(EP1036)-R-V	0.11265910491453478		0.38672438672438675	0.7768115942028986
Bim(CST2933)-R-E	0.11257026988843322		0.38672438672438675	0.7768115942028986
YB-1_pS102-R-V	0.10765578195912454		0.4025974025974026	0.8017241379310346
MEK1_pS217_S221-R-V	0.09100248607284718		0.4531024531024531	0.8945868945868947
eEF2K-R-V	0.07846435706489899		0.47186147186147187	0.9159663865546219
MEK1-R-V	0.07643905206580459		0.47186147186147187	0.9159663865546219
p53-R-E	-0.05049532117448871		0.48917748917748916	0.9416666666666668
Akt-R-V	-0.06378857763771335		0.4935064935064935	0.9421487603305785
Beclin-G-C	-0.07656997223648482		0.4935064935064935	0.9590163934426229
C-Raf(BD610151)-M-E	-0.0968868165228879		0.4660894660894661	0.9877675840978594
Bad_pS112-R-V	-0.10076567409866312		0.4531024531024531	0.9691358024691359
STAT3-R-E	-0.10155217676812177		0.45165945165945165	0.9691358024691359
C-Raf(MP05-739)-R-V	-0.1077019431770346		0.43001443001443	0.9371069182389937
N-Cadherin-R-V	-0.11159901435577824		0.417027417027417	0.9174603174603175
S6-R-E	-0.11295229821599483		0.4155844155844156	0.9174603174603175
STAT3_pY705-R-V	-0.12002001762535731		0.39105339105339104	0.8770226537216829
Porin-R-E	-0.1201776417585375		0.39105339105339104	0.8770226537216829
XRCC1-R-E	-0.1244705264853548		0.37518037518037517	0.858085808580858
4E-BP1-R-V	-0.1278218397905317		0.3665223665223665	0.8466666666666667
NDRG1_pT346-R-V	-0.14316494753395162		0.31024531024531027	0.723905723905724
EGFR_pY1068-R-C	-0.14372101159940706		0.30735930735930733	0.723905723905724
YAP_pS127-R-E	-0.14406047920555032		0.3059163059163059	0.723905723905724
EGFR_pY1173-R-V	-0.14417296409947175		0.30447330447330445	0.723905723905724
14-3-3_zeta-R-V	-0.1459335672698987		0.30158730158730157	0.723905723905724
JAK2-R-E	-0.1478285485453794		0.29292929292929293	0.7198581560283688
A-Raf_pS299-R-C	-0.15598003047940392		0.2554112554112554	0.6344086021505376
Raptor-R-V	-0.15797316485339225		0.240981240981241	0.605072463768116
Rad50-M-V	-0.15930055512834582		0.23809523809523808	0.6043956043956044
Cyclin_E2-R-C	-0.16292585671412618		0.227994227994228	0.5851851851851851
p62 Lck ligand-M-C	-0.1658870204581667		0.21933621933621933	0.5692883895131086
Tuberin-R-V	-0.1673386022025918		0.21645021645021645	0.5681818181818182
ASNS-R-V	-0.16875441213562348		0.21356421356421357	0.5670498084291188
Annexin_VII-M-V	-0.16920419983539584		0.21212121212121213	0.5670498084291188
ETS-1-R-V	-0.17216357657626005		0.20202020202020202	0.5490196078431373
Cyclin_B1-R-V	-0.17264441642096845		0.1976911976911977	0.5436507936507936
Ku80-R-C	-0.17344326593118223		0.19624819624819625	0.5436507936507936
CD20 -R-C	-0.173445541034314		0.19624819624819625	0.5436507936507936
LKB1-M-E	-0.1737953420139956		0.19480519480519481	0.5436507936507936
Stathmin-R-V	-0.17754499258093945		0.18326118326118326	0.5291666666666667
14-3-3_beta-R-V	-0.1775450944102289		0.18326118326118326	0.5291666666666667
p21-R-V	-0.18055394970866023		0.1746031746031746	0.517094017094017
S6_pS235_S236-R-V	-0.1824327006019922		0.16305916305916307	0.4891774891774892
PRAS40_pT246-R-V	-0.18395889984906044		0.16017316017316016	0.48684210526315785
B-Raf-M-C	-0.184624244016049		0.16017316017316016	0.48684210526315785
Mre11-R-C	-0.18778218585699993		0.14574314574314573	0.45495495495495497
ACC1-R-E	-0.1890089122998894		0.13997113997113997	0.4429223744292237
Di-Ras3-M-E	-0.1909628911584637		0.13564213564213565	0.43518518518518523
Dvl3-R-V	-0.1911229534963483		0.13564213564213565	0.43518518518518523
mTOR-R-V	-0.1954366789146948		0.12554112554112554	0.41428571428571426
ADAR1-R-V	-0.1959484054107771		0.1240981240981241	0.41428571428571426
53BP1-R-V	-0.1967695591625837		0.12121212121212122	0.4117647058823529
Akt_pT308-R-V	-0.20201187864659922		0.11544011544011544	0.39800995024875624
SF2-M-V	-0.20346059232730224		0.10822510822510822	0.3787878787878788
c-Myc-R-C	-0.20750168711811384		0.09090909090909091	0.32307692307692304
C-Raf_pS338-R-V	-0.20762861685761788		0.09090909090909091	0.32307692307692304
Src_pY416-R-C	-0.20773973309840238		0.09090909090909091	0.32307692307692304
YAP-R-E	-0.20861510399257965		0.09090909090909091	0.32307692307692304
c-Met_pY1235-R-V	-0.21246105485375746		0.07503607503607504	0.2841530054644809
mTOR_pS2448-R-C	-0.21591551425991237		0.0707070707070707	0.27222222222222225
RASD2(SigHPA005839)-R-E	-0.21597932268927258		0.0707070707070707	0.27222222222222225
beta Actin-R-E	-0.21850298276461702		0.06637806637806638	0.26436781609195403
GATA3-M-V	-0.22165898201495607		0.06637806637806638	0.26436781609195403
G6PD-M-V	-0.2216603551251819		0.06637806637806638	0.26436781609195403
FoxM1-R-V	-0.22484128185794186		0.06493506493506493	0.26436781609195403
ACVRL1-R-C	-0.22528051379196964		0.06349206349206349	0.26436781609195403
BRCA2-R-C	-0.23378823468202314		0.05194805194805195	0.22641509433962265
YB-1-R-V	-0.23446977366827187		0.05194805194805195	0.22641509433962265
RASD2(OriTA502070)-M-E	-0.23566662422967904		0.050505050505050504	0.22641509433962265
SETD2-R-QC	-0.2365695392729198		0.047619047619047616	0.22
p14 Arf(BetA300-340A)-R-E	-0.24080937769043492		0.04329004329004329	0.2040816326530612
S6_pS240_S244-R-V	-0.2461263338003098		0.03896103896103896	0.18749999999999997
Smad3-R-V	-0.24911179340775125		0.03463203463203463	0.1702127659574468
Chk1-M-C	-0.252973036962209		0.03463203463203463	0.1702127659574468
