Name	Score	0.95 MoE	p-value	FDR
MI-2	-0.42275105790673045	0.10834301551168939	0.002772002772002772	0.5
isoliquiritigenin	-0.4101877907005388	0.05771372591619575	0.003465003465003465	0.5
niclosamide	-0.3868978249228746	0.07152435198092749	0.004158004158004158	0.5
CBB-1007	-0.38147991140442905	0.10974294295624729	0.004851004851004851	0.5
ouabain	-0.3614339689337852	0.04236495945936352	0.00693000693000693	0.5
marinopyrrole A	-0.35552591853340515	0.047817838870249436	0.007623007623007623	0.5
BRD-K96431673	-0.34587426394269777	0.29830638701465734	0.009702009702009701	0.5
tivantinib	-0.34530762741751037	0.09828879125586017	0.010395010395010396	0.5
RG-108	-0.34329196866914047	0.12031270217816951	0.01178101178101178	0.5
ML029	-0.3428010367800112	0.04701683438665829	0.01178101178101178	0.5
BRD-K29086754	-0.34174377463575795	0.04485749154420806	0.01178101178101178	0.5
PF-3758309	-0.33919577065448436	0.27854311287451083	0.012474012474012475	0.5
SKI-II	-0.33824224386193336	0.23809109103542606	0.01386001386001386	0.5128205128205128
ifosfamide	-0.31864550527312124	0.09400585066032308	0.02286902286902287	0.6363636363636364
nutlin-3	-0.31841080922635484	0.05307360627027391	0.02286902286902287	0.6363636363636364
BRD-K35604418	-0.3161714867439615	0.0885301645879599	0.02356202356202356	0.6363636363636364
BRD-K33514849	-0.31403064685429216	0.19829236666508981	0.02494802494802495	0.6363636363636364
belinostat	-0.3110904599913362	0.10240588504114087	0.02564102564102564	0.6363636363636364
CIL70	-0.30818237337163257	0.2814778062647913	0.026334026334026334	0.6363636363636364
lomeguatrib	-0.30498268260011857	0.26583172716645026	0.02702702702702703	0.6363636363636364
XL765	-0.30352930590907823		0.028413028413028413	0.6363636363636364
TW-37	-0.3016310437337282		0.029106029106029108	0.6363636363636364
OSI-930	-0.2944485436065027		0.036036036036036036	0.7179487179487178
gossypol	-0.29429936570367826		0.036729036729036726	0.7179487179487178
PHA-793887	-0.2927866266758881		0.038115038115038115	0.7179487179487178
SZ4TA2	-0.2912310181226848		0.038808038808038806	0.7179487179487178
ruxolitinib	-0.28630434389753967		0.04504504504504504	0.7753623188405797
BRD-K02251932	-0.2849974667882719		0.04643104643104643	0.7753623188405797
skepinone-L	-0.2834540787058529		0.04851004851004851	0.7753623188405797
blebbistatin	-0.2824163689408125		0.04851004851004851	0.7753623188405797
alvocidib	-0.27926144740126213		0.05474705474705475	0.7753623188405797
BRD-K02492147	-0.27869859062996055		0.05474705474705475	0.7753623188405797
YM-155	-0.2771996253032297		0.056133056133056136	0.7753623188405797
BRD-K92856060	-0.2731280153609568		0.060291060291060294	0.7753623188405797
elocalcitol	-0.2728840115981099		0.060291060291060294	0.7753623188405797
AT13387	-0.2706364728493648		0.06306306306306306	0.7753623188405797
betulinic acid	-0.2695646696931542		0.06514206514206514	0.7753623188405797
BRD-K34099515	-0.26731976134014906		0.06791406791406791	0.7753623188405797
dinaciclib	-0.26591443917534635		0.06860706860706861	0.7753623188405797
hyperforin	-0.2648445622792779		0.0693000693000693	0.7753623188405797
NSC 74859	-0.2645655873422666		0.06999306999306999	0.7753623188405797
pevonedistat	-0.2632500446939513		0.07207207207207207	0.7753623188405797
QS-11	-0.2613142169627028		0.07345807345807345	0.7753623188405797
narciclasine	-0.2610910733205577		0.07345807345807345	0.7753623188405797
pandacostat	-0.2609336504224709		0.07345807345807345	0.7753623188405797
valdecoxib	-0.26085929375452027		0.07415107415107415	0.7753623188405797
A-804598	-0.2579353180465839		0.079002079002079	0.7891156462585034
NSC48300	-0.2573484770630627		0.08038808038808039	0.7891156462585034
MLN2480	-0.2571121334314465		0.08038808038808039	0.7891156462585034
STF-31	-0.25477098536717574		0.08385308385308385	0.8066666666666665
AZD7545	-0.2527060430053441		0.0887040887040887	0.8366013071895424
BI-2536	-0.2524888332085958		0.09078309078309078	0.8397435897435896
brivanib	-0.24998419167449082		0.09424809424809424	0.841025641025641
SID 26681509	-0.2491897601686514		0.09563409563409564	0.841025641025641
PF-750	-0.24901410195285342		0.09632709632709632	0.841025641025641
SGX-523	-0.2486705338863165		0.0984060984060984	0.841025641025641
etomoxir	-0.24701677989933765		0.10464310464310464	0.841025641025641
cytarabine hydrochloride	-0.24532789675866407		0.10810810810810811	0.841025641025641
abiraterone	-0.24482696494595263		0.1088011088011088	0.841025641025641
olaparib	-0.24454062850972672		0.1088011088011088	0.841025641025641
TG-100-115	-0.24367702604084593		0.11088011088011088	0.841025641025641
Ko-143	-0.24365867340798122		0.11157311157311157	0.841025641025641
indisulam	-0.2432853038273006		0.11226611226611227	0.841025641025641
linifanib	-0.2425779006731852		0.11295911295911296	0.841025641025641
BRD-K78574327	-0.24212290958206759		0.11365211365211365	0.841025641025641
PF-573228	-0.2391789185832021		0.12127512127512127	0.8838383838383838
phloretin	-0.23730688564344607		0.12612612612612611	0.8904761904761904
ML083	-0.2368822736967725		0.1275121275121275	0.8904761904761904
HBX-41108	-0.23477615143582986		0.1295911295911296	0.8904761904761904
