Gene	Score	0.95 MoE	p-value	FDR
SNUPN	0.8624416968425689	0.04494252893700625	1.3001365143340052e-06	0.025
CRYL1	0.8622194340530083	0.04541113815281753	1.6251706429175062e-06	0.025
TPK1	0.8602144791655713	0.0461395684030645	7.800819086004031e-06	0.06324324324324324
GEM	0.859923654514073	0.05779335188916857	1.056360917896379e-05	0.06324324324324324
AP000318.2	0.8599026443363231	0.09219369060971457	1.056360917896379e-05	0.06324324324324324
ERCC1	0.8595609291010502	0.09673726369382646	1.5114086979132809e-05	0.06324324324324324
RSAD1	0.859517994911617	0.07097499000808291	1.543912110771631e-05	0.06324324324324324
AEBP1	0.8593359902752756	0.05904036866244961	1.6739257622050317e-05	0.06324324324324324
LEPRE1	0.8590812849388954	0.04444444881134957	2.2102320743678087e-05	0.06324324324324324
RP11-127L20.6	0.8588629141021183	0.07140369760086797	2.4702593772346095e-05	0.06324324324324324
NAGS	0.8587152124272605	0.07474478581645261	2.6815315608138856e-05	0.06324324324324324
AGPAT5	0.8586906944681347	0.03401497521033824	2.7302866801014107e-05	0.06324324324324324
CNRIP1	0.8584670901052515	0.08613394603144915	3.0228173958265618e-05	0.06324324324324324
LEPREL2	0.858162100635412	0.0814941343443741	3.607878827276864e-05	0.06324324324324324
AC046143.3	0.8580691270867777	0.03434686723733939	3.770395891568615e-05	0.06324324324324324
TM4SF19	0.8578480696236587	0.06444649455300226	4.355457323018917e-05	0.06324324324324324
RP1-12G14.7	0.8577969319043066	0.048795443789858894	4.436715855164792e-05	0.06324324324324324
NOB1	0.8574241915171819	0.0450285905282624	4.9730221673275696e-05	0.06324324324324324
ENG	0.8573535929170693	0.047686198661198956	5.038028993044269e-05	0.06324324324324324
PCOLCE	0.8573086867632882	0.047393991138033796	5.054280699473445e-05	0.06324324324324324
AC005035.1	0.8570244307975865		5.623090424494572e-05	0.06324324324324324
STEAP2	0.8568198356553471		6.143145030228174e-05	0.06324324324324324
DHH	0.8567394330593054		6.305662094519924e-05	0.06324324324324324
MTAP	0.8567140810815973		6.338165507378274e-05	0.06324324324324324
TWIST2	0.8566237675233869		6.48443086524085e-05	0.06324324324324324
TNFRSF19	0.8566067891957894		6.500682571670025e-05	0.06324324324324324
ZNF589	0.8565571188645748		6.630696223103426e-05	0.06324324324324324
RAB31	0.856551726132346		6.630696223103426e-05	0.06324324324324324
DUSP6	0.856452511027856		6.760709874536826e-05	0.06324324324324324
SLC2A3	0.856397319453641		6.809464993824351e-05	0.06324324324324324
TMEM145	0.8563656970929809		6.890723525970227e-05	0.06324324324324324
EML3	0.8562540941280826		7.053240590261978e-05	0.06324324324324324
ADAMTSL1	0.8562127671062774		7.118247415978678e-05	0.06324324324324324
SLC20A1	0.8561698497298604		7.150750828837027e-05	0.06324324324324324
STX1A	0.8560440075536898		7.378274718845479e-05	0.06324324324324324
ISG20	0.8559660885332484		7.57329519599558e-05	0.06324324324324324
CTSL1	0.8559246997275466		7.60579860885393e-05	0.06324324324324324
STARD8	0.8556020166407176		8.320873691737633e-05	0.06692307692307693
TRAP1	0.8555310246865037		8.483390756029384e-05	0.06692307692307693
FAM216A	0.8553212570570062		8.759669765325359e-05	0.06707317073170731
SLC35E4	0.8552735640344783		8.938438536046284e-05	0.06707317073170731
EXOSC2	0.855166110920871		9.312227783917312e-05	0.06821428571428571
RPLP0P2	0.8548802793665169		0.0001027107846323864	0.07308943089430894
YBX1	0.8547376966069632		0.00010628616004680492	0.07308943089430894
HRH1	0.8545579043920126		0.00011099915491126569	0.07308943089430894
TSPAN5	0.8543846577509272		0.00011278684261847494	0.07308943089430894
CTD-2033A16.3	0.8541827016826704		0.00011636221803289345	0.07308943089430894
DPYSL3	0.8536885519357741		0.0001300136514334005	0.07308943089430894
PIP4K2A	0.8536594967180062		0.000130338685561984	0.07308943089430894
AC006111.1	0.8535415077155744		0.000132938958590652	0.07308943089430894
RP11-497D6.4	0.8532789355718817		0.00013570174868361178	0.07308943089430894
WDR54	0.8532491278849985		0.0001373269193265293	0.07308943089430894
FUT8	0.853113893928971		0.0001379769875836963	0.07308943089430894
GPR3	0.8530454366863442		0.00013976467529090554	0.07308943089430894
IL1RL1	0.8530149291199598		0.00014073977767665606	0.07308943089430894
C2orf89	0.8527461577184893		0.00014626535786257556	0.07308943089430894
TOMM34	0.852676731100092		0.00014870311382695183	0.07308943089430894
IFFO1	0.8526225022379702		0.0001501657674055776	0.07308943089430894
HMGA1	0.8526186997614741		0.0001501657674055776	0.07308943089430894
KDSR	0.8525980955670049		0.0001501657674055776	0.07308943089430894
BMP6	0.8524037868993967		0.00015585386465578885	0.07308943089430894
ETV4	0.852313795342205		0.00015764155236299812	0.07308943089430894
PRDM8	0.8522650402986148		0.00015877917181304036	0.07308943089430894
TMEM55A	0.8522518912995917		0.00015942924007020736	0.07308943089430894
TM4SF19-AS1	0.8520110110773725		0.00016251706429175062	0.07308943089430894
CACYBP	0.8518285358049502		0.0001649548202561269	0.07308943089430894
B4GALT6	0.8516902545264627		0.00016576740557758564	0.07308943089430894
RP5-1160K1.6	0.8514811423267756		0.00017064291750633817	0.07308943089430894
TPBG	0.8511308160298122		0.00017503087824221543	0.07308943089430894
LIX1L	0.8510770935990453		0.00017633101475654945	0.07308943089430894
DOCK10	0.8509816534588885		0.0001784437365923422	0.07308943089430894
FKBP10	0.8509715996878147		0.0001784437365923422	0.07308943089430894
NCBP2-AS1	0.8505380166621841		0.00018591952154976273	0.07308943089430894
STC1	0.8505218761248504		0.00018591952154976273	0.07308943089430894
ANPEP	0.8504755947836439		0.00018656958980692973	0.07308943089430894
ARHGAP4	0.850164577913257		0.000194857960085809	0.07308943089430894
RP11-82L18.2	0.8501403576749336		0.00019567054540726777	0.07308943089430894
PLOD1	0.8493777829125377		0.00020720925697198205	0.07308943089430894
MMP16	0.8493723962762101		0.00020720925697198205	0.07308943089430894
NES	0.849314222049989		0.00020899694467919132	0.07308943089430894
RASA3	0.8492943957568709		0.00020915946174348307	0.07308943089430894
DYRK2	0.8489337193828171		0.00021273483715790158	0.07308943089430894
U47924.11	0.8487797579200761		0.00021452252486511085	0.07308943089430894
CMTM3	0.8487252486133671		0.0002153351101865696	0.07308943089430894
IFT57	0.8487199594230723		0.0002153351101865696	0.07308943089430894
GNG11	0.8486220463519923		0.00021761034908665409	0.07308943089430894
DOCK4	0.847999093187124		0.00022703633881557562	0.07308943089430894
RPIA	0.8477748040191421		0.00023256191900149515	0.07308943089430894
SRPX	0.8476868217954653		0.00023516219203016317	0.07308943089430894
PODXL	0.8475194999644609		0.00023825001625170643	0.07308943089430894
MME	0.8474934235564818		0.00023873756744458168	0.07308943089430894
RP11-443A13.3	0.8474207569532983		0.00023987518689462393	0.07308943089430894
KCNMA1	0.8474001603335882		0.0002419879087304167	0.07308943089430894
PKIA	0.84723497824811		0.00024507573295195996	0.07308943089430894
SYT7	0.8470991581837997		0.0002491386595592537	0.07308943089430894
KATNB1	0.846715666658665		0.00025563934213092374	0.07308943089430894
SLC9A5	0.846655270276717		0.0002564519274523825	0.07308943089430894
CCDC69	0.8466225176796216		0.00025661444451667424	0.07308943089430894
RPL5	0.8465735801787595		0.00025791458103100823	0.07308943089430894
RP13-516M14.1	0.846533975267229		0.0002584021322238835	0.07308943089430894
ARHGAP22	0.8464952642797806		0.000259377234609634	0.07308943089430894
ADAM19	0.8464760875461625		0.000259377234609634	0.07308943089430894
GPR162	0.8463195760170298		0.00026327764415263604	0.07308943089430894
RP11-736K20.5	0.846300685416741		0.00026425274653838653	0.07308943089430894
SERPINA1	0.8461602706463777		0.000265877917181304	0.07308943089430894
RP11-1299A16.3	0.8461430637744218		0.000265877917181304	0.07308943089430894
PTGER1	0.8459167513212423		0.00026782812195280507	0.07308943089430894
RP11-221N13.3	0.8457030465059322		0.0002705909120457648	0.07308943089430894
NAV3	0.8456870980811501		0.0002705909120457648	0.07308943089430894
DAP	0.845586046987541		0.0002731911850744328	0.07308943089430894
ELTD1	0.8453767769375315		0.0002764415263602678	0.07308943089430894
ARC	0.8452263862232791		0.00028034193590326985	0.07308943089430894
MME-AS1	0.8450841046424423		0.0002818045894818956	0.07308943089430894
EEF1A1P5	0.8449724711752793		0.00028261717480335434	0.07308943089430894
JAK3	0.8448683368837301		0.0002842423454462719	0.07308943089430894
RP11-169D4.1	0.8447122223456407		0.0002870051355392316	0.07308943089430894
PFAS	0.844631928495767		0.00028814275498927386	0.07308943089430894
TMEM158	0.8444785354525804		0.00028993044269648313	0.07308943089430894
INSC	0.8444778343670581		0.00028993044269648313	0.07308943089430894
ARSJ	0.8444618791762267		0.00028993044269648313	0.07308943089430894
GNL3	0.8444263341629128		0.0002904179938893584	0.07308943089430894
GLUD1	0.844323552081664		0.0002907430280179419	0.07308943089430894
C11orf68	0.8441931611388549		0.0002922056815965676	0.07308943089430894
GPR4	0.8437222848095637		0.0003016316713254892	0.07427999999999998
DUSP22	0.8436765506709654		0.0003017941883897809	0.07427999999999998
RP11-153M7.3	0.843508206898432		0.00030439446141844895	0.07432539682539684
PITX3	0.8431966818914004		0.0003099200416043685	0.07449218750000001
KRAS	0.8431812998004452		0.0003099200416043685	0.07449218750000001
NPR2	0.8428696448910168		0.00031382045114737047	0.07484496124031008
PREX1	0.8421509140475584		0.00032340895794058375	0.07511111111111111
ABCC4	0.8421382515707516		0.00032357147500487553	0.07511111111111111
SPRED3	0.8421176174786446		0.00032438406032633425	0.07511111111111111
ANTXR2	0.8419447596908909		0.0003295846063836703	0.07511111111111111
CDH5	0.8419328657417784		0.0003295846063836703	0.07511111111111111
SSBP3	0.8419123303208824		0.0003295846063836703	0.07511111111111111
CDCP1	0.8414425883492721		0.0003360852889553403	0.07586956521739131
GLRX	0.8412704351073138		0.00033917311317688357	0.07586956521739131
EFHD2	0.8412295533899184		0.00034031073262692584	0.07586956521739131
CHGB	0.8398969081960754		0.0003624130533706039	0.07918918918918919
UNC13A	0.8395360255821464		0.0003702138724566079	0.07918918918918919
PLAT	0.8393969632129594		0.0003726516284209842	0.07918918918918919
ANXA2R	0.8393195021398975		0.00037606448677111095	0.07918918918918919
AC112721.1	0.8392865473825525		0.00037671455502827795	0.07918918918918919
FLT1	0.8391373265917029		0.000379314828056946	0.07918918918918919
AC016683.6	0.8391353836027059		0.000379314828056946	0.07918918918918919
ELK3	0.8390573267337039		0.00038110251576415526	0.07918918918918919
HGF	0.8390122858848164		0.0003828902034713645	0.07918918918918919
SPTLC1P3	0.8387815940652844		0.00038711564714295	0.07918918918918919
PYGB	0.8387754240832779		0.0003874406812715335	0.07918918918918919
NELF	0.8387505976030789		0.0003874406812715335	0.07918918918918919
RAB13	0.8385030691542311		0.00039215367613599426	0.07918918918918919
SATB2	0.8381957930648575		0.00039491646622895403	0.07918918918918919
RHOH	0.8379526334187221		0.0003976792563219138	0.07918918918918919
C6orf1	0.8379166690090005		0.0003993044269648313	0.07918918918918919
FAM92A1	0.8375082718168947		0.0004072677631151271	0.07918918918918919
TRBC2	0.8372307076982323		0.0004111681726581291	0.07918918918918919
MPG	0.8371364150261158		0.0004131183774296301	0.07918918918918919
SRD5A1	0.8366568262700499		0.00041994409412988363	0.07918918918918919
IL27RA	0.8363557236502599		0.0004256321913800949	0.07918918918918919
B3GALT1	0.8363534837543811		0.0004256321913800949	0.07918918918918919
SLC6A15	0.8360730204667812		0.00042872001560163815	0.07918918918918919
CALCRL	0.8356377606117967		0.0004358707664304752	0.07918918918918919
PLEKHO2	0.8355384878820764		0.0004368458688162257	0.07918918918918919
RP11-549B18.1	0.8355161201428939		0.0004371709029448092	0.07918918918918919
GEMIN5	0.8354955023942533		0.0004374959370733927	0.07918918918918919
YBX1P1	0.8354313891366045		0.0004391211077163102	0.07918918918918919
SYP	0.8351824447288513		0.0004417213807449782	0.07918918918918919
IL21R	0.8347884530534986		0.0004474094779951895	0.07918918918918919
ITGA5	0.8343278221775949		0.0004556978482740688	0.07918918918918919
CHST2	0.8343102529731593		0.0004556978482740688	0.07918918918918919
CTHRC1	0.8342728537021996		0.0004566729506598193	0.07918918918918919
EEF1A1P19	0.8342499666105825		0.0004571605018526945	0.07918918918918919
RP11-567J20.2	0.8340484156614749		0.0004608983943314048	0.07918918918918919
CNIH3	0.833927364071141		0.0004631736332314893	0.07918918918918919
COPS8	0.8337933323218004		0.0004652863550672821	0.07918918918918919
RPL4	0.8337603241832103		0.0004656113891958656	0.07918918918918919
EIF3E	0.8337437968402625		0.0004657739062601573	0.07918918918918919
FRMD4A	0.8336820282211514		0.0004672365598387831	0.07918918918918919
TEX10	0.8336063358273463		0.00046902424754599235	0.07918918918918919
LINC00460	0.8335992767109663		0.00046951179873886757	0.07918918918918919
FAM43A	0.8334656840026552		0.0004714620035103686	0.07918918918918919
CTA-221G9.10	0.8334554041442757		0.0004714620035103686	0.07918918918918919
AC002303.5	0.8332351338350803		0.00047292465708899433	0.07918918918918919
LRWD1	0.8331755676234145		0.0004748748618604954	0.07918918918918919
TMEM231	0.8331081601757501		0.00047617499837482937	0.07918918918918919
CENPV	0.8325996087929551		0.0004846258857180004	0.07957286432160805
SPRY4	0.8323075373639344		0.0004885262952610024	0.07957286432160805
CLDN14	0.8322842096901364		0.0004885262952610024	0.07957286432160805
SHANK1	0.8318116786131501		0.0004951894948969642	0.07957286432160805
EEF1A1P6	0.831763649027108		0.0004958395631541312	0.07957286432160805
CACNG8	0.8313539409598694		0.0005015276604043424	0.07957286432160805
SLC9A3R2	0.8312500779296302		0.0005029903139829682	0.07957286432160805
TMTC4	0.8311973238032182		0.0005046154846258857	0.07957286432160805
ZNF883	0.8310630100945898		0.0005068907235259702	0.07957286432160805
RP5-1120P11.1	0.8309823781514807		0.0005080283429760125	0.07957286432160805
LRRC73	0.8308402028558014		0.00050965351361893	0.07957286432160805
RFX8	0.8307990494272341		0.0005099785477475135	0.07957286432160805
GOLIM4	0.8305258696145178		0.0005143665084833907	0.07957286432160805
CDH13	0.8304954509560704		0.0005146915426119743	0.07957286432160805
RP11-318K12.1	0.829648737275063		0.0005254176688552298	0.08056372549019608
TGFB1	0.8294994522326986		0.0005276929077553143	0.08056372549019608
SPRED1	0.8291615480482604		0.000531105766105441	0.08056372549019608
ARHGAP31	0.828997528639939		0.0005338685561984009	0.08056372549019608
RP11-17M16.1	0.8289737967188991		0.0005341935903269843	0.08056372549019608
TNFAIP6	0.8281155528094669		0.0005447571995059481	0.0817560975609756
FZD8	0.827025321371956		0.0005636091789637912	0.08341201716738197
GLUD2	0.8267825196714507		0.0005692972762140025	0.08341201716738197
GFPT2	0.8265541181756387		0.000572222583371254	0.08341201716738197
ZADH2	0.8264520616673618		0.0005740102710784632	0.08341201716738197
SNAI1	0.8262090822058509		0.0005790483000715075	0.08341201716738197
MAN1A1	0.8258922159981145		0.0005840863290645518	0.08341201716738197
RP1-101K10.6	0.8257315707850925		0.0005879867386075538	0.08341201716738197
KHDRBS3	0.8257216045064062		0.0005883117727361373	0.08341201716738197
RP3-497J21.1	0.8256859469416633		0.0005889618409933043	0.08341201716738197
ALAS1	0.8256467179760699		0.0005896119092504713	0.08341201716738197
PPM1F	0.8254913514464299		0.000593024767600598	0.08341201716738197
TRPA1	0.8254651904927678		0.0005933498017291816	0.08341201716738197
CCDC28B	0.8250422442751362		0.0005990378989793928	0.08341201716738197
HHIP	0.8247209895915251		0.0006058636156796464	0.08341201716738197
SLC4A8	0.8246937613346353		0.0006058636156796464	0.08341201716738197
C20orf197	0.8241870176679675		0.0006117142299941493	0.08341201716738197
