Name	Score	0.95 MoE	p-value	FDR
ibrutinib	-0.6388456651490819	0.03178707689734063	0.000693000693000693	0.037037037037037035
PD 153035	-0.6367724275069464	0.029013082582339932	0.000693000693000693	0.037037037037037035
afatinib	-0.5309746963419903	0.03151371962948851	0.000693000693000693	0.037037037037037035
austocystin D	-0.4900829374769734	0.010553610807337877	0.000693000693000693	0.037037037037037035
lapatinib	-0.47375527758903024	0.001587447461641618	0.000693000693000693	0.037037037037037035
BYL-719	-0.46148725287488446	0.0428383440862541	0.000693000693000693	0.037037037037037035
erlotinib	-0.4579059644734002	0.019062990294796304	0.000693000693000693	0.037037037037037035
pitstop2	-0.4449479049270668	0.291665584911125	0.000693000693000693	0.037037037037037035
canertinib	-0.4437277023683352	0.02295846168191599	0.000693000693000693	0.037037037037037035
JW-74	-0.4278989787856334	0.3060284650849355	0.001386001386001386	0.05555555555555555
neratinib	-0.42538392498619254	0.033277814826656434	0.001386001386001386	0.05555555555555555
WZ4002	-0.420337295030494	0.036084098259253634	0.001386001386001386	0.05555555555555555
tacedinaline	-0.40260287568616987	0.0350367272560459	0.004158004158004158	0.15384615384615385
A-804598	-0.3932145496431177	0.28356625955174924	0.00693000693000693	0.23809523809523808
gefitinib	-0.3862716237753815	0.03484052772525773	0.009009009009009009	0.2745098039215686
O-6-benzylguanine	-0.38249084787050047	0.443876636783188	0.009702009702009701	0.2745098039215686
NSC19630	-0.37828269318721014	0.30263234375253045	0.009702009702009701	0.2745098039215686
HBX-41108	-0.37193944547960356	0.2359643947131376	0.010395010395010396	0.2777777777777778
BRD-K19103580	-0.35757972606892746	0.02022626767598731	0.016632016632016633	0.38095238095238093
BRD-K33514849	-0.35692235313116044	0.32666456425177587	0.016632016632016633	0.38095238095238093
skepinone-L	-0.35620950586250816		0.016632016632016633	0.38095238095238093
16-beta-bromoandrosterone	-0.35116413903338356		0.018711018711018712	0.38888888888888884
BCL-LZH-4	-0.3510077422754635		0.018711018711018712	0.38888888888888884
necrostatin-7	-0.35049495007206355		0.019404019404019403	0.38888888888888884
ML050	-0.3439078926236078		0.02356202356202356	0.4533333333333333
BRD-K02251932	-0.3425417429584598		0.02564102564102564	0.47435897435897434
