Name	Score	0.95 MoE	p-value	FDR
SENESE_HDAC2_TARGETS_UP	0.7942482632920934	0.007026291907078342	4.368147468658542e-05	8.413259296651523e-05
SENESE_HDAC1_TARGETS_UP	0.7832260324601796	0.01610587551243796	4.368147468658542e-05	8.413259296651523e-05
BROWNE_HCMV_INFECTION_2HR_DN	0.7820729896771511	0.01724544395965391	4.368147468658542e-05	8.413259296651523e-05
XU_HGF_SIGNALING_NOT_VIA_AKT1_6HR	0.7786943943464218	0.01429851077204123	4.368147468658542e-05	8.413259296651523e-05
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.7737039514980477	0.011163505437174882	4.368147468658542e-05	8.413259296651523e-05
AMIT_EGF_RESPONSE_480_HELA	0.7714443100911152	0.015174207724137549	4.368147468658542e-05	8.413259296651523e-05
BMI1_DN_MEL18_DN.V1	0.7648271978844315	0.01673018092451596	4.368147468658542e-05	8.413259296651523e-05
AMIT_EGF_RESPONSE_480_MCF10A	0.7631839421705487	0.01952230805988117	4.368147468658542e-05	8.413259296651523e-05
MEL18_DN.V1	0.759362731818095	0.014697804231404262	4.368147468658542e-05	8.413259296651523e-05
KIM_WT1_TARGETS_12HR_DN	0.7588573939227274	0.025535180597901597	4.368147468658542e-05	8.413259296651523e-05
AMIT_EGF_RESPONSE_240_HELA	0.7554916432393272	0.02267297489432923	4.368147468658542e-05	8.413259296651523e-05
HUANG_DASATINIB_RESISTANCE	0.7528464548273248	0.019398804121634604	4.368147468658542e-05	8.413259296651523e-05
XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	0.7476191602855033	0.003231283385900535	4.368147468658542e-05	8.413259296651523e-05
HUANG_DASATINIB_RESISTANCE_UP	0.7436207246050068	0.022850626331470524	4.368147468658542e-05	8.413259296651523e-05
KRAS.DF.V1_UP	0.7384257458770803	0.022261086803581045	4.368147468658542e-05	8.413259296651523e-05
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.7357264278266565	0.023627681493980913	4.368147468658542e-05	8.413259296651523e-05
NIELSEN_LEIOMYOSARCOMA	0.7338487886665426	0.0015481417836950583	4.368147468658542e-05	8.413259296651523e-05
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	0.7310889698456108	0.004800976799463109	4.368147468658542e-05	8.413259296651523e-05
BMI1_DN.V1	0.73067503610902	0.01519200614642376	4.368147468658542e-05	8.413259296651523e-05
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN	0.7301690626401806	0.029110374257818157	4.368147468658542e-05	8.413259296651523e-05
REACTOME_PYRIMIDINE_METABOLISM	0.7295107027377215		4.368147468658542e-05	8.413259296651523e-05
OSADA_ASCL1_TARGETS_DN	0.7292456184521017		4.368147468658542e-05	8.413259296651523e-05
GRUETZMANN_PANCREATIC_CANCER	0.7259160210751541		4.368147468658542e-05	8.413259296651523e-05
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	0.7256831918262524		4.368147468658542e-05	8.413259296651523e-05
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.7216946750410909		4.368147468658542e-05	8.413259296651523e-05
