Name	Score	0.95 MoE	p-value	FDR
CCDC172	-0.6246267823540783	0.05340914696543398	1.9495457558388895e-05	0.0021645021645021645
TAF1D	-0.6221987499339515	0.0534085052734419	1.9495457558388895e-05	0.0021645021645021645
SPESP1	-0.6186681276124537	0.040783960493226856	1.9495457558388895e-05	0.0021645021645021645
WDR91	-0.6092259170611671	0.04653366925232858	1.9495457558388895e-05	0.0021645021645021645
CAB39	-0.6019706559067703	0.02186289238726111	1.9495457558388895e-05	0.0021645021645021645
PCBD2	-0.6011442839543595	0.033728766658660085	1.9495457558388895e-05	0.0021645021645021645
CTBS	-0.5961983936277413	0.06115215806465672	1.9495457558388895e-05	0.0021645021645021645
VWA5A	-0.5909200387812055	0.021337698453043695	1.9495457558388895e-05	0.0021645021645021645
GLB1L3	-0.5907035053355584	0.07648418411708514	1.9495457558388895e-05	0.0021645021645021645
STRN4	-0.5906597168370311	0.048407702737275946	1.9495457558388895e-05	0.0021645021645021645
MRPS33	-0.5881179289701429	0.06935989033729992	1.9495457558388895e-05	0.0021645021645021645
ZNF500	-0.5869521652560196	0.05453006832319533	1.9495457558388895e-05	0.0021645021645021645
UTS2	-0.5850106642397771	0.07270889435344031	1.9495457558388895e-05	0.0021645021645021645
DNPH1	-0.5769050135325834	0.08155874733258581	1.9495457558388895e-05	0.0021645021645021645
GGCT	-0.5766259251179173	0.06876716697783365	1.9495457558388895e-05	0.0021645021645021645
CLEC18A	-0.5742093785373961	0.015945296031731133	1.9495457558388895e-05	0.0021645021645021645
CLEC18C	-0.5742093785373961	0.015945296031731133	1.9495457558388895e-05	0.0021645021645021645
ZNF615	-0.5735298684879757	0.04187847154201344	1.9495457558388895e-05	0.0021645021645021645
MRPL36	-0.5733145639059114	0.06040258555267082	1.9495457558388895e-05	0.0021645021645021645
HAPLN4	-0.5712497601011278	0.0527779958004182	1.9495457558388895e-05	0.0021645021645021645
WSB2	-0.5700145864544627	0.021423152489202135	1.9495457558388895e-05	0.0021645021645021645
YBEY	-0.5674847826185236		1.9495457558388895e-05	0.0021645021645021645
PGBD5	-0.5663396978423352		1.9495457558388895e-05	0.0021645021645021645
ASZ1	-0.5644613193942005		1.9495457558388895e-05	0.0021645021645021645
SPOP	-0.5642975406565331		1.9495457558388895e-05	0.0021645021645021645
ERICH6B	-0.5642572402686836		1.9495457558388895e-05	0.0021645021645021645
PIGF	-0.5633680100008591		1.9495457558388895e-05	0.0021645021645021645
ZNF395	-0.5610659079688389		1.9495457558388895e-05	0.0021645021645021645
NLRP2	-0.5605778095487164		1.9495457558388895e-05	0.0021645021645021645
TMEM97	-0.5579834147911715		1.9495457558388895e-05	0.0021645021645021645
SLC7A14	-0.556092784812171		1.9495457558388895e-05	0.0021645021645021645
FAM189B	-0.5539055251992013		1.9495457558388895e-05	0.0021645021645021645
DDT	-0.5514094208507817		1.9495457558388895e-05	0.0021645021645021645
SRRM3	-0.5504928051269723		1.9495457558388895e-05	0.0021645021645021645
C1orf146	-0.5495159857353691		1.9495457558388895e-05	0.0021645021645021645
PLEKHA1	-0.5474313395512465		1.9495457558388895e-05	0.0021645021645021645
TRUB1	-0.5465212992056226		1.9495457558388895e-05	0.0021645021645021645
