Name	Score	0.95 MoE	p-value	FDR
DLK2	0.8883680614011024	0.024350973515727833	2.1746221593998042e-05	0.06956521739130435
STARD3	0.8710769814198699	0.46541877354130534	2.1746221593998042e-05	0.06956521739130435
HSD17B1	0.8396825324962833	0.5348353822737762	3.62437026566634e-05	0.06956521739130435
PVRL1	0.8357591404114142	0.033041430346503725	5.0741183719328766e-05	0.06956521739130435
RP11-159F24.6	0.8288681529643058	0.07995894184878923	5.0741183719328766e-05	0.06956521739130435
CTSL2	0.8118722529233656	0.030505953187670753	5.798992425066145e-05	0.06956521739130435
OTUD1	0.8012084218134539	0.059147503085938295	5.798992425066145e-05	0.06956521739130435
C9orf169	0.7949626025648163	0.14238237634376372	6.523866478199413e-05	0.06956521739130435
AB019441.29	0.7900886704529999	0.6021866204201951	7.24874053133268e-05	0.06956521739130435
AC093162.5	0.7896236052908178	0.04201895025018981	7.24874053133268e-05	0.06956521739130435
C16orf74	0.785622799132482	0.04324975799540339	7.24874053133268e-05	0.06956521739130435
AC091814.3	0.7839232033828833	0.02559135714825478	7.24874053133268e-05	0.06956521739130435
C10orf43	0.7834723306755708	0.00615452616326228	7.24874053133268e-05	0.06956521739130435
XXyac-YR14BB7.1	0.7777368058422781	0.00781785142627982	7.24874053133268e-05	0.06956521739130435
EFNB1	0.7773773587467142	0.015517521673131465	7.24874053133268e-05	0.06956521739130435
ALOX12	0.7768456908843699	0.05548804130697431	7.24874053133268e-05	0.06956521739130435
PTK2B	0.775444282887418	0.09663443712626686	7.24874053133268e-05	0.06956521739130435
BLCAP	0.7747521195427589	0.024501366636638527	7.24874053133268e-05	0.06956521739130435
ORMDL3	0.7739142798393327	0.18966391840779956	7.24874053133268e-05	0.06956521739130435
RDH16	0.7738317833341712	0.09117154963519435	7.24874053133268e-05	0.06956521739130435
ANXA8L1	0.7695843382535107		7.24874053133268e-05	0.06956521739130435
RP11-973D8.3	0.7691158671092203		7.24874053133268e-05	0.06956521739130435
TRAF3IP3	0.7686037103593301		7.24874053133268e-05	0.06956521739130435
ANXA8L2	0.7649780130384204		7.24874053133268e-05	0.06956521739130435
ZNF385A	0.7644692516556727		7.24874053133268e-05	0.06956521739130435
ANXA8	0.7633213997303595		7.24874053133268e-05	0.06956521739130435
SEC61G	0.7596733002050821		7.24874053133268e-05	0.06956521739130435
AL603965.1	0.7544259862466125		8.698488637599217e-05	0.06956521739130435
AL591684.1	0.7532169306497632		8.698488637599217e-05	0.06956521739130435
OSR2	0.7508826732211746		8.698488637599217e-05	0.06956521739130435
DDR1	0.7507216755027534		8.698488637599217e-05	0.06956521739130435
DGKA	0.7493912646931011		9.423362690732486e-05	0.06956521739130435
SERPINE3	0.7472127654757272		9.423362690732486e-05	0.06956521739130435
RP4-536B24.2	0.7470138078604596		9.423362690732486e-05	0.06956521739130435
STARD5	0.7453424366952086		9.423362690732486e-05	0.06956521739130435
ODF3B	0.7452172916558616		9.423362690732486e-05	0.06956521739130435
RP11-159F24.5	0.7442381139685451		9.423362690732486e-05	0.06956521739130435
IKZF2	0.7428420434101047		0.00010148236743865753	0.06956521739130435
RP11-425M5.5	0.7428298437617814		0.00010148236743865753	0.06956521739130435
ORAOV1	0.7397906308887616		0.00010873110796999022	0.06956521739130435
PERP	0.7395218394029793		0.00010873110796999022	0.06956521739130435
RP1-151B14.6	0.7388411512557164		0.0001159798485013229	0.06956521739130435
GJB5	0.7358345850413228		0.0001159798485013229	0.06956521739130435
WDR66	0.7344425407639213		0.0001159798485013229	0.06956521739130435
PDLIM1	0.7322403589125179		0.00012322858903265557	0.06956521739130435
CAPN1	0.7310178055087334		0.00012322858903265557	0.06956521739130435
C8orf73	0.7302794387910911		0.00012322858903265557	0.06956521739130435
IRF6	0.7299884006411347		0.00012322858903265557	0.06956521739130435
AL391137.1	0.7261938674439852		0.00012322858903265557	0.06956521739130435
RP3-434O14.8	0.7252333115350357		0.00012322858903265557	0.06956521739130435
TP53TG1	0.724714134724611		0.00012322858903265557	0.06956521739130435
AC126365.1	0.7238591377625913		0.00012322858903265557	0.06956521739130435
PPP1R13L	0.7228965044402842		0.00012322858903265557	0.06956521739130435
CTD-2651B20.1	0.7227331593179284		0.00012322858903265557	0.06956521739130435
CDH3	0.7223036112172666		0.00012322858903265557	0.06956521739130435
SLC7A5	0.7212798116336637		0.00012322858903265557	0.06956521739130435
RP11-615I2.2	0.7176194323406752		0.00013047732956398826	0.06956521739130435
PITPNM3	0.7171845818594677		0.00013047732956398826	0.06956521739130435
TRIM29	0.7169113082880507		0.00013047732956398826	0.06956521739130435
TP63	0.7168332903664819		0.00013047732956398826	0.06956521739130435
RP11-69L16.5	0.7153951372038597		0.00013047732956398826	0.06956521739130435
RP1-257I20.13	0.7151931950109037		0.00013047732956398826	0.06956521739130435
RAET1L	0.7138845891852547		0.00013047732956398826	0.06956521739130435
RP4-537K17.2	0.7138377047411534		0.00013047732956398826	0.06956521739130435
IFNGR1	0.7132804353456154		0.00013047732956398826	0.06956521739130435
RP11-65J3.1	0.7122118637856927		0.00013047732956398826	0.06956521739130435
C22orf23	0.7116844090432923		0.00013047732956398826	0.06956521739130435
SSH3	0.7115008049089921		0.00013047732956398826	0.06956521739130435
CTC-338M12.6	0.7102023088904708		0.00013047732956398826	0.06956521739130435
SFN	0.70796460936512		0.00013047732956398826	0.06956521739130435
AC006050.3	0.707378937892971		0.00013047732956398826	0.06956521739130435
ZC3H12A	0.7031495899836258		0.00013772607009532095	0.06956521739130435
RP11-517C16.2	0.703062638113555		0.00013772607009532095	0.06956521739130435
DUOX1	0.7016410065551402		0.00013772607009532095	0.06956521739130435
TNFAIP3	0.7008813240018497		0.00013772607009532095	0.06956521739130435
FAM212A	0.7007328393145282		0.00013772607009532095	0.06956521739130435
TACSTD2	0.6998910023760323		0.0001449748106266536	0.06956521739130435
MICALL1	0.6989738709060941		0.0001449748106266536	0.06956521739130435
GPR87	0.6984915323264493		0.0001449748106266536	0.06956521739130435
ZFP36	0.6982297416616317		0.0001449748106266536	0.06956521739130435
KRT17	0.698025791329238		0.0001449748106266536	0.06956521739130435
C14orf55	0.69797749420779		0.0001449748106266536	0.06956521739130435
LAMA5	0.6970816100192175		0.0001449748106266536	0.06956521739130435
KIAA1522	0.6969025222595318		0.0001449748106266536	0.06956521739130435
RP11-244O19.1	0.6966145211134476		0.0001449748106266536	0.06956521739130435
PATL2	0.6948398816658805		0.0001449748106266536	0.06956521739130435
GJB3	0.6942576677908429		0.0001449748106266536	0.06956521739130435
CCDC88B	0.6941258959753162		0.0001449748106266536	0.06956521739130435
SH3BP1	0.6905586873221711		0.0001449748106266536	0.06956521739130435
SLC44A2	0.6888779720049313		0.0001449748106266536	0.06956521739130435
CDRT15P	0.6886654818164474		0.0001449748106266536	0.06956521739130435
RXRA	0.6872599465749876		0.0001449748106266536	0.06956521739130435
RP11-375I20.6	0.6868453453581683		0.0001449748106266536	0.06956521739130435
RP11-44N21.1	0.6851493721660307		0.000159472291689319	0.06956521739130435
AL162389.1	0.6849603122631932		0.000159472291689319	0.06956521739130435
C1QTNF6	0.684160625961028		0.00016672103222065165	0.06956521739130435
SLC4A11	0.6839625226843082		0.00016672103222065165	0.06956521739130435
Z83844.1	0.683649796499064		0.00016672103222065165	0.06956521739130435
CTSH	0.682345941499589		0.00016672103222065165	0.06956521739130435
RP11-613H2.2	0.6822942906435251		0.00016672103222065165	0.06956521739130435
DDX58	0.6814581421664778		0.00016672103222065165	0.06956521739130435
ATF3	0.6809724515077595		0.00016672103222065165	0.06956521739130435
RP11-157P1.5	0.6808514922729286		0.00016672103222065165	0.06956521739130435
SLC3A2	0.6807728792644383		0.00016672103222065165	0.06956521739130435
C15orf27	0.680737364575622		0.00016672103222065165	0.06956521739130435
AC015818.6	0.6798329275584043		0.00016672103222065165	0.06956521739130435
PRSS27	0.6791116812870256		0.00016672103222065165	0.06956521739130435
RP3-523K23.2	0.6785684611087344		0.00016672103222065165	0.06956521739130435
MKRN2-AS1	0.6782903378675361		0.00016672103222065165	0.06956521739130435
DSC3	0.6776217166810357		0.00017396977275198434	0.06956521739130435
ACOT11	0.6770568322796598		0.00017396977275198434	0.06956521739130435
AC000089.3	0.6767030861267582		0.00017396977275198434	0.06956521739130435
FAT2	0.6764506969787596		0.00017396977275198434	0.06956521739130435
GNA15	0.6764230966583477		0.00017396977275198434	0.06956521739130435
HNRNPA1P30	0.6760190584238421		0.00017396977275198434	0.06956521739130435
F11R	0.6730041050336608		0.00018121851328331703	0.07122507122507123
RP11-343H19.2	0.672496187620299		0.00018121851328331703	0.07122507122507123
PPL	0.6717735721467388		0.00019571599434598238	0.07563025210084033
GCLM	0.6716282525360089		0.00019571599434598238	0.07563025210084033
FAM83B	0.6714065412987139		0.00020296473487731506	0.07751937984496125
MOB3C	0.6697587934954768		0.00021021347540864775	0.07751937984496125
PIK3IP1	0.66966646231592		0.00021021347540864775	0.07751937984496125
SERPINB5	0.6693739462906328		0.00021021347540864775	0.07751937984496125
S100A2	0.6691909589409077		0.00021021347540864775	0.07751937984496125
FGF11	0.6684555120286897		0.00021746221593998044	0.07751937984496125
RP11-685M7.3	0.6672541470976745		0.00021746221593998044	0.07751937984496125
MT1X	0.6670543179673248		0.00021746221593998044	0.07751937984496125
RP11-314P12.3	0.6670206025876011		0.00021746221593998044	0.07751937984496125
RP11-240D10.2	0.6666461280512741		0.00021746221593998044	0.07751937984496125
TMEM40	0.6661924177527841		0.0002247109564713131	0.07948717948717948
DTX2	0.6656443032518352		0.0002319596970026458	0.08020050125313283
RP11-367G18.1	0.6652245138875462		0.0002319596970026458	0.08020050125313283
PTAFR	0.6647477034101974		0.0002319596970026458	0.08020050125313283
ZNF323	0.6641241260925139		0.00023920843753397848	0.08088235294117647
NKPD1	0.6637036966616887		0.00023920843753397848	0.08088235294117647
ARHGEF19-AS1	0.6636367032751143		0.00023920843753397848	0.08088235294117647
MR1	0.6618131324027735		0.00025370591859664386	0.0815850815850816
ITGB7	0.6617538193266417		0.00025370591859664386	0.0815850815850816
DENND2C	0.6610795962730405		0.00025370591859664386	0.0815850815850816
RP11-3B12.1	0.6597662158798782		0.00025370591859664386	0.0815850815850816
RP11-273G15.2	0.6595413266720217		0.00025370591859664386	0.0815850815850816
ITGB4	0.6594604809641323		0.00025370591859664386	0.0815850815850816
MIR205HG	0.6586232180752458		0.00025370591859664386	0.0815850815850816
JMJD7	0.658484531730823		0.0002609546591279765	0.08275862068965517
