Name	Score	0.95 MoE	p-value	FDR
VX-680	-0.552908744687391	0.18687669470411258	0.001386001386001386	0.6666666666666666
CIL41	-0.37078984380445285	0.03117917356132037	0.00693000693000693	0.9951388888888889
pitstop2	-0.34361718521740003	0.2452435659724278	0.011088011088011088	0.9930410577592206
BRD-K01737880	-0.3401141995146894	0.4118821677781107	0.011088011088011088	0.9930410577592206
cyclophosphamide	-0.3355443267848947	0.35549077432312165	0.011088011088011088	0.9930410577592206
FSC231	-0.32235941264375995	0.37567126010556684	0.017325017325017324	0.9929971988795517
austocystin D	-0.3219980603844064	0.05137802700681392	0.018018018018018018	0.9929971988795517
istradefylline	-0.3144626844139156	0.20889818379015174	0.02286902286902287	0.9915611814345991
CIL70	-0.3050343678003674	0.3306649260134835	0.029106029106029108	0.9873150105708245
ML312	-0.30317493844738724	0.2499946936831632	0.0297990297990298	0.9873150105708245
BRD-K78574327	-0.29262807337592084	0.056898702274162764	0.03257103257103257	0.9873150105708245
L-685458	-0.2801486342124057	0.06113143885197625	0.036729036729036726	0.9858156028368794
BRD-K30019337	-0.2792593113922774	0.07889973411502539	0.037422037422037424	0.9858156028368794
bleomycin A2	-0.2752251827036134	0.18979465513226534	0.040194040194040194	0.9858156028368794
IC-87114	-0.2732425299145968	0.03956159949047358	0.04158004158004158	0.9858156028368794
BRD-K19103580	-0.27042324557906233	0.35331637291323786	0.0498960498960499	0.9806866952789699
SKI-II	-0.2688272605844003	0.24960336569786598	0.05266805266805267	0.9799283154121864
tacedinaline	-0.26834668545804835	0.25066919970657486	0.05336105336105336	0.9799283154121864
palmostatin B	-0.26789310501629593	0.2895358944694322	0.05336105336105336	0.9799283154121864
dasatinib	-0.2646319845679399	0.026358954706331792	0.058212058212058215	0.9799283154121864
BRD-K37390332	-0.25852437758721397		0.06514206514206514	0.975415762834418
BRD-K61166597	-0.25836309418466036		0.06583506583506583	0.975415762834418
saracatinib	-0.2581301961584701		0.06583506583506583	0.975415762834418
foretinib	-0.2580622101561342		0.06652806652806653	0.975415762834418
necrostatin-7	-0.25641616404071427		0.07068607068607069	0.975415762834418
CAY10594	-0.25384153870552273		0.07345807345807345	0.975415762834418
BRD-K44224150	-0.25338007780230387		0.07345807345807345	0.975415762834418
tivozanib	-0.24884003728721774		0.07969507969507969	0.97503671071953
fulvestrant	-0.24836908113104025		0.08038808038808039	0.97503671071953
BRD-K27224038	-0.24606659900360348		0.08385308385308385	0.9749262536873156
tosedostat	-0.2454034349197393		0.08454608454608455	0.9749262536873156
