Name	Score	0.95 MoE	p-value	FDR
alpha-Catenin-M-V	0.5900271834027374	0.03541822707464684	0.001443001443001443	0.011494252873563218
E-Cadherin-R-V	0.5511107891423187	0.045495322932297695	0.001443001443001443	0.011494252873563218
Claudin-7-R-V	0.5122921833237174	0.05498548488038822	0.001443001443001443	0.011494252873563218
Rab25-R-V	0.48783007069286477	0.03314857857507039	0.001443001443001443	0.011494252873563218
VAV1-R-E	0.4739779915208286	0.0638006629979311	0.001443001443001443	0.011494252873563218
Syk-M-V	0.4677937509949575	0.06523926362729411	0.001443001443001443	0.011494252873563218
CD49b-M-V	0.45451556303054286	0.05315637442949759	0.001443001443001443	0.011494252873563218
RASD2(SigHPA005839)-R-E	0.45299413358346646	0.07741411959900205	0.001443001443001443	0.011494252873563218
c-Met-M-QC	0.4397089028316699	0.03531938690639509	0.001443001443001443	0.011494252873563218
P-Cadherin-R-C	0.4382053115370926	0.003937674263874765	0.001443001443001443	0.011494252873563218
SETD2-R-QC	0.4267699440039811	0.00815086823090963	0.001443001443001443	0.011494252873563218
Annexin 1-M-E	0.42480277678721284	0.0620840749932917	0.001443001443001443	0.011494252873563218
Fibronectin-R-V	0.4225549887192439	0.03323946228601525	0.001443001443001443	0.011494252873563218
beta-Catenin-R-V	0.3912597156625407	0.0430366711436106	0.001443001443001443	0.011494252873563218
ADAR1-R-V	0.3764420692077673	0.0579300525712883	0.001443001443001443	0.011494252873563218
A-Raf_pS299-R-C	0.3719808962053238	0.06121425695501925	0.001443001443001443	0.011494252873563218
VEGFR2-R-V	0.3620657991085899	0.03908122497017463	0.001443001443001443	0.011494252873563218
INPP4B-R-V	0.3617766821000878	0.08721766419612087	0.001443001443001443	0.011494252873563218
Rab11-R-E	0.3585283482143533	0.053734022008861154	0.001443001443001443	0.011494252873563218
STAT3_pY705-R-V	0.3476370982676219	0.04876183221137101	0.001443001443001443	0.011494252873563218
BRCA2-R-C	0.34684092082698		0.001443001443001443	0.011494252873563218
GATA3-M-V	0.3467264268622365		0.001443001443001443	0.011494252873563218
p14 Arf(BetIHC-00196)-R-E	0.34419095398698285		0.001443001443001443	0.011494252873563218
p14 Arf(CST2407)-M-E	0.3361969813773843		0.001443001443001443	0.011494252873563218
HER2-M-V	0.33570319414255534		0.001443001443001443	0.011494252873563218
HER3-R-V	0.33477953250371656		0.001443001443001443	0.011494252873563218
