Name	Score	0.95 MoE	p-value	FDR
APC.MC_MUT	0.500355453214488	0.048443536310973555	6.571640741543941e-06	0.031446540880503145
APC_MUT	0.40430536464048517	0.04913060938704816	6.571640741543941e-06	0.031446540880503145
TPTE2_AMP	0.3746812351488204	0.014561601488866966	6.571640741543941e-06	0.031446540880503145
LINC00421_AMP	0.3746812351488204	0.014561601488866966	6.571640741543941e-06	0.031446540880503145
ANKRD26P3_AMP	0.3746812351488204	0.014561601488866966	6.571640741543941e-06	0.031446540880503145
OR7E156P_AMP	0.3746812351464055		6.571640741543941e-06	0.031446540880503145
EGF_MUT	0.3746812351110425	0.04646782927978352	6.571640741543941e-06	0.031446540880503145
CADPS_MUT	0.3640806488032562	0.053463910657875764	1.3143281483087882e-05	0.031446540880503145
BASP1P1_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
MIPEP_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
GJB2_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
IL17D_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
WASF3_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
EFHA1_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
SPATA13_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
MIR2276_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
GJA3_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
MRP63_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
ATP12A_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
TPTE2P1_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
C1QTNF9B-AS1_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
SPATA13-AS1_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
SAP18_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
RNU6-67_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
MIPEPP3_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
GJB6_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
FGF9_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
SGCG_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
C1QTNF9B_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
IFT88_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
GPR12_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
SKA3_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
CRYL1_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
C1QTNF9_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
RNF17_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
LINC00424_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
PABPC3_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
CENPJ_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
ZDHHC20_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
MIR4499_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
N6AMT2_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
XPO4_AMP	0.3507452050191251	0.054392531774995395	3.285820370771971e-05	0.031446540880503145
LATS2_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
SACS_AMP	0.3507452050191251		3.285820370771971e-05	0.031446540880503145
EPSTI1_AMP	0.35074520501680395	0.03978091341136371	3.285820370771971e-05	0.031446540880503145
LINC00547_AMP	0.35074520501680395		3.285820370771971e-05	0.031446540880503145
TRPC4_AMP	0.35074520501680395	0.03978091341136371	3.285820370771971e-05	0.031446540880503145
POSTN_AMP	0.35074520501680395		3.285820370771971e-05	0.031446540880503145
TUBA3C_AMP	0.3507452050124882	0.024071219722061516	3.285820370771971e-05	0.031446540880503145
RNU6-52_AMP	0.3507452050124882	0.024071219722061516	3.285820370771971e-05	0.031446540880503145
LINC00442_AMP	0.3507452050124882		3.285820370771971e-05	0.031446540880503145
ZFR_MUT	0.35074520500596507	0.04396784547219357	3.285820370771971e-05	0.031446540880503145
IRGQ_MUT	0.3507452049912941	0.046782480594983855	3.285820370771971e-05	0.031446540880503145
PIK3CA_MUT	0.3263701381355494	0.08979810672259846	0.0003614402407849168	0.14009661835748793
SMIM2-IT1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
RGCC_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
LINC00550_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
ELF1_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
VWA8_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
LINC00284_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
KLHL1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
KBTBD7_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
ENOX1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
PROSER1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
OR7E37P_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
VWA8-AS1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
KBTBD6_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
TPTE2P5_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
ATXN8OS_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
ALG5_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
RFXAP_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
MIR5006_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
SLC25A15_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
UFM1_AMP	0.324948103329796	0.004228194941037619	0.0003614402407849168	0.14009661835748793
LINC00548_AMP	0.324948103329796		0.0003614402407849168	0.14009661835748793
