Name	Score	0.95 MoE	p-value	FDR
AC012146.7	0.5979431992498844	0.021968254491423193	7.599072913104601e-06	0.027777777777777776
CTD-2012K14.1	0.5969857655220199	0.11700059388928026	7.599072913104601e-06	0.027777777777777776
HMOX1	0.5915071939930318	0.023183763865130567	7.599072913104601e-06	0.027777777777777776
TLE6	0.5660663146926386	0.059625539781409546	7.599072913104601e-06	0.027777777777777776
C10orf140	0.5479742705494993	0.05733419386186577	7.599072913104601e-06	0.027777777777777776
ARRB2	0.522833121808492	0.05745972329444647	7.599072913104601e-06	0.027777777777777776
RP4-561L24.3	0.5063251375348827	0.10385254234510889	7.599072913104601e-06	0.027777777777777776
C10orf114	0.4934967924732561	0.07717429996553982	7.599072913104601e-06	0.027777777777777776
APC2	0.49254767521350346	0.08478902531564414	7.599072913104601e-06	0.027777777777777776
MAMSTR	0.49017215160611494	0.06811061945081207	7.599072913104601e-06	0.027777777777777776
RP11-1113L8.1	0.4886914597194281	0.047020865640194205	7.599072913104601e-06	0.027777777777777776
NDUFB9	0.48665131083187035	0.055053374312722225	7.599072913104601e-06	0.027777777777777776
CTRL	0.4808294132272114	0.07076905739656819	1.5198145826209202e-05	0.04444444444444444
LA16c-321D4.2	0.47996530491618095	0.07189065845899369	1.5198145826209202e-05	0.04444444444444444
SLC6A16	0.4792914360577958	0.06747269675846274	1.5198145826209202e-05	0.04444444444444444
C5	0.47636832217643593	0.09933786752703554	2.2797218739313804e-05	0.046831955922865015
CITED2	0.4751036556158154	0.18044716902949068	2.2797218739313804e-05	0.046831955922865015
CAMK1	0.47505727074923165	0.033856348027484315	2.2797218739313804e-05	0.046831955922865015
PFAS	0.47210430013820015	0.09831354765014202	3.0396291652418404e-05	0.046831955922865015
PARD6G	0.47166950059873075	0.15191140983686563	3.0396291652418404e-05	0.046831955922865015
RP11-488C13.1	0.47137466429406333		3.0396291652418404e-05	0.046831955922865015
LSM10	0.46982349212052327		3.0396291652418404e-05	0.046831955922865015
ADAM11	0.4691969885405285		3.0396291652418404e-05	0.046831955922865015
