Name	Score	0.95 MoE	p-value	FDR
PTCHD3	-0.6461690549912411	0.13319390631575348	1.9495457558388895e-05	0.041666666666666664
FBXL17	-0.6455632208339347	0.07916269797649865	1.9495457558388895e-05	0.041666666666666664
CTNNAL1	-0.6435996918953566	0.11540012066211726	1.9495457558388895e-05	0.041666666666666664
CFAP53	-0.6315173214670744	0.12224536281714074	1.9495457558388895e-05	0.041666666666666664
ZNF778	-0.6309254909083667	0.1384004672500143	1.9495457558388895e-05	0.041666666666666664
C12orf60	-0.6270648014343917	0.14563381698991235	1.9495457558388895e-05	0.041666666666666664
TMEM185A	-0.6050288165598525	0.06856150467791573	1.9495457558388895e-05	0.041666666666666664
APOF	-0.5812105022681154	0.11590240363791503	1.9495457558388895e-05	0.041666666666666664
TNRC6A	-0.5614766693918289	0.13286717763958	0.00015596366046711116	0.24242424242424243
LINC00472	-0.5600106619502767	0.09686484907966755	0.00015596366046711116	0.24242424242424243
TSPAN8	-0.5592144341353	0.06827748047880121	0.00015596366046711116	0.24242424242424243
KLB	-0.5527035878770469	0.12297702879126199	0.00021445003314227786	0.24561403508771928
IFT80	-0.5504643035008773	0.15306065441722164	0.00023394549070066676	0.24561403508771928
TTC39B	-0.5496901657922129	0.14841042127097978	0.00025344094825905565	0.24561403508771928
CHIAP2	-0.5484252032515085	0.23858475629974912	0.00025344094825905565	0.24561403508771928
RTKN2	-0.5448329056737501	0.12227848075833835	0.00025344094825905565	0.24561403508771928
NELFCD	-0.5428896147397075	0.1201732977249412	0.0002729364058174445	0.24561403508771928
CERKL	-0.5365867666346689	0.1228498692483994	0.0002729364058174445	0.24561403508771928
CCNO	-0.5348101573404878	0.03866150547408379	0.0002729364058174445	0.24561403508771928
RBM46	-0.532284385846153	0.08046703410189099	0.00029243186337583345	0.25
FAM91A1	-0.5309261561094114		0.0003119273209342223	0.253968253968254
SLC10A7	-0.5300982971411002		0.0003314227784926112	0.25757575757575757
STARD7	-0.5257621713057503		0.000370413693609389	0.2638888888888889
EEF1A2	-0.5254719704444649		0.000370413693609389	0.2638888888888889
PHC3	-0.5179394918035625		0.0004289000662845557	0.29333333333333333
RIPK1	-0.5139847042757895		0.0005068818965181113	0.30107526881720426
ANO8	-0.5125223233302895		0.0005263773540765002	0.30107526881720426
CDY2A	-0.5121097593550468		0.0005263773540765002	0.30107526881720426
CDY2B	-0.5121097593550468		0.0005263773540765002	0.30107526881720426
DOK4	-0.5114936949436895		0.000545872811634889	0.30107526881720426
TUBA8	-0.5093085006429917		0.000545872811634889	0.30107526881720426
SPRR4	-0.5055225815706955		0.0005653682691932779	0.3020833333333333
SLC9B1	-0.5040463608990444		0.0006433500994268335	0.32
ZNF804A	-0.5035460862637673		0.0006823410145436114	0.32
PDLIM3	-0.5013986902727847		0.000760322844777167	0.32
PCAT4	-0.49762104145401154		0.0007993137598939447	0.32
KIAA1377	-0.4975857830048479		0.0007993137598939447	0.32
ARAP2	-0.49642053001437114		0.0007993137598939447	0.32
LINC00680	-0.4964133690327817		0.0007993137598939447	0.32
TEX15	-0.4931368422198967		0.0008383046750107224	0.32
OSBPL7	-0.49230076865155836		0.0008383046750107224	0.32
CRISP3	-0.4910548326882174		0.0008578001325691114	0.32
PI15	-0.49010641831438145		0.0008967910476858892	0.32
ITFG2	-0.48962797717778017		0.000916286505244278	0.32
C1orf64	-0.48892981913998534		0.000916286505244278	0.32
ANO3	-0.4881080797692896		0.000935781962802667	0.32
CA10	-0.48645708930557496		0.000935781962802667	0.32
SESN2	-0.48526092613293015		0.000935781962802667	0.32
SPAG11B	-0.4851208502266155		0.000935781962802667	0.32
DNAH12	-0.4845509309653637		0.000935781962802667	0.32
CRB3	-0.4835193273534918		0.0009747728779194448	0.32679738562091504
LRRN4	-0.4799545677282864		0.0010137637930362226	0.3333333333333333
TRIM72	-0.4788312960038723		0.0010527547081530004	0.33333333333333337
NHEJ1	-0.47752969776748483		0.0010722501657113893	0.33333333333333337
C1orf105	-0.4772390160093682		0.0010722501657113893	0.33333333333333337
MSANTD2	-0.4754193230265785		0.001111241080828167	0.3392857142857143
RIMBP2	-0.4746767562270025		0.0011697274535033338	0.3448275862068966
LYPLAL1	-0.4745151017292932		0.0011697274535033338	0.3448275862068966
FXR1	-0.4726565262279251		0.0012477092837368893	0.3611111111111111
NICN1	-0.47211006226483143		0.0012672047412952783	0.3611111111111111
S100A16	-0.47090095977565427		0.0013256911139704448	0.3715846994535519
SIPA1L1	-0.46823866436514344		0.0013841774866456115	0.3817204301075269
SGSM3	-0.4676880332503819		0.0014231684017623895	0.3862433862433863
PROSER1	-0.4667295359672732		0.001501150231995945	0.4
TNNC2	-0.46610349140921953		0.001520645689554334	0.4
CCDC183	-0.4638347282975655		0.0015596366046711117	0.4040404040404041
TMEM237	-0.4594129375786473		0.0017156002651382229	0.43781094527363185
DPT	-0.45795288302725884		0.001871563925605334	0.4705882352941177
TCTE3	-0.45509926241784737		0.0020275275860724452	0.5
PSMC3IP	-0.4548356997524087		0.002047023043630834	0.5
ODF2L	-0.45334703762671075		0.0021250048738643895	0.5117370892018779
TJP3	-0.44954581369086766		0.002417436737240223	0.5282331511839709
MYO1F	-0.4484211779257961		0.0024564276523570006	0.5282331511839709
SYBU	-0.44824000828483196		0.0024564276523570006	0.5282331511839709
TGFBI	-0.44562817604999405		0.0025928958552657233	0.5282331511839709
MRPL52	-0.4447261650284008		0.0026513822279408896	0.5282331511839709
CST9	-0.44437623129513437		0.0026708776854992788	0.5282331511839709
PITPNB	-0.4439167759003757		0.0026708776854992788	0.5282331511839709
SC5D	-0.4430391043742885		0.0027488595157328342	0.5282331511839709
PLEKHA3	-0.4429901248847312		0.0027488595157328342	0.5282331511839709
TBC1D2	-0.4425672546375748		0.0027488595157328342	0.5282331511839709
SETD1A	-0.44098973841993494		0.002846336803524779	0.5282331511839709
F8	-0.44071211893298956		0.002846336803524779	0.5282331511839709
NT5C3B	-0.4405506828695207		0.0028658322610831677	0.5282331511839709
FRMPD1	-0.43976353144053765		0.0028853277186415564	0.5282331511839709
KANK4	-0.43896397597613646		0.0029243186337583344	0.5282331511839709
SRSF12	-0.4388158079041511		0.002982805006433501	0.5282331511839709
NPIPB8	-0.43842841308364544		0.00300230046399189	0.5282331511839709
NPIPB9	-0.43842841308364544		0.00300230046399189	0.5282331511839709
CMKLR1	-0.43801013316700416		0.0030217959215502787	0.5282331511839709
FUZ	-0.4378222392824941		0.0030217959215502787	0.5282331511839709
VPS13C	-0.4376990958274504		0.0030217959215502787	0.5282331511839709
L3HYPDH	-0.4375307140252568		0.0030217959215502787	0.5282331511839709
CFHR3	-0.4360876256155403		0.0031192732093422233	0.5282331511839709
