Name	Score	0.95 CI	p-value	FDR
SNUPN	0.8624416968413497	0.08876051966615994	1.6251706429175062e-05	0.003496503496503496
CRYL1	0.8622194340530568	0.07760505923600859	1.6251706429175062e-05	0.003496503496503496
TPK1	0.8602144791676327	0.09212999981187973	1.6251706429175062e-05	0.003496503496503496
GEM	0.8599236545141564	0.08931358158022831	1.6251706429175062e-05	0.003496503496503496
AP000318.2	0.8599026443362704	0.09001960998695503	1.6251706429175062e-05	0.003496503496503496
ERCC1	0.8595609291017454	0.09113523566553756	1.6251706429175062e-05	0.003496503496503496
RSAD1	0.8595179949132535	0.08966684497031593	1.6251706429175062e-05	0.003496503496503496
AEBP1	0.8593359902768278	0.08698471757303777	1.6251706429175062e-05	0.003496503496503496
LEPRE1	0.8590812849395433	0.09330334602943745	1.6251706429175062e-05	0.003496503496503496
RP11-127L20.6	0.8588629141026161	0.08666683506400531	1.6251706429175062e-05	0.003496503496503496
NAGS	0.8587152124280573	0.09351529395197777	1.6251706429175062e-05	0.003496503496503496
AGPAT5	0.8586906944690026	0.09302831652529737	1.6251706429175062e-05	0.003496503496503496
CNRIP1	0.858467090106401	0.09621543140961852	1.6251706429175062e-05	0.003496503496503496
LEPREL2	0.8581621006348922	0.09986421035708563	1.6251706429175062e-05	0.003496503496503496
AC046143.3	0.858069127089722	0.0865904361887577	1.6251706429175062e-05	0.003496503496503496
TM4SF19	0.857848069624565	0.08427460256001994	1.6251706429175062e-05	0.003496503496503496
RP1-12G14.7	0.8577969319058777	0.09513585500631873	1.6251706429175062e-05	0.003496503496503496
NOB1	0.8574241915185282	0.10055571149192494	1.6251706429175062e-05	0.003496503496503496
ENG	0.8573535929177786	0.0963973013387538	1.6251706429175062e-05	0.003496503496503496
PCOLCE	0.8573086867696348	0.09036089409813867	1.6251706429175062e-05	0.003496503496503496
AC005035.1	0.8570244307990971	0.09865899756990922	1.6251706429175062e-05	0.003496503496503496
STEAP2	0.8568198356526507	0.10116299819928325	1.6251706429175062e-05	0.003496503496503496
DHH	0.8567394330742947	0.08788364972953716	1.6251706429175062e-05	0.003496503496503496
MTAP	0.8567140810812346	0.09825199522027243	1.6251706429175062e-05	0.003496503496503496
TWIST2	0.8566237675248393	0.0954914112228088	1.6251706429175062e-05	0.003496503496503496
TNFRSF19	0.8566067891965337	0.09023563727579634	1.6251706429175062e-05	0.003496503496503496
ZNF589	0.8565571188641717	0.0971467341842251	1.6251706429175062e-05	0.003496503496503496
RAB31	0.8565517261330774	0.0877536217430242	1.6251706429175062e-05	0.003496503496503496
DUSP6	0.8564525110299863	0.0940091947618888	1.6251706429175062e-05	0.003496503496503496
SLC2A3	0.8563973194537875	0.10157031082662012	1.6251706429175062e-05	0.003496503496503496
TMEM145	0.856365697105142	0.09506724531876011	1.6251706429175062e-05	0.003496503496503496
EML3	0.8562540941270336	0.09553399063859837	1.6251706429175062e-05	0.003496503496503496
ADAMTSL1	0.8562127671019664	0.0905991133424552	1.6251706429175062e-05	0.003496503496503496
SLC20A1	0.856169849730882	0.09433130428759468	1.6251706429175062e-05	0.003496503496503496
STX1A	0.8560440075540089	0.09935607523552592	1.6251706429175062e-05	0.003496503496503496
ISG20	0.8559660885323345	0.10017569656204227	1.6251706429175062e-05	0.003496503496503496
CTSL1	0.8559246997269211	0.10329823385159347	1.6251706429175062e-05	0.003496503496503496
STARD8	0.8556020166402444	0.09455069448425237	1.6251706429175062e-05	0.003496503496503496
TRAP1	0.8555310246868355	0.09694727084739971	1.6251706429175062e-05	0.003496503496503496
FAM216A	0.8553212570575227	0.10283702290631072	1.6251706429175062e-05	0.003496503496503496
SLC35E4	0.8552735640336047	0.10176665932719407	1.6251706429175062e-05	0.003496503496503496
EXOSC2	0.8551661109204871	0.09007054404896526	1.6251706429175062e-05	0.003496503496503496
RPLP0P2	0.8548802793654741	0.10214668339870404	1.6251706429175062e-05	0.003496503496503496
YBX1	0.8547376966080013	0.09965969116811044	1.6251706429175062e-05	0.003496503496503496
HRH1	0.8545579043944632	0.0960967114598603	1.6251706429175062e-05	0.003496503496503496
TSPAN5	0.8543846577524956	0.10072767310807923	1.6251706429175062e-05	0.003496503496503496
CTD-2033A16.3	0.8541827016832231	0.10729815594116539	1.6251706429175062e-05	0.003496503496503496
DPYSL3	0.853688551935835	0.0966926070246315	1.6251706429175062e-05	0.003496503496503496
