	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
PD 153035	-0.632841116681511	0.02413892608561165	1.0	4.158004158004158e-05	4.158004158004158e-05	1.0	0.01	0.01
ibrutinib	-0.6254236015855493	0.02903867330324859	1.0	4.158004158004158e-05	4.158004158004158e-05	1.0	0.01	0.01
afatinib	-0.5312564851625114	0.015623445415601874	0.999625779626	0.00037422037422	0.00037422037422	1.0	0.06	0.06
austocystin D	-0.48496037014676596	0.017137720659217186	0.998378378378	0.00162162162162	0.00162162162162	1.0	0.176	0.176
lapatinib	-0.47272830021326495	0.018747794177794076	0.99817047817	0.00182952182952	0.00182952182952	1.0	0.176	0.176
erlotinib	-0.4571905396514384	0.016922035388048654	0.997546777547	0.00245322245322	0.00245322245322	1.0	0.177142857143	0.177142857143
BYL-719	-0.4539710207030972	0.022268442565524533	0.997422037422	0.00257796257796	0.00257796257796	1.0	0.177142857143	0.177142857143
canertinib	-0.4369250914391286	0.021164470752770247	0.996798336798	0.00320166320166	0.00320166320166	1.0	0.1925	0.1925
JW-74	-0.4285405402126944	0.122168891380256	0.996133056133	0.00386694386694	0.00386694386694	1.0	0.206666666667	0.206666666667
neratinib	-0.4219105410988243	0.01957153109097825	0.995509355509	0.00449064449064	0.00449064449064	1.0	0.216	0.216
WZ4002	-0.4137043627667623	0.024980452023195314	0.99501039501	0.0049896049896	0.0049896049896	1.0	0.218181818182	0.218181818182
gefitinib	-0.38327248753806337	0.020310864217261918	0.991226611227	0.00877338877339	0.00877338877339	1.0	0.351666666667	0.351666666667
O-6-benzylguanine	-0.37795812053086153	0.14846595600038995	0.990353430353	0.00964656964657	0.00964656964657	1.0	0.356923076923	0.356923076923
linsitinib	-0.36996420089191917	0.10990466049552848	0.988648648649	0.0113513513514	0.0113513513514	1.0	0.39	0.39
birinapant	-0.357497336335482	0.10754150105134955	0.984158004158	0.015841995842	0.015841995842	1.0	0.451428571429	0.451428571429
necrostatin-7	-0.3539430500751517	0.05114353611657074	0.982702702703	0.0172972972973	0.0172972972973	1.0	0.451428571429	0.451428571429
Repligen 136	-0.3523499784870178	0.07499203383554495	0.982079002079	0.017920997921	0.017920997921	1.0	0.451428571429	0.451428571429
BRD-K33514849	-0.3503872824605743	0.08311750917486829	0.981288981289	0.018711018711	0.018711018711	1.0	0.451428571429	0.451428571429
16-beta-bromoandrosterone	-0.349788467246312	0.058836041880818035	0.980873180873	0.0191268191268	0.0191268191268	1.0	0.451428571429	0.451428571429
BCL-LZH-4	-0.3482328917493149	0.021310745038508182	0.980291060291	0.0197089397089	0.0197089397089	1.0	0.451428571429	0.451428571429
BRD-K19103580	-0.34822369161921235		0.980291060291	0.0197089397089	0.0197089397089	1.0	0.451428571429	0.451428571429
BRD-K02251932	-0.3411378797463306		0.976216216216	0.0237837837838	0.0237837837838	1.0	0.490833333333	0.490833333333
skepinone-L	-0.3408134930356939		0.97604989605	0.0239501039501	0.0239501039501	1.0	0.490833333333	0.490833333333
BRD-K52037352	-0.3397026498886781		0.975509355509	0.0244906444906	0.0244906444906	1.0	0.490833333333	0.490833333333
PD318088	-0.33782585657354336		0.97446985447	0.0255301455301	0.0255301455301	1.0	0.4912	0.4912
sotrastaurin	-0.33476708805905053		0.972432432432	0.0275675675676	0.0275675675676	1.0	0.507027027027	0.507027027027
istradefylline	-0.33345549035711497		0.971392931393	0.0286070686071	0.0286070686071	1.0	0.507027027027	0.507027027027
MI-2	-0.3283923637368022		0.968108108108	0.0318918918919	0.0318918918919	1.0	0.507027027027	0.507027027027
vandetanib	-0.32485578128839815		0.965446985447	0.034553014553	0.034553014553	1.0	0.507027027027	0.507027027027
SB-431542	-0.32345029236989664		0.964449064449	0.0355509355509	0.0355509355509	1.0	0.507027027027	0.507027027027
sitagliptin	-0.3229821340107521		0.963991683992	0.0360083160083	0.0360083160083	1.0	0.507027027027	0.507027027027
saracatinib	-0.32191798106880465		0.96340956341	0.0365904365904	0.0365904365904	1.0	0.507027027027	0.507027027027
ifosfamide	-0.3219179240201864		0.96340956341	0.0365904365904	0.0365904365904	1.0	0.507027027027	0.507027027027
WZ8040	-0.32187938322290033		0.963367983368	0.036632016632	0.036632016632	1.0	0.507027027027	0.507027027027
RO4929097	-0.32121855406523575		0.962910602911	0.0370893970894	0.0370893970894	1.0	0.507027027027	0.507027027027
RITA	-0.32014539199151876		0.961787941788	0.0382120582121	0.0382120582121	1.0	0.507027027027	0.507027027027
Compound 23 citrate	-0.3189540126480881		0.960997920998	0.0390020790021	0.0390020790021	1.0	0.507027027027	0.507027027027
ML203	-0.31698404605481295		0.959584199584	0.0404158004158	0.0404158004158	1.0	0.511578947368	0.511578947368
L-685458	-0.31476981420740635		0.957214137214	0.0427858627859	0.0427858627859	1.0	0.515714285714	0.515714285714
ML029	-0.31364738589743674		0.955925155925	0.0440748440748	0.0440748440748	1.0	0.515714285714	0.515714285714
tamoxifen	-0.31283127516672216		0.955051975052	0.044948024948	0.044948024948	1.0	0.515714285714	0.515714285714
MK-2206	-0.31271196458993955		0.954968814969	0.0450311850312	0.0450311850312	1.0	0.515714285714	0.515714285714
BRD-A71883111	-0.3109022483173696		0.953097713098	0.0469022869023	0.0469022869023	1.0	0.524651162791	0.524651162791
BRD-K90370028	-0.30953965492752084		0.951767151767	0.0482328482328	0.0482328482328	1.0	0.527272727273	0.527272727273
avrainvillamide	-0.3034331742007257		0.943991683992	0.0560083160083	0.0560083160083	1.0	0.585652173913	0.585652173913
elocalcitol	-0.30341192972807973		0.943991683992	0.0560083160083	0.0560083160083	1.0	0.585652173913	0.585652173913
selumetinib	-0.30128872456139516		0.940748440748	0.0592515592516	0.0592515592516	1.0	0.601666666667	0.601666666667
bosutinib	-0.3005540375171591		0.939958419958	0.0600415800416	0.0600415800416	1.0	0.601666666667	0.601666666667
procarbazine	-0.2993507031321264		0.938503118503	0.0614968814969	0.0614968814969	1.0	0.603673469388	0.603673469388
TG-100-115	-0.2982539548193708		0.936424116424	0.0635758835759	0.0635758835759	1.0	0.6116	0.6116
BRD6340	-0.295694793838866		0.932515592516	0.0674844074844	0.0674844074844	1.0	0.636470588235	0.636470588235
HC-067047	-0.2947468427183279		0.930852390852	0.0691476091476	0.0691476091476	1.0	0.636603773585	0.636603773585
BRD-K29313308	-0.29403924129899456		0.929854469854	0.0701455301455	0.0701455301455	1.0	0.636603773585	0.636603773585
tosedostat	-0.2928637360600127		0.927484407484	0.0725155925156	0.0725155925156	1.0	0.645925925926	0.645925925926
fluorouracil	-0.29164509617485507		0.925155925156	0.0748440748441	0.0748440748441	1.0	0.648965517241	0.648965517241
PDMP	-0.2910383329998672		0.924407484407	0.0755925155925	0.0755925155925	1.0	0.648965517241	0.648965517241
linifanib	-0.28961651972271185		0.922162162162	0.0778378378378	0.0778378378378	1.0	0.648965517241	0.648965517241
necrostatin-1	-0.28942489491985335		0.921746361746	0.0782536382536	0.0782536382536	1.0	0.648965517241	0.648965517241
bafilomycin A1	-0.28846276197989035		0.919750519751	0.0802494802495	0.0802494802495	1.0	0.6515625	0.6515625
cyanoquinoline 11	-0.28751636753504833		0.917837837838	0.0821621621622	0.0821621621622	1.0	0.6515625	0.6515625
BRD-K09587429	-0.287283183166874		0.917338877339	0.0826611226611	0.0826611226611	1.0	0.6515625	0.6515625
FGIN-1-27	-0.285882099415417		0.914885654886	0.0851143451143	0.0851143451143	1.0	0.6515625	0.6515625
azacitidine	-0.28554099619979895		0.91446985447	0.0855301455301	0.0855301455301	1.0	0.6515625	0.6515625
BRD-A86708339	-0.2850535500073105		0.913305613306	0.0866943866944	0.0866943866944	1.0	0.6515625	0.6515625
thalidomide	-0.2838685934717762		0.911476091476	0.0885239085239	0.0885239085239	1.0	0.653150684932	0.653150684932
BRD-K48477130	-0.2822860426559071		0.907941787942	0.0920582120582	0.0920582120582	1.0	0.653150684932	0.653150684932
BRD-K33199242	-0.2815325205132824		0.906153846154	0.0938461538462	0.0938461538462	1.0	0.653150684932	0.653150684932
belinostat	-0.28146551421092975		0.906029106029	0.0939708939709	0.0939708939709	1.0	0.653150684932	0.653150684932
BRD-K41597374	-0.2807401569196179		0.904158004158	0.095841995842	0.095841995842	1.0	0.653150684932	0.653150684932
FSC231	-0.28064646452847886		0.903991683992	0.0960083160083	0.0960083160083	1.0	0.653150684932	0.653150684932
etomoxir	-0.27956333355755564		0.902079002079	0.097920997921	0.097920997921	1.0	0.653150684932	0.653150684932
LY-2157299	-0.27928886073053844		0.901704781705	0.0982952182952	0.0982952182952	1.0	0.653150684932	0.653150684932
ABT-199	-0.2788877963119891		0.900873180873	0.0991268191268	0.0991268191268	1.0	0.653150684932	0.653150684932
BRD-K04800985	-0.27748815060338733		0.897837837838	0.102162162162	0.102162162162	1.0	0.657368421053	0.657368421053
trifluoperazine	-0.2769875613931341		0.896798336798	0.103201663202	0.103201663202	1.0	0.657368421053	0.657368421053
semagacestat	-0.2766831411087927		0.896133056133	0.103866943867	0.103866943867	1.0	0.657368421053	0.657368421053
NSC23766	-0.27323493835333656		0.887817047817	0.112182952183	0.112182952183	1.0	0.692820512821	0.692820512821
tacedinaline	-0.27309590951350454		0.887650727651	0.112349272349	0.112349272349	1.0	0.692820512821	0.692820512821
decitabine	-0.27190076854778306		0.88498960499	0.11501039501	0.11501039501	1.0	0.700253164557	0.700253164557
BRD-K45681478	-0.27102396534137985		0.882577962578	0.117422037422	0.117422037422	1.0	0.706	0.706
pitstop2	-0.2675841664299527		0.874885654886	0.125114345114	0.125114345114	1.0	0.736705882353	0.736705882353
fingolimod	-0.26581310098974764		0.870893970894	0.129106029106	0.129106029106	1.0	0.736705882353	0.736705882353
AGK-2	-0.2656792831351576		0.870644490644	0.129355509356	0.129355509356	1.0	0.736705882353	0.736705882353
MI-1	-0.2655853084452191		0.870145530146	0.129854469854	0.129854469854	1.0	0.736705882353	0.736705882353
BRD-K71781559	-0.26535489116691346		0.869812889813	0.130187110187	0.130187110187	1.0	0.736705882353	0.736705882353
BRD-K86535717	-0.2636296801171964		0.866112266112	0.133887733888	0.133887733888	1.0	0.748837209302	0.748837209302
SR-II-138A	-0.2601310291402236		0.857879417879	0.142120582121	0.142120582121	1.0	0.757692307692	0.757692307692
ciclosporin	-0.25993095825102497		0.85738045738	0.14261954262	0.14261954262	1.0	0.757692307692	0.757692307692
nilotinib	-0.2596724555996786		0.856465696466	0.143534303534	0.143534303534	1.0	0.757692307692	0.757692307692
blebbistatin	-0.25739156029958604		0.850478170478	0.149521829522	0.149521829522	1.0	0.757692307692	0.757692307692
VU0155056	-0.2571529585151647		0.849812889813	0.150187110187	0.150187110187	1.0	0.757692307692	0.757692307692
pandacostat	-0.2566869507832156		0.848357588358	0.151642411642	0.151642411642	1.0	0.757692307692	0.757692307692
BRD-K85133207	-0.25600162119263975		0.84711018711	0.15288981289	0.15288981289	1.0	0.757692307692	0.757692307692
SR8278	-0.25572885489350466		0.846403326403	0.153596673597	0.153596673597	1.0	0.757692307692	0.757692307692
C6-ceramide	-0.2554777495629298		0.845654885655	0.154345114345	0.154345114345	1.0	0.757692307692	0.757692307692
zebularine	-0.2552173263036522		0.844781704782	0.155218295218	0.155218295218	1.0	0.757692307692	0.757692307692
BRD-K96431673	-0.2549688215251539		0.84395010395	0.15604989605	0.15604989605	1.0	0.757692307692	0.757692307692
NVP-TAE684	-0.2548962326291482		0.843617463617	0.156382536383	0.156382536383	1.0	0.757692307692	0.757692307692
PF-543	-0.254766104935169		0.843076923077	0.156923076923	0.156923076923	1.0	0.757692307692	0.757692307692
GSK4112	-0.25367063195078615		0.840540540541	0.159459459459	0.159459459459	1.0	0.757692307692	0.757692307692
BRD-K96970199	-0.2528572876243488		0.838711018711	0.161288981289	0.161288981289	1.0	0.757692307692	0.757692307692
LBH-589	-0.252209555226417		0.837297297297	0.162702702703	0.162702702703	1.0	0.757692307692	0.757692307692
apicidin	-0.2518488902035848		0.836340956341	0.163659043659	0.163659043659	1.0	0.757692307692	0.757692307692
BRD-K16147474	-0.25180086952515934		0.836174636175	0.163825363825	0.163825363825	1.0	0.757692307692	0.757692307692
pifithrin-mu	-0.25009539402332026		0.831101871102	0.168898128898	0.168898128898	1.0	0.771698113208	0.771698113208
BRD-A94377914	-0.24982035408149664		0.829937629938	0.170062370062	0.170062370062	1.0	0.771698113208	0.771698113208
CR-1-31B	-0.24877069387810777		0.82632016632	0.17367983368	0.17367983368	1.0	0.773888888889	0.773888888889
importazole	-0.2486988226894192		0.826237006237	0.173762993763	0.173762993763	1.0	0.773888888889	0.773888888889
AA-COCF3	-0.24679774804094512		0.820332640333	0.179667359667	0.179667359667	1.0	0.786909090909	0.786909090909
HBX-41108	-0.24669019990622193		0.820041580042	0.179958419958	0.179958419958	1.0	0.786909090909	0.786909090909
BRD-K64610608	-0.24382653862303733		0.810935550936	0.189064449064	0.189064449064	1.0	0.8	0.8
fulvestrant	-0.24377274128483217		0.810769230769	0.189230769231	0.189230769231	1.0	0.8	0.8
StemRegenin 1	-0.2436072241690956		0.810436590437	0.189563409563	0.189563409563	1.0	0.8	0.8
WAY-362450	-0.24327981642289054		0.80972972973	0.19027027027	0.19027027027	1.0	0.8	0.8
BRD-K50799972	-0.24289049976736943		0.808731808732	0.191268191268	0.191268191268	1.0	0.8	0.8
BRD-K55116708	-0.24143477864488586		0.804490644491	0.195509355509	0.195509355509	1.0	0.810689655172	0.810689655172
GDC-0941	-0.2410526554537935		0.802785862786	0.197214137214	0.197214137214	1.0	0.810769230769	0.810769230769
BRD-K80183349	-0.240170373708806		0.800540540541	0.199459459459	0.199459459459	1.0	0.813050847458	0.813050847458
VAF-347	-0.23803988191801967		0.794261954262	0.205738045738	0.205738045738	1.0	0.81453125	0.81453125
BRD-K02492147	-0.23795960646919634		0.794095634096	0.205904365904	0.205904365904	1.0	0.81453125	0.81453125
PRIMA-1	-0.23727436426411147		0.791891891892	0.208108108108	0.208108108108	1.0	0.81453125	0.81453125
VER-155008	-0.2372667390090001		0.791891891892	0.208108108108	0.208108108108	1.0	0.81453125	0.81453125
parthenolide	-0.23650596805902493		0.78948024948	0.21051975052	0.21051975052	1.0	0.81453125	0.81453125
QW-BI-011	-0.23573261857048855		0.787318087318	0.212681912682	0.212681912682	1.0	0.81453125	0.81453125
KU-60019	-0.2353071868586862		0.786611226611	0.213388773389	0.213388773389	1.0	0.81453125	0.81453125
CAY10594	-0.23504757263237328		0.785987525988	0.214012474012	0.214012474012	1.0	0.81453125	0.81453125
NSC19630	-0.23441982216663695		0.784282744283	0.215717255717	0.215717255717	1.0	0.81453125	0.81453125
BRD-K94991378	-0.23415095613011375		0.783243243243	0.216756756757	0.216756756757	1.0	0.81453125	0.81453125
BRD-K71935468	-0.23308805125599175		0.779875259875	0.220124740125	0.220124740125	1.0	0.817709923664	0.817709923664
cyclophosphamide	-0.2323942951677902		0.777796257796	0.222203742204	0.222203742204	1.0	0.817709923664	0.817709923664
COL-3	-0.23220167994102253		0.777297297297	0.222702702703	0.222702702703	1.0	0.817709923664	0.817709923664
