	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
CNPY4	-0.4717764155798579	0.018941351674261107	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.00181818181818	0.00181818181818
TOMM20L	-0.4368713279302228	0.022674513966411163	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.00181818181818	0.00181818181818
SPDYE3	-0.4309490481325971	0.023055802625888158	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.00181818181818	0.00181818181818
SERF1B	-0.42756160750482386	0.021928357371847892	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.00181818181818	0.00181818181818
SERF1A	-0.42756160750482386	0.021928357371847892	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.00181818181818	0.00181818181818
MATN1	-0.4226379842768405	0.019593470753795715	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
SMARCA2	-0.4205224853627664	0.017387417741195184	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
CCDC7	-0.42024620712013006	0.018920404138772294	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
TPO	-0.4200003862493299	0.016992240079678006	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
MORN5	-0.4117451499516999	0.01685970349023744	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
FBXO39	-0.4066689710836099	0.018162829515608582	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.00181818181818	0.00181818181818
MINOS1	-0.404528676187181	0.018069814819311022	0.999997657119	2.34288057166e-06	2.34288057166e-06	1.0	0.00333333333333	0.00333333333333
CHCHD2	-0.39591998344210194	0.02354861465971675	0.999991799918	8.20008200082e-06	8.20008200082e-06	1.0	0.00875	0.00875
CLUH	-0.3957584168731029	0.046519980151564576	0.999991799918	8.20008200082e-06	8.20008200082e-06	1.0	0.00875	0.00875
C2orf40	-0.3957209859094507	0.0195599326707027	0.999991799918	8.20008200082e-06	8.20008200082e-06	1.0	0.00875	0.00875
BARHL1	-0.3956540826576711	0.01583074310161683	0.999991799918	8.20008200082e-06	8.20008200082e-06	1.0	0.00875	0.00875
KIAA1958	-0.39345218198505544	0.02321305966412409	0.999981256955	1.87430445733e-05	1.87430445733e-05	1.0	0.0188235294118	0.0188235294118
LINGO1	-0.3911728842334493	0.014560539199733264	0.999976571194	2.34288057166e-05	2.34288057166e-05	1.0	0.0222222222222	0.0222222222222
INSIG1	-0.38878573398612	0.01959765186636445	0.999964856791	3.51432085749e-05	3.51432085749e-05	1.0	0.0315789473684	0.0315789473684
CNRIP1	-0.3875567482133309	0.019739786761463214	0.999956656709	4.33432905758e-05	4.33432905758e-05	1.0	0.037	0.037
TBXAS1	-0.3843371723947127		0.999946113747	5.38862531482e-05	5.38862531482e-05	1.0	0.04	0.04
PCBP2	-0.3831032914321295		0.999944942307	5.50576934341e-05	5.50576934341e-05	1.0	0.04	0.04
FAM186B	-0.38304498322678676		0.999944942307	5.50576934341e-05	5.50576934341e-05	1.0	0.04	0.04
TMEM8B	-0.382775134557417		0.999943770866	5.62291337199e-05	5.62291337199e-05	1.0	0.04	0.04
BZW1	-0.38074945953977035		0.999928542143	7.14578574357e-05	7.14578574357e-05	1.0	0.0415384615385	0.0415384615385
AAGAB	-0.3806506049500498		0.999928542143	7.14578574357e-05	7.14578574357e-05	1.0	0.0415384615385	0.0415384615385
YBEY	-0.38057386891185485		0.999928542143	7.14578574357e-05	7.14578574357e-05	1.0	0.0415384615385	0.0415384615385
ZNF157	-0.3801342116597746		0.999927370702	7.26292977215e-05	7.26292977215e-05	1.0	0.0415384615385	0.0415384615385
HRH3	-0.38008574117465344		0.999927370702	7.26292977215e-05	7.26292977215e-05	1.0	0.0415384615385	0.0415384615385
CLEC7A	-0.37972220578200033		0.999926199262	7.38007380074e-05	7.38007380074e-05	1.0	0.0415384615385	0.0415384615385
MALL	-0.3784977439577468		0.999922684941	7.73150588649e-05	7.73150588649e-05	1.0	0.0415384615385	0.0415384615385
MYO1E	-0.377522383825287		0.999914484859	8.55151408657e-05	8.55151408657e-05	1.0	0.0415384615385	0.0415384615385
HIRA	-0.377398435118994		0.999912141979	8.78580214374e-05	8.78580214374e-05	1.0	0.0415384615385	0.0415384615385
ZBTB11	-0.37714283268858273		0.999908627658	9.13723422949e-05	9.13723422949e-05	1.0	0.0415384615385	0.0415384615385
SLC30A9	-0.3768829802215399		0.999908627658	9.13723422949e-05	9.13723422949e-05	1.0	0.0415384615385	0.0415384615385
POLR3D	-0.37675169278496645		0.999906284777	9.37152228665e-05	9.37152228665e-05	1.0	0.0415384615385	0.0415384615385
IL17D	-0.37670245808803415		0.999905113337	9.48866631523e-05	9.48866631523e-05	1.0	0.0415384615385	0.0415384615385
BARD1	-0.3765883841041038		0.999905113337	9.48866631523e-05	9.48866631523e-05	1.0	0.0415384615385	0.0415384615385
PACS2	-0.37647640246962144		0.999905113337	9.48866631523e-05	9.48866631523e-05	1.0	0.0415384615385	0.0415384615385
ANO2	-0.3741339985825018		0.999882855971	0.000117144028583	0.000117144028583	1.0	0.05	0.05
HUS1B	-0.37151152241943947		0.999865284367	0.000134715632871	0.000134715632871	1.0	0.052131147541	0.052131147541
CHTF18	-0.3715095808389188		0.999865284367	0.000134715632871	0.000134715632871	1.0	0.052131147541	0.052131147541
SPAG6	-0.3710004782285218		0.999859427166	0.0001405728343	0.0001405728343	1.0	0.052131147541	0.052131147541
EBF3	-0.37053802329819635		0.999850055643	0.000149944356586	0.000149944356586	1.0	0.052131147541	0.052131147541
SRSF2	-0.3701685793207643		0.999848884203	0.000151115796872	0.000151115796872	1.0	0.052131147541	0.052131147541
PAGE1	-0.37000395944750747		0.999845369882	0.00015463011773	0.00015463011773	1.0	0.052131147541	0.052131147541
RPAP2	-0.3696923489878371		0.999844198442	0.000155801558016	0.000155801558016	1.0	0.052131147541	0.052131147541
WWC2	-0.36965893012276196		0.999844198442	0.000155801558016	0.000155801558016	1.0	0.052131147541	0.052131147541
OSBPL11	-0.3695215969433932		0.999843027002	0.000156972998301	0.000156972998301	1.0	0.052131147541	0.052131147541
RAD51D	-0.3690903775480275		0.999838341241	0.000161658759445	0.000161658759445	1.0	0.052131147541	0.052131147541
DLG3	-0.36861013613920884		0.99983482692	0.000165173080302	0.000165173080302	1.0	0.052131147541	0.052131147541
RAB41	-0.3683507777680932		0.999831312599	0.00016868740116	0.00016868740116	1.0	0.052131147541	0.052131147541
TBC1D21	-0.3683179914246871		0.999831312599	0.00016868740116	0.00016868740116	1.0	0.052131147541	0.052131147541
L3HYPDH	-0.3682367162258466		0.999831312599	0.00016868740116	0.00016868740116	1.0	0.052131147541	0.052131147541
CELF1	-0.36772513437977183		0.999823112517	0.000176887483161	0.000176887483161	1.0	0.052131147541	0.052131147541
GPR135	-0.367702955227091		0.999823112517	0.000176887483161	0.000176887483161	1.0	0.052131147541	0.052131147541
PAPLN	-0.3673621270542177		0.999821941077	0.000178058923446	0.000178058923446	1.0	0.052131147541	0.052131147541
DCAF12L1	-0.3672338525451561		0.999821941077	0.000178058923446	0.000178058923446	1.0	0.052131147541	0.052131147541
LIMK1	-0.36643906640913365		0.999814912435	0.000185087565161	0.000185087565161	1.0	0.052131147541	0.052131147541
UQCRC1	-0.36634771090351487		0.999813740995	0.000186259005447	0.000186259005447	1.0	0.052131147541	0.052131147541
MIA2	-0.36630415480670125		0.999813740995	0.000186259005447	0.000186259005447	1.0	0.052131147541	0.052131147541
KRT77	-0.36508257005590117		0.99979616939	0.000203830609735	0.000203830609735	1.0	0.055625	0.055625
B3GAT3	-0.36471819174751674		0.999791483629	0.000208516370878	0.000208516370878	1.0	0.055625	0.055625
NCLN	-0.36471248651625676		0.999791483629	0.000208516370878	0.000208516370878	1.0	0.055625	0.055625
NIPAL2	-0.36317158679782136		0.999770397704	0.000229602296023	0.000229602296023	1.0	0.0594202898551	0.0594202898551
MUM1	-0.3628652182676679		0.999764540503	0.000235459497452	0.000235459497452	1.0	0.0594202898551	0.0594202898551
CIC	-0.3628069935860023		0.999763369062	0.000236630937738	0.000236630937738	1.0	0.0594202898551	0.0594202898551
TACR2	-0.36271966670916833		0.999761026182	0.00023897381831	0.00023897381831	1.0	0.0594202898551	0.0594202898551
PNMAL1	-0.36256601390406124		0.999759854741	0.000240145258595	0.000240145258595	1.0	0.0594202898551	0.0594202898551
TSEN54	-0.36219114599127117		0.999745797458	0.000254202542025	0.000254202542025	1.0	0.0607792207792	0.0607792207792
RNF165	-0.36205202989223995		0.999743454577	0.000256545422597	0.000256545422597	1.0	0.0607792207792	0.0607792207792
TUBA8	-0.3619907835798564		0.999743454577	0.000256545422597	0.000256545422597	1.0	0.0607792207792	0.0607792207792
CARS2	-0.36159285736383845		0.999734083055	0.000265916944884	0.000265916944884	1.0	0.0607792207792	0.0607792207792
NOL3	-0.36148820366849765		0.999731740175	0.000268259825455	0.000268259825455	1.0	0.0607792207792	0.0607792207792
PAX4	-0.36132357487261707		0.999730568734	0.000269431265741	0.000269431265741	1.0	0.0607792207792	0.0607792207792
CSRNP1	-0.3612669215515151		0.999729397294	0.000270602706027	0.000270602706027	1.0	0.0607792207792	0.0607792207792
SMCR8	-0.3611202348364691		0.999725882973	0.000274117026885	0.000274117026885	1.0	0.0607792207792	0.0607792207792
