	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
SENESE_HDAC2_TARGETS_UP	0.7942482632920963	0.017196819385070394	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
SENESE_HDAC1_TARGETS_UP	0.7832260324601801	0.033564254183658805	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
BROWNE_HCMV_INFECTION_2HR_DN	0.7820729896771508	0.01919732558457405	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
XU_HGF_SIGNALING_NOT_VIA_AKT1_6HR	0.7786943943464233	0.01593176341903457	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.7737039514980534	0.020371279402955807	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
AMIT_EGF_RESPONSE_480_HELA	0.7714443100911169	0.010877329958816722	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
BMI1_DN_MEL18_DN.V1	0.7648271978844348	0.016545420922113897	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
AMIT_EGF_RESPONSE_480_MCF10A	0.7631839421705507	0.026668054194625576	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
MEL18_DN.V1	0.7593627318180989	0.02145621808515637	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
KIM_WT1_TARGETS_12HR_DN	0.7588573939227308	0.01002772068135255	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
AMIT_EGF_RESPONSE_240_HELA	0.7554916432393405	0.01649957565498805	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
HUANG_DASATINIB_RESISTANCE	0.7528464548273343	0.0185925078123572	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	0.7476191602855038	0.017343488754064638	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
HUANG_DASATINIB_RESISTANCE_UP	0.743620724605012	0.022403657176833076	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
KRAS.DF.V1_UP	0.7384257458770852	0.0163141045625428	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.7357264278266586	0.012552638935767572	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
NIELSEN_LEIOMYOSARCOMA	0.7338487886665351	0.003901249752925919	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	0.7310889698456112	0.028153934635007954	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
BMI1_DN.V1	0.7306750361090126	0.02082515782053111	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN	0.730169062640184	0.007846508950861532	6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
REACTOME_PYRIMIDINE_METABOLISM	0.729510702737728		6.552221202987813e-05	1.0	6.552221202987813e-05	0.00012850167052171679	1.0	0.00012850167052171679
