	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
c-Kit-R-V	0.7401640231293821	0.054259657723431616	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
IGFBP2-R-V	0.694146710365198	0.046715317649849306	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Stathmin-R-V	0.6918959194740141	0.04974063222052314	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Bcl-2-M-V	0.6702997572315311	0.074614413485386	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
MSH6-R-C	0.6502417172082762	0.04214555257475198	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
MSH2-M-V	0.5815649412722078	0.034884927828278046	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
ER-alpha_pS118-R-V	0.5810369299983841	0.04085976286100994	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Smad1-R-V	0.5779820855837814	0.01472646448112389	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Smad4-M-V	0.5646198829372744	0.05814399825072132	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
GSK3-alpha-beta-M-V	0.556702166983175	0.046104130237362734	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
AR-R-V	0.5559710749316472	0.653225399820336	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
p27-R-V	0.5511177744376663	0.043411214708603256	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Cyclin_E2-R-C	0.5468980890628882	0.03517945264239041	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
SF2-M-V	0.5447679333672325	0.04476908700580594	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
Gab2-R-V	0.5399526838156985	0.03352190321258478	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
GATA3-M-V	0.5371498699703646	0.06457447651478711	0.0021645021645021645	1.0	0.0021645021645021645	0.021739130434782608	1.0	0.021739130434782608
