	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
lung.carcinoma.small_cell_carcinoma	0.506383131012775	0.01296880246779951	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
lung	0.38145844446357613	0.009060527999348159	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
neuroblastoma	0.3274727204717574	0.013609080826288238	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
autonomic_ganglia	0.3274727204717574	0.013609080826288238	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
autonomic_ganglia.neuroblastoma.NS	0.3274727204717574	0.013609080826288238	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
bone.Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour.NS	0.22630219044682506	0.024657847755428564	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumour	0.22630219044682506	0.024657847755428564	0.00015384615384615385	1.0	0.00015384615384615385	0.002857142857142857	1.0	0.002857142857142857
primitive_neuroectodermal_tumour-medulloblastoma	0.14979223834261857	0.032958240970069566	0.0295384615385	0.970461538462	0.0295384615385	0.426666666667	1.0	0.426666666667
central_nervous_system.primitive_neuroectodermal_tumour-medulloblastoma.NS	0.14979223834261857	0.032958240970069566	0.0295384615385	0.970461538462	0.0295384615385	0.426666666667	1.0	0.426666666667
stomach.carcinoma.small_cell_adenocarcinoma	0.14081878679289406	0.0568434893537466	0.0484615384615	0.951538461538	0.0484615384615	0.625454545455	1.0	0.625454545455
rhabdomyosarcoma	0.13956922183835735	0.042889297209260754	0.0529230769231	0.947076923077	0.0529230769231	0.625454545455	1.0	0.625454545455
prostate	0.13665389947094778	0.03415191956192691	0.0629230769231	0.937076923077	0.0629230769231	0.681666666667	1.0	0.681666666667
prostate.carcinoma.adenocarcinoma	0.12238411014447445	0.036635925859692574	0.124769230769	0.875230769231	0.124769230769	1.0	0.964237288136	1.0
lung.carcinoma.squamous_cell_carcinoma	0.11918841173612078	0.04841776124774698	0.142307692308	0.857692307692	0.142307692308	1.0	0.952991452991	1.0
lung.carcinoma.large_cell_carcinoma	0.11683715632066036	0.03739310900224475	0.151846153846	0.848153846154	0.151846153846	1.0	0.950517241379	1.0
lung.carcinoma.NS	0.1129100715176015	0.05612210324567765	0.173538461538	0.826461538462	0.173538461538	1.0	0.934260869565	1.0
ovary.carcinoma.endometrioid_carcinoma	0.11017472268667232	0.04287771982305946	0.194	0.806	0.194	1.0	0.919122807018	1.0
thyroid	0.1095335622274358	0.04060409110454782	0.199230769231	0.800769230769	0.199230769231	1.0	0.919122807018	1.0
carcinoid-endocrine_tumour	0.10835933319288205	0.07143215775608695	0.207076923077	0.792923076923	0.207076923077	1.0	0.919122807018	1.0
lung.carcinoid-endocrine_tumour.NS	0.10835933319288205	0.07143215775608695	0.207076923077	0.792923076923	0.207076923077	1.0	0.919122807018	1.0
