Gene	Score	0.95 MoE	p-value	FDR
SNUPN	0.8624416968425689	0.04494252893700625	0.0125	0.04880327283849919
CRYL1	0.8622194340530083	0.04541113815281755	0.0125	0.04880327283849919
TPK1	0.8602144791655713	0.0461395684030645	0.0125	0.04880327283849919
GEM	0.859923654514073	0.057793351889168544	0.0125	0.04880327283849919
AP000318.2	0.8599026443363231	0.09219369060971455	0.0125	0.04880327283849919
ERCC1	0.8595609291010502	0.09673726369382649	0.0125	0.04880327283849919
RSAD1	0.8595179949116171	0.07097499000808292	0.0125	0.04880327283849919
AEBP1	0.8593359902752756	0.05904036866244964	0.0125	0.04880327283849919
LEPRE1	0.8590812849388955	0.04444444881134957	0.0125	0.04880327283849919
RP11-127L20.6	0.8588629141021183	0.07140369760086794	0.0125	0.04880327283849919
NAGS	0.8587152124272605	0.07474478581645261	0.0125	0.04880327283849919
AGPAT5	0.8586906944681347	0.03401497521033824	0.0125	0.04880327283849919
CNRIP1	0.8584670901052515	0.08613394603144918	0.0125	0.04880327283849919
LEPREL2	0.858162100635412	0.0814941343443741	0.0125	0.04880327283849919
AC046143.3	0.8580691270867777	0.03434686723733939	0.0125	0.04880327283849919
TM4SF19	0.8578480696236587	0.06444649455300226	0.0125	0.04880327283849919
RP1-12G14.7	0.8577969319043066	0.048795443789858874	0.0125	0.04880327283849919
NOB1	0.8574241915171819	0.04502859052826242	0.0125	0.04880327283849919
ENG	0.8573535929170693	0.047686198661198956	0.0125	0.04880327283849919
PCOLCE	0.8573086867632882	0.04739399113803381	0.0125	0.04880327283849919
AC005035.1	0.8570244307975865		0.0125	0.04880327283849919
STEAP2	0.8568198356553471		0.0125	0.04880327283849919
DHH	0.8567394330593054		0.0125	0.04880327283849919
MTAP	0.8567140810815973		0.0125	0.04880327283849919
TWIST2	0.8566237675233869		0.0125	0.04880327283849919
TNFRSF19	0.8566067891957894		0.0125	0.04880327283849919
ZNF589	0.8565571188645748		0.0125	0.04880327283849919
RAB31	0.8565517261323461		0.0125	0.04880327283849919
DUSP6	0.856452511027856		0.0125	0.04880327283849919
SLC2A3	0.8563973194536408		0.0125	0.04880327283849919
TMEM145	0.8563656970929809		0.0125	0.04880327283849919
EML3	0.8562540941280826		0.0125	0.04880327283849919
ADAMTSL1	0.8562127671062774		0.0125	0.04880327283849919
SLC20A1	0.8561698497298604		0.0125	0.04880327283849919
STX1A	0.8560440075536899		0.0125	0.04880327283849919
ISG20	0.8559660885332484		0.0125	0.04880327283849919
CTSL1	0.8559246997275466		0.0125	0.04880327283849919
