	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
SNUPN	0.8624416968413497	0.06884655825113783	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
CRYL1	0.862219434053057	0.07266642076348706	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
TPK1	0.8602144791676327	0.07140521456808373	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
GEM	0.8599236545141564	0.0724709917208317	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
AP000318.2	0.8599026443362704	0.06756645312214037	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
ERCC1	0.8595609291017454	0.06158233158122495	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
RSAD1	0.8595179949132534	0.06928384847610042	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
AEBP1	0.8593359902768278	0.06971653867904012	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
LEPRE1	0.8590812849395433	0.07277566651604939	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
RP11-127L20.6	0.8588629141026161	0.058865543478017514	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
NAGS	0.8587152124280573	0.046595664319069516	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
AGPAT5	0.8586906944690026	0.09400133822812129	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
CNRIP1	0.858467090106401	0.06921907756024452	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
LEPREL2	0.8581621006348922	0.06267357913026286	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
AC046143.3	0.858069127089722	0.08114112542970112	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
TM4SF19	0.857848069624565	0.05914599433022106	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
RP1-12G14.7	0.8577969319058777	0.07978985832437147	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
NOB1	0.8574241915185282	0.05551862666611281	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
ENG	0.8573535929177786	0.09384102110626132	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
PCOLCE	0.8573086867696348	0.08553384335216187	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
AC005035.1	0.857024430799097	0.08230864431221618	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
STEAP2	0.8568198356526507	0.08749440755315907	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
DHH	0.8567394330742947	0.05546470689685023	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
MTAP	0.8567140810812346	0.05854773058144197	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
TWIST2	0.8566237675248393	0.09131532279801073	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
TNFRSF19	0.8566067891965337	0.06848414200592291	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
ZNF589	0.8565571188641717	0.07378369101980849	1.6251706429175062e-05	1.0	1.6251706429175062e-05	0.003496503496503496	1.0	0.003496503496503496
