Name	Score	0.95 CI	p-value	FDR
PTCH2	0.783021530266443	0.029741038732278992	1.7396977275198433e-05	0.09285123966942148
GPAM	0.7747801138032658	0.08051875468977705	2.087637273023812e-05	0.09285123966942148
HSD17B1	0.7646558863979105	0.049363026265341836	2.435576818527781e-05	0.09285123966942148
RAPGEF2	0.7447897723158715	0.06908412065218704	3.131455909535718e-05	0.09285123966942148
SERHL2	0.7446548992409981	0.05901329320202226	3.131455909535718e-05	0.09285123966942148
BOLA3-AS1	0.7315480806446755	0.02616490711847415	3.522887898227683e-05	0.09285123966942148
RECQL5	0.7146548594137672	0.11931740914819786	4.479721648363597e-05	0.09285123966942148
RP11-488C13.6	0.7117946080760359	0.017062217767881208	4.610198977927585e-05	0.09285123966942148
C10orf114	0.7058681630851744	0.017654125802274635	5.00163096661955e-05	0.09285123966942148
MEX3A	0.6971046533493318	0.03333738230434411	5.480047841687507e-05	0.09285123966942148
CD37	0.6939911116779675	0.018552532510668344	5.7410025008154836e-05	0.09285123966942148
AC011450.1	0.6890288666254732	0.019200071127110075	6.349896705447428e-05	0.09285123966942148
ZNF74	0.6872915950571462	0.04067847444027859	6.436881591823421e-05	0.09285123966942148
SRXN1	0.6870568115136526	0.032039791023696196	6.480374035011416e-05	0.09285123966942148
PABPC4	0.6798634924607139	0.049653189698480225	6.78482113732739e-05	0.09285123966942148
MDM1	0.6738394821682262	0.10061922579585275	7.132760682831358e-05	0.09285123966942148
PLCD4	0.6667486420077339	0.0346011969667041	7.915624660215288e-05	0.09285123966942148
CSPG5	0.6666872142211476	0.0372485301996697	7.915624660215288e-05	0.09285123966942148
RGS9BP	0.6645157205419969	0.01996404268770453	8.133086876155268e-05	0.09285123966942148
RP1-90J20.11	0.6642481807096666	0.018614055949575777	8.176579319343263e-05	0.09285123966942148
SMARCD3	0.6623539523526185		8.307056648907252e-05	0.09285123966942148
RAB6C	0.661132682486754		8.43753397847124e-05	0.09285123966942148
FAM171A2	0.6609891385932276		8.43753397847124e-05	0.09285123966942148
EYS	0.6564882592634187		8.78547352397521e-05	0.09285123966942148
AZU1	0.6526570127835326		9.263890399043167e-05	0.09285123966942148
AC126365.1	0.6503277096748736		9.568337501359139e-05	0.09285123966942148
SEMA6C	0.6491489146650898		9.611829944547135e-05	0.09285123966942148
TET1	0.643481950431036		0.00010133739262803089	0.09285123966942148
TMEM221	0.643109202700419		0.00010133739262803089	0.09285123966942148
GEMIN8P4	0.6410290450122507		0.00010481678808307057	0.09285123966942148
SERPINE3	0.6356367083658857		0.00011177557899314994	0.09285123966942148
MAMSTR	0.6354813957414516		0.0001122105034250299	0.09285123966942148
KCNAB1	0.6341291586308371		0.00011308035228878982	0.09285123966942148
C15orf27	0.6311981693569679		0.00011525497444818962	0.09285123966942148
CTA-250D10.23	0.6284999726366345		0.00011829944547134936	0.09285123966942148
NDUFB9	0.6276294769364135		0.00011873436990322931	0.09285123966942148
AKAP5	0.62344086476793		0.00012525823638142873	0.09285123966942148
BYSL	0.6207713544241578		0.0001313471784277482	0.09285123966942148
RDH10	0.62065827990817		0.00013178210285962814	0.09285123966942148
LRFN1	0.6206473416298347		0.00013178210285962814	0.09285123966942148
OTUD7A	0.6204384591336495		0.00013178210285962814	0.09285123966942148
ITGA2B	0.6176125538050359		0.0001356964227465478	0.09285123966942148
AC092143.2	0.6170066636968541		0.0001356964227465478	0.09285123966942148
SCML2	0.6162607069003926		0.00013613134717842775	0.09285123966942148
ATP2A1	0.6159586919255141		0.00013613134717842775	0.09285123966942148
LRP6	0.6150807011153838		0.00013700119604218768	0.09285123966942148
RP11-578F21.12	0.6142354540722895		0.00013743612047406763	0.09285123966942148
CCR10	0.6130528754252863		0.00014048059149722735	0.09285123966942148
CTD-2012K14.1	0.6120094110871842		0.00014178536479286723	0.09285123966942148
NME4	0.6117726223944556		0.0001422202892247472	0.09285123966942148
RP4-561L24.3	0.6100535811581684		0.00014569968467978688	0.09285123966942148
RP11-15J6.1	0.6083701100321021		0.00014830923127106665	0.09285123966942148
RP11-603K19.2	0.6072461989594211		0.00014961400456670653	0.09285123966942148
CTA-250D10.15	0.6071575622669696		0.00015004892899858648	0.09285123966942148
RN7SL1	0.6067389541483268		0.00015091877786234641	0.09285123966942148
MAP3K12	0.6052381054067502		0.00015352832445362618	0.09285123966942148
ANKRD34A	0.6046611010412797		0.00015526802218114602	0.09285123966942148
WAS	0.6037258295577048		0.00015700771990866588	0.09285123966942148
AOC3	0.603657470171348		0.00015700771990866588	0.09285123966942148
AKIRIN1	0.6029417346927141		0.00015831249320430576	0.09285123966942148
COX6C	0.6013587713395284		0.00016179188865934543	0.09285123966942148
SCARNA2	0.6008501459485904		0.00016266173752310537	0.09285123966942148
LPHN1	0.6000461416666774		0.00016266173752310537	0.09285123966942148
CCDC151	0.5989828331395334		0.00016483635968250515	0.09285123966942148
RP11-497H16.8	0.5970029083556261		0.00016744590627378492	0.09285123966942148
CDK4	0.5966943699170811		0.0001678808307056649	0.09285123966942148
RBPMS2	0.5949771795993551		0.00017136022616070457	0.09285123966942148
RP11-68I18.10	0.5948972127525763		0.0001722300750244645	0.09285123966942148
HIST1H3B	0.5943407321223654		0.0001722300750244645	0.09285123966942148
WASF1	0.5905015300332862		0.00017744916820702404	0.09285123966942148
FRS3	0.5901869833823093		0.00017744916820702404	0.09285123966942148
ZNF771	0.5899475773084157		0.000177884092638904	0.09285123966942148
PFAS	0.5888927953762043		0.00017962379036642382	0.09285123966942148
PRR3	0.587790820359712		0.00018266826138958357	0.09285123966942148
SIGLEC10	0.5864796826834444		0.0001857127324127433	0.09285123966942148
AB019441.29	0.5848871203305751		0.000188757203435903	0.09285123966942148
ABHD6	0.5845166228905857		0.000188757203435903	0.09285123966942148
GPRASP1	0.5833474396489332		0.00019049690116342284	0.09285123966942148
CTXN1	0.5821027578851192		0.00019267152332282266	0.09285123966942148
AC019201.1	0.5797286617910399		0.00019832554093726214	0.09285123966942148
CA11	0.578929857635742		0.00019963031423290203	0.09285123966942148
PRRT1	0.5768705177362023		0.0002044144829835816	0.09285123966942148
C14orf39	0.5767721102518004		0.0002044144829835816	0.09285123966942148
SLFNL1	0.5765442243754636		0.0002044144829835816	0.09285123966942148
LINC00176	0.5764692951638131		0.00020484940741546156	0.09285123966942148
SARS2	0.5761925604811485		0.00020484940741546156	0.09285123966942148
C6orf165	0.5751206747368514		0.00020615418071110144	0.09285123966942148
PRX	0.5741581586220653		0.0002087637273023812	0.09285123966942148
MAK	0.5728244123621045		0.00021093834946178102	0.09285123966942148
PLCXD1	0.5718196419043774		0.00021267804718930086	0.09285123966942148
ZFHX2	0.5713900914218062		0.0002144177449168207	0.09285123966942148
GOLGA8J	0.5698159281917715		0.00021963683809938023	0.09285123966942148
ZMYND10	0.5698004188278556		0.00021963683809938023	0.09285123966942148
6-Sep	0.569697241171169		0.00021963683809938023	0.09285123966942148
ENO3	0.5682855467685595		0.00022268130912253995	0.09285123966942148
RP11-112J1.1	0.5679019153165836		0.00022355115798629988	0.09285123966942148
ZMYM3	0.5676179541282074		0.00022485593128193976	0.09285123966942148
RP4-724E16.2	0.5666503938800556		0.00022790040230509948	0.09285123966942148
SPRED3	0.5659029530411737		0.00023050994889637925	0.09285123966942148
ZDHHC11	0.5645567986006828		0.00023485919321517885	0.09285123966942148
CTD-2616J11.2	0.5642906536134968		0.00023485919321517885	0.09285123966942148
RP11-119F7.4	0.5635214012403179		0.0002365988909426987	0.09285123966942148
C17orf96	0.5633716218007214		0.0002365988909426987	0.09285123966942148
NEK5	0.5630290721394083		0.0002379036642383386	0.09285123966942148
SLC2A4	0.560918896189585		0.00024312275742089813	0.09285123966942148
AC073321.5	0.5606498763780267		0.00024355768185277808	0.09285123966942148
AC016700.5	0.5603464721056756		0.00024355768185277808	0.09285123966942148
HCN2	0.5596895342547751		0.00024399260628465803	0.09285123966942148
SOX12	0.5589771766723443		0.0002461672284440578	0.09285123966942148
MPP2	0.5587624089891713		0.00024660215287593783	0.09285123966942148
RP11-578F21.5	0.5585923610043985		0.00024747200173969773	0.09285123966942148
CTD-2561B21.5	0.5582068283005238		0.0002487767750353376	0.09285123966942148
RP5-1113E3.3	0.5577204980701179		0.0002487767750353376	0.09285123966942148
MMP25	0.557586222685794		0.0002487767750353376	0.09285123966942148
BSN-AS2	0.5566079202832083		0.0002509513971947374	0.09285123966942148
AC074212.5	0.5552067376117418		0.00025530064151353703	0.09285123966942148
DFFA	0.5541448428452562		0.0002622594324236164	0.09285123966942148
ABCA17P	0.554094363501913		0.0002622594324236164	0.09285123966942148
SCNN1D	0.5532960701049744		0.00026704360117429596	0.09285123966942148
OPRL1	0.5532090695146612		0.00026791345003805586	0.09285123966942148
PTCH1	0.5525892650640521		0.0002713928454930956	0.09285123966942148
RP11-1023L17.2	0.5523796602182408		0.0002713928454930956	0.09285123966942148
TEX22	0.5520656707347387		0.0002735674676524954	0.09285123966942148
ASTN2	0.5517484975506199		0.0002753071653800152	0.09285123966942148
ZFP2	0.5509460404149581		0.0002800913341306948	0.09285123966942148
FZD4	0.5508047545418739		0.0002809611829944547	0.09285123966942148
KLRG1	0.5506067177373645		0.0002822659562900946	0.09285123966942148
PRAM1	0.5505414847093165		0.0002822659562900946	0.09285123966942148
RP11-21A7A.3	0.5490151730114747		0.0002900945960639339	0.09285123966942148
RP5-902P8.10	0.5477094478101041		0.0002966184625421333	0.09285123966942148
DPF1	0.5476192877187684		0.00029705338697401325	0.09285123966942148
RP11-119F7.5	0.5475269016581122		0.0002979232358377732	0.09285123966942148
TBKBP1	0.5468611152687639		0.0003014026312928129	0.09285123966942148
DKKL1	0.5468601797249656		0.0003014026312928129	0.09285123966942148
SIX5	0.5460202800652727		0.0003053169511797325	0.09285123966942148
ZNF154	0.5453189253886292		0.0003083614222028923	0.09285123966942148
CBX2	0.5438132228784107		0.00031358051538545175	0.09285123966942148
RP11-126K1.6	0.5434942984758799		0.0003144503642492117	0.09285123966942148
PRRT2	0.5434719776680988		0.0003144503642492117	0.09285123966942148
SAMD1	0.5432095246030102		0.0003153202131129716	0.09285123966942148
MEX3B	0.5431390804613989		0.0003153202131129716	0.09285123966942148
FGF11	0.542197806906003		0.00031749483527237143	0.09285123966942148
GEMIN5	0.5418098669876524		0.00031836468413613133	0.09285123966942148
TTC3P1	0.5408142384930309		0.00032358377731869087	0.09285123966942148
NPM3	0.5404910173779146		0.00032445362618245077	0.09285123966942148
ZC3H12B	0.5404111481179461		0.00032445362618245077	0.09285123966942148
SSBP4	0.5400896920883816		0.00032619332390997064	0.09285123966942148
GOLGA8H	0.5383759263587857		0.00033489181254756984	0.09285123966942148
ASIC1	0.5382033098684604		0.00033619658584320975	0.09285123966942148
GPLD1	0.5366586724833545		0.0003422855278895292	0.09285123966942148
RP11-475I24.4	0.5365534914689282		0.0003431553767532891	0.09285123966942148
FOXD4	0.5356409897239964		0.0003479395455039687	0.09285123966942148
ARVCF	0.5356306240098776		0.0003479395455039687	0.09285123966942148
PLEKHG2	0.5354040082583523		0.0003483744699358486	0.09285123966942148
CEP44	0.5348987001140266		0.00035185386539088835	0.09285123966942148
C1orf54	0.5347714721849133		0.0003531586386865282	0.09285123966942148
PCSK4	0.5347700307859022		0.0003531586386865282	0.09285123966942148
PKN3	0.5346899589820553		0.0003531586386865282	0.09285123966942148
SLC6A16	0.5346116125325344		0.0003531586386865282	0.09285123966942148
ARID3B	0.5344034015473657		0.0003544634119821681	0.09285123966942148
COQ10A	0.5338058116673116		0.0003562031097096879	0.09285123966942148
DLX4	0.533556332039613		0.0003570729585734479	0.09285123966942148
FAM69B	0.5333665150858631		0.0003579428074372078	0.09285123966942148
XXbac-BPG308K3.5	0.5331830739452172		0.0003609872784603675	0.09285123966942148
ASIC3	0.5326149540619152		0.0003644666739154072	0.09285123966942148
ZNF217	0.5321382410242177		0.0003675111449385669	0.09285123966942148
KLHL15	0.5319710557234194		0.0003675111449385669	0.09285123966942148
YPEL1	0.5319485528110887		0.0003679460693704469	0.09285123966942148
USP2	0.531902191661343		0.00036838099380232686	0.09285123966942148
RP11-429G19.2	0.531234898792927		0.0003714254648254866	0.09285123966942148
C10orf140	0.5312254772252876		0.0003714254648254866	0.09285123966942148
RP11-98G7.1	0.5311617567830347		0.00037186038925736653	0.09285123966942148
MDH1B	0.5308981469162141		0.00037273023812112643	0.09285123966942148
ARHGAP19	0.5308898058989169		0.00037273023812112643	0.09285123966942148
VASH1	0.5306999535740204		0.00037316516255300644	0.09285123966942148
RP11-497H16.6	0.5306748144062019		0.0003736000869848864	0.09285123966942148
RP11-22P6.3	0.5299436281505151		0.000377514406871806	0.09285123966942148
RP11-613H2.2	0.5290902779527605		0.0003831684244862455	0.09285123966942148
RP11-98J23.1	0.5286869753126527		0.0003844731977818854	0.09285123966942148
KCNAB3	0.5284777564802785		0.0003866478199412852	0.09285123966942148
NSMCE2	0.5281636027564632		0.00038969229096444494	0.09285123966942148
RNF122	0.5276465241371449		0.0003940415352832445	0.09285123966942148
TMEM170B	0.5272827554732796		0.0003966510818745243	0.09285123966942148
AC068499.6	0.5268954752195913		0.000399695552897684	0.09285123966942148
CITED2	0.5261703640153618		0.00040317494835272373	0.09285123966942148
SPRY2	0.5259017621422538		0.00040491464608024354	0.09285123966942148
CAD	0.5255587200095531		0.00040534957051212354	0.09285123966942148
CCDC114	0.5253313461855796		0.00040534957051212354	0.09285123966942148
CCDC74B	0.5243634484178376		0.0004096988148309231	0.09285123966942148
CCNE1	0.5240546629367346		0.000411438512558443	0.09285123966942148
RTN4RL2	0.5238279768623543		0.0004123083614222029	0.09285123966942148
C9orf116	0.5236839948299419		0.0004136131347178428	0.09285123966942148
