Name	Score	0.95 CI	p-value	FDR
linsitinib	-0.6085249547212025	0.01766477513566659	4.158004158004158e-05	0.01
barasertib	-0.60402285563487	0.013329094846297608	4.158004158004158e-05	0.01
skepinone-L	-0.5917048801491653	0.020607069893778564	8.316008316008316e-05	0.01
belinostat	-0.591475113744776	0.015681120020902477	8.316008316008316e-05	0.01
serdemetan	-0.5756698444376339	0.01478388566486411	0.00029106029106029104	0.027999999999999997
indisulam	-0.562040278842559	0.015091467263979625	0.0007068607068607068	0.048888888888888885
BRD-K28456706	-0.5593869284272313	0.017439547027234152	0.0008316008316008316	0.048888888888888885
chlorambucil	-0.559091989798733	0.012607149875668985	0.0008731808731808732	0.048888888888888885
ABT-737	-0.5565048412488641	0.012470479485742383	0.0009147609147609147	0.048888888888888885
tretinoin	-0.5497337040721053	0.014671032160089248	0.0012474012474012475	0.05399999999999999
sotrastaurin	-0.54596246841129	0.018482824786229188	0.0015384615384615385	0.05399999999999999
PF-4800567 hydrochloride	-0.5448157446499643	0.10012586225348245	0.00158004158004158	0.05399999999999999
cytarabine hydrochloride	-0.5414391457161544	0.011793500426274167	0.001787941787941788	0.05399999999999999
RG-108	-0.5410931705661144	0.01858284897018968	0.0018295218295218294	0.05399999999999999
ML239	-0.5409724413407468	0.02110905240742923	0.0018295218295218294	0.05399999999999999
avrainvillamide	-0.5383404691092742	0.015357720112920066	0.0019126819126819127	0.05399999999999999
VX-680	-0.5373964758812739	0.07769974703298305	0.0019542619542619543	0.05399999999999999
alisertib	-0.5356493731905069	0.015430310400693975	0.0021205821205821204	0.05399999999999999
BRD-K26531177	-0.5337561274837896	0.016571086331671914	0.0022453222453222453	0.05399999999999999
PX-12	-0.5329719804704433	0.014703000789098405	0.0022453222453222453	0.05399999999999999
BRD-M00053801	-0.531406057927573		0.00237006237006237	0.054285714285714284
LY-2183240	-0.5298706664177079		0.0025363825363825363	0.05545454545454545
Compound 7d-cis	-0.5264961715461386		0.002785862785862786	0.05826086956521739
tivantinib	-0.5189579717375651		0.0035343035343035345	0.06896551724137931
BRD-K88742110	-0.5175143822189902		0.0037837837837837837	0.06896551724137931
SB-225002	-0.5164686413419411		0.0038253638253638255	0.06896551724137931
16-beta-bromoandrosterone	-0.5160026759594074		0.00395010395010395	0.06896551724137931
olaparib	-0.5147544092142353		0.004033264033264033	0.06896551724137931
epigallocatechin-3-monogallate	-0.5126494382624897		0.004158004158004158	0.06896551724137931
GMX-1778	-0.5108585610698956		0.004449064449064449	0.07133333333333333
isoliquiritigenin	-0.5086830452071871		0.004781704781704782	0.07419354838709677
tipifarnib-P1	-0.5042719027618401		0.00553014553014553	0.08312499999999999
CIL41	-0.502808050109955		0.005945945945945946	0.08470588235294117
tacrolimus	-0.502035965152448		0.005987525987525988	0.08470588235294117
axitinib	-0.49916092355000213		0.0069854469854469855	0.0919047619047619
BRD-K92856060	-0.49757751520291915		0.007318087318087318	0.0919047619047619
NSC19630	-0.49664607574291975		0.0075675675675675675	0.0919047619047619
LBH-589	-0.4966072129141688		0.0075675675675675675	0.0919047619047619
tacedinaline	-0.49479175489992344		0.007983367983367984	0.0919047619047619
teniposide	-0.49474475091720954		0.007983367983367984	0.0919047619047619
ceranib-2	-0.4944868557673768		0.008024948024948025	0.0919047619047619
BMS-754807	-0.49445586444785006		0.008024948024948025	0.0919047619047619
BRD-K24690302	-0.4912099508447937		0.008648648648648649	0.09674418604651162
MI-2	-0.489762707633654		0.009106029106029105	0.09695652173913043
vorinostat	-0.4890522466420235		0.009230769230769232	0.09695652173913043
IU1	-0.48899153226646136		0.009272349272349273	0.09695652173913043
SZ4TA2	-0.4873495743680341		0.009937629937629937	0.10170212765957445
BRD-K34485477	-0.48626520719873306		0.01027027027027027	0.10291666666666666
ABT-199	-0.4847199572710366		0.010686070686070685	0.10407407407407407
Compound 1541A	-0.4835140847026283		0.010935550935550936	0.10407407407407407
KPT185	-0.4832136671047958		0.011185031185031185	0.10407407407407407
MLN2480	-0.48195848885997894		0.011476091476091476	0.10407407407407407
ML050	-0.4818935348233411		0.011517671517671517	0.10407407407407407
ISOX	-0.4810223757784057		0.011683991683991684	0.10407407407407407
BRD1835	-0.47878196207018614		0.012474012474012475	0.10644067796610168
etoposide	-0.4786760968435313		0.012474012474012475	0.10644067796610168
Repligen 136	-0.4775879334145378		0.012931392931392931	0.10644067796610168
apicidin	-0.4774800198816879		0.012972972972972972	0.10644067796610168
KW-2449	-0.4772430305653216		0.013056133056133056	0.10644067796610168
BRD-K61166597	-0.47587408323804986		0.013513513513513514	0.10786885245901638
BRD-K42260513	-0.475427737013904		0.01367983367983368	0.10786885245901638
GSK461364	-0.4726593392985974		0.014844074844074844	0.11333333333333333
Mdivi-1	-0.47250527751597643		0.014844074844074844	0.11333333333333333
BRD-K11533227	-0.4703814931461473		0.01575883575883576	0.11472222222222221
topotecan	-0.4699813227704285		0.01600831600831601	0.11472222222222221
BRD-A71883111	-0.4696079924556133		0.016174636174636176	0.11472222222222221
BRD-K02251932	-0.4692574841963669		0.016174636174636176	0.11472222222222221
istradefylline	-0.4686544041576176		0.016465696465696466	0.11472222222222221
tubastatin A	-0.46810720771640707		0.0167983367983368	0.11472222222222221
BRD-K51490254	-0.4677704588948937		0.017006237006237008	0.11472222222222221
BMS-195614	-0.46767729275882924		0.01713097713097713	0.11472222222222221
foretinib	-0.4673326246644745		0.01717255717255717	0.11472222222222221
mitomycin	-0.4665102883006116		0.017546777546777546	0.11493670886075948
tamoxifen	-0.4661282116500431		0.018045738045738047	0.11493670886075948
LRRK2-IN-1	-0.4656739115426296		0.018253638253638255	0.11493670886075948
BRD-K01737880	-0.4651620290575164		0.018544698544698545	0.11493670886075948
vincristine	-0.46506167341672444		0.018586278586278586	0.11493670886075948
CIL70	-0.46471841761659394		0.018711018711018712	0.11493670886075948
BRD-K70511574	-0.46433896603133035		0.018877338877338876	0.11493670886075948
necrostatin-7	-0.4640116391790226		0.01916839916839917	0.11524999999999999
FSC231	-0.46289049836814866		0.019708939708939707	0.11530434782608695
BI-2536	-0.4628591634107355		0.019708939708939707	0.11530434782608695
KX2-391	-0.462125445544318		0.02020790020790021	0.11530434782608695
BRD6340	-0.4615362081315652		0.020498960498960498	0.11530434782608695
lenvatinib	-0.46113853112194925		0.020956340956340955	0.11530434782608695
NSC48300	-0.45969537362836266		0.021704781704781705	0.11530434782608695
ML029	-0.45923922466569794		0.021954261954261953	0.11530434782608695
daporinad	-0.458728943999128		0.02212058212058212	0.11530434782608695
parbendazole	-0.458573964963357		0.022203742203742202	0.11530434782608695
STF-31	-0.45786770504673363		0.022702702702702703	0.11530434782608695
ELCPK	-0.4576975038786623		0.022744282744282744	0.11530434782608695
BIBR-1532	-0.4574728937158192		0.02291060291060291	0.11530434782608695
isoevodiamine	-0.4570951593666155		0.023076923076923078	0.11530434782608695
BRD-K34099515	-0.4566254987329601		0.023243243243243242	0.11530434782608695
BRD-A86708339	-0.45595946855746805		0.023575883575883576	0.11530434782608695
MG-132	-0.45592988569123477		0.023575883575883576	0.11530434782608695
GW-843682X	-0.4556650850631249		0.023617463617463617	0.11530434782608695
SN-38	-0.4548735978871867		0.02428274428274428	0.11530434782608695
PDMP	-0.4545227493999624		0.024532224532224534	0.11530434782608695
XL765	-0.45426493678280633		0.024698544698544697	0.11530434782608695
BMS-270394	-0.4537493521293915		0.025114345114345113	0.11530434782608695
FQI-2	-0.45367769197123214		0.025114345114345113	0.11530434782608695
BRD-K51831558	-0.4533951231456754		0.02532224532224532	0.11530434782608695
necrosulfonamide	-0.45337372259464415		0.02532224532224532	0.11530434782608695
pifithrin-mu	-0.4532106807058396		0.025488565488565488	0.11530434782608695
elocalcitol	-0.4530679697913996		0.025654885654885655	0.11530434782608695
BRD-K44224150	-0.4525414327887507		0.02598752598752599	0.11530434782608695
omacetaxine mepesuccinate	-0.45176814278944954		0.026694386694386694	0.11530434782608695
BRD-K90370028	-0.4517596773308041		0.026694386694386694	0.11530434782608695
BRD-K29313308	-0.4515607123857079		0.026985446985446984	0.11530434782608695
darinaparsin	-0.45147804533013147		0.02702702702702703	0.11530434782608695
BRD-K13999467	-0.4514759655345556		0.02702702702702703	0.11530434782608695
Compound 23 citrate	-0.45117512648543906		0.027318087318087318	0.11530434782608695
navitoclax	-0.45108512209929424		0.027525987525987526	0.11530434782608695
BRD-A94377914	-0.4510617748881734		0.027567567567567567	0.11530434782608695
AZD1480	-0.44881687756836547		0.029397089397089397	0.12189655172413792
ML311	-0.4479396473416583		0.030395010395010396	0.12495726495726496
PF-184	-0.4476492471765379		0.030686070686070686	0.12508474576271186
NSC23766	-0.446930029031699		0.031392931392931395	0.126890756302521
triazolothiadiazine	-0.4463494555430305		0.03185031185031185	0.12766666666666665
NSC95397	-0.445796156340703		0.03234927234927235	0.12859504132231406
NVP-ADW742	-0.44517214445310116		0.03293139293139293	0.12983606557377048
doxorubicin	-0.44434113900726396		0.03351351351351351	0.13105691056910568
BRD-K34222889	-0.4434094162388522		0.034012474012474016	0.13158730158730159
BRD1812	-0.4429075855486107		0.03442827442827443	0.13158730158730159
PL-DI	-0.4428575447133163		0.03446985446985447	0.13158730158730159
BRD-K41597374	-0.4417093179313539		0.0353014553014553	0.1334375
fingolimod	-0.4416513544989714		0.03550935550935551	0.1334375
crizotinib	-0.4411813532685724		0.03625779625779626	0.13415384615384615
PF-3758309	-0.44113996049590404		0.03625779625779626	0.13415384615384615
cucurbitacin I	-0.4395005155629834		0.03817047817047817	0.13969696969696968
BIX-01294	-0.43942369372900675		0.03833679833679834	0.13969696969696968
bexarotene	-0.4376740133352893		0.04020790020790021	0.14405797101449275
BRD-K80183349	-0.4370858095581743		0.04066528066528066	0.14405797101449275
AT-406	-0.43707984173731984		0.04066528066528066	0.14405797101449275
CHM-1	-0.43645975989609953		0.04108108108108108	0.14405797101449275
cimetidine	-0.4361083100753693		0.041288981288981286	0.14405797101449275
BRD-K35604418	-0.4359679189727224		0.04133056133056133	0.14405797101449275
968	-0.43455652456806176		0.04295218295218295	0.14863309352517984
BRD-K19103580	-0.43425488368857607		0.043534303534303535	0.14957142857142858
necrostatin-1	-0.433927711466384		0.04403326403326403	0.1502127659574468
AZD4547	-0.4334901317347282		0.04474012474012474	0.15154929577464787
CAY10618	-0.43315518815105697		0.045322245322245325	0.15244755244755245
ML203	-0.43270917354786403		0.04594594594594595	0.15347222222222223
NVP-TAE684	-0.43193745061705574		0.04686070686070686	0.15544827586206897
MST-312	-0.4314446045852176		0.04773388773388773	0.15726027397260273
ETP-46464	-0.43087351916920785		0.04827442827442827	0.15795918367346937
tipifarnib-P2	-0.4298165241767165		0.04968814968814969	0.16053691275167783
entinostat	-0.4297634643888013		0.04972972972972973	0.16053691275167783
FQI-1	-0.42875409739537146		0.051143451143451146	0.1618421052631579
gemcitabine	-0.42875204713970266		0.051143451143451146	0.1618421052631579
MGCD-265	-0.42872249851433		0.051143451143451146	0.1618421052631579
RO4929097	-0.4277969661612965		0.0520997920997921	0.1637908496732026
dinaciclib	-0.4258862947837282		0.05451143451143451	0.17025974025974025
GSK-J4	-0.4245218339349856		0.05659043659043659	0.17388535031847133
NSC632839	-0.4244019036883608		0.056715176715176716	0.17388535031847133
Ki8751	-0.42439406292604787		0.05675675675675676	0.17388535031847133
YK 4-279	-0.42249168762732625		0.0595010395010395	0.1811392405063291
rigosertib	-0.4217933510606159		0.0604989604989605	0.1830188679245283
nilotinib	-0.42121974929692096		0.06128898128898129	0.18425
ML031	-0.4207120016718977		0.06207900207900208	0.18506172839506171
JW-55	-0.42061018553123886		0.06232848232848233	0.18506172839506171
neuronal differentiation inducer III	-0.4201365573891282		0.06311850311850312	0.18625766871165642
RITA	-0.4198431929989403		0.06353430353430353	0.18634146341463412
cerulenin	-0.41889157808728983		0.06474012474012474	0.18658823529411767
BRD-K02492147	-0.41875294918451683		0.06486486486486487	0.18658823529411767
JW-74	-0.41851775501202454		0.06503118503118503	0.18658823529411767
decitabine	-0.4179795608856877		0.06577962577962577	0.18658823529411767
BRD-K85133207	-0.4179178684319253		0.06594594594594595	0.18658823529411767
hyperforin	-0.41790612742501076		0.06594594594594595	0.18658823529411767
MK-2206	-0.41772121814043534		0.06644490644490644	0.18690058479532162
manumycin A	-0.4164851442692822		0.0688981288981289	0.19267441860465115
Merck60	-0.4159930193829052		0.06981288981288981	0.19410404624277455
brivanib	-0.4151136442247431		0.07076923076923076	0.19563218390804596
itraconazole	-0.4143189050979591		0.0718087318087318	0.19693181818181818
ciclopirox	-0.41419907883967333		0.07205821205821206	0.19693181818181818
alvocidib	-0.4139829725288813		0.07247401247401247	0.19694915254237286
TG-100-115	-0.4130485276232987		0.07372141372141372	0.1992134831460674
nakiterpiosin	-0.4122686534889595		0.07467775467775468	0.2
PRIMA-1	-0.41203604331156385		0.07496881496881497	0.2
SCH-79797	-0.4117156722283784		0.07559251559251559	0.2
sorafenib	-0.41162007337121637		0.07567567567567568	0.2
BYL-719	-0.410810604092548		0.07683991683991684	0.2018478260869565
SB-525334	-0.41062814370680806		0.07721413721413721	0.2018478260869565
PAC-1	-0.41020832824521497		0.07804573804573804	0.20193548387096774
QW-BI-011	-0.4101860031817701		0.07808731808731809	0.20193548387096774
BRD-K66453893	-0.40987737957138837		0.07866943866943867	0.20235294117647057
OSI-930	-0.40910820286979743		0.08016632016632017	0.20510638297872338
pazopanib	-0.40869572853813646		0.08083160083160083	0.2057142857142857
AC55649	-0.4084291415511572		0.08133056133056132	0.20589473684210524
docetaxel	-0.40782965909011515		0.08228690228690229	0.20722513089005234
piperlongumine	-0.4069856208680792		0.08374220374220374	0.20795918367346938
UNC0638	-0.4066201193369427		0.08407484407484407	0.20795918367346938
trifluoperazine	-0.4062165499078056		0.08461538461538462	0.20795918367346938
HLI 373	-0.4060506233502859		0.08474012474012474	0.20795918367346938
QS-11	-0.40604662614894477		0.08474012474012474	0.20795918367346938
SU11274	-0.4052011067383266		0.08632016632016631	0.21076142131979692
SR-II-138A	-0.40365906047913297		0.08844074844074844	0.21472636815920396
PF-573228	-0.40302599886824997		0.08956340956340957	0.21472636815920396
CCT036477	-0.40295541302387256		0.08968814968814968	0.21472636815920396
NVP-231	-0.4029311593805643		0.08972972972972973	0.21472636815920396
gossypol	-0.4025524162921101		0.09043659043659044	0.21492682926829268
neopeltolide	-0.40220987191491425		0.09101871101871102	0.21492682926829268
methylstat	-0.40205011656653583		0.09122661122661123	0.21492682926829268
imatinib	-0.4018178632357263		0.0916008316008316	0.21492682926829268
pandacostat	-0.39895892591804727		0.0967983367983368	0.22461538461538458
CD-437	-0.39886967225491066		0.09696465696465696	0.22461538461538458
PHA-793887	-0.39871631181197303		0.09713097713097713	0.22461538461538458
marinopyrrole A	-0.39794165425538486		0.09841995841995842	0.22628571428571426
SKI-II	-0.39776216778560664		0.09879417879417879	0.22628571428571426
NVP-BEZ235	-0.39664383268167663		0.10103950103950105	0.22971698113207548
B02	-0.39654340175566016		0.10124740124740125	0.22971698113207548
PI-103	-0.3962761770516569		0.10174636174636174	0.22976525821596241
FGIN-1-27	-0.39591583925059237		0.10241164241164241	0.23018691588785045
I-BET151	-0.39475929927897796		0.1041995841995842	0.23222222222222222
tandutinib	-0.3946358228381275		0.10428274428274428	0.23222222222222222
tivozanib	-0.39397611049537995		0.10544698544698544	0.23373271889400918
ouabain	-0.3933384630683863		0.10636174636174636	0.23424657534246576
sitagliptin	-0.39301901915190407		0.10665280665280666	0.23424657534246576
Bax channel blocker	-0.3927616567730396		0.1074012474012474	0.2343891402714932
BRD-K66532283	-0.3925530698413529		0.1076923076923077	0.2343891402714932
N9-isopropylolomoucine	-0.39133602019800107		0.1101871101871102	0.2382062780269058
dacarbazine	-0.3911835435518031		0.11043659043659043	0.2382062780269058
narciclasine	-0.39024004277443525		0.11247401247401248	0.23991150442477874
temsirolimus	-0.39003619292390573		0.11268191268191269	0.23991150442477874
TW-37	-0.3900290908305841		0.11272349272349272	0.23991150442477874
curcumin	-0.38980385823970176		0.11367983367983368	0.24026200873362444
nutlin-3	-0.3896214821602476		0.11405405405405405	0.24026200873362444
Ch-55	-0.38944056991162024		0.11438669438669438	0.24026200873362444
phloretin	-0.3884775312386382		0.11609147609147609	0.24278260869565216
BIRB-796	-0.3877244076756807		0.11729729729729729	0.2430901287553648
sildenafil	-0.3875697433597863		0.11738045738045738	0.2430901287553648
isonicotinohydroxamic acid	-0.387390154781669		0.11775467775467775	0.2430901287553648
bardoxolone methyl	-0.38701075459263096		0.11879417879417879	0.24418803418803417
ML162	-0.3866518947344515		0.11941787941787942	0.2444255319148936
SCH-529074	-0.3860762188399893		0.12062370062370062	0.24584745762711863
PF-750	-0.38565542436128997		0.1214968814968815	0.2463934426229508
linifanib	-0.38500115218177844		0.12253638253638253	0.2463934426229508
