Name	Score	0.95 CI	p-value	FDR
c-Kit-R-V	0.7401640231293825	0.010596611414884103	8.658008658008658e-05	0.00125
IGFBP2-R-V	0.6941467103651977	0.00778468000591131	8.658008658008658e-05	0.00125
Stathmin-R-V	0.6918959194740141	0.009961011279980985	8.658008658008658e-05	0.00125
Bcl-2-M-V	0.6702997572315306	0.008558540112139343	8.658008658008658e-05	0.00125
MSH6-R-C	0.6502417172082763	0.010083898804574519	8.658008658008658e-05	0.00125
MSH2-M-V	0.5815649412722081	0.011803808843659823	8.658008658008658e-05	0.00125
ER-alpha_pS118-R-V	0.5810369299983841	0.00829006944187722	8.658008658008658e-05	0.00125
Smad1-R-V	0.5779820855837817	0.01053129694705739	8.658008658008658e-05	0.00125
Smad4-M-V	0.5646198829372744	0.01176125984785124	8.658008658008658e-05	0.00125
GSK3-alpha-beta-M-V	0.5567021669831749	0.009467984508263303	8.658008658008658e-05	0.00125
AR-R-V	0.5559710749316474	0.12902957670201168	8.658008658008658e-05	0.00125
p27-R-V	0.5511177744376669	0.013010698317197866	8.658008658008658e-05	0.00125
Cyclin_E2-R-C	0.546898089062889	0.012280940050196172	8.658008658008658e-05	0.00125
SF2-M-V	0.5447679333672324	0.011254595456525773	8.658008658008658e-05	0.00125
Gab2-R-V	0.5399526838156982	0.008141432272746272	8.658008658008658e-05	0.00125
GATA3-M-V	0.537149869970365	0.009434359783192117	8.658008658008658e-05	0.00125
Bap1 c-4-M-E	0.5198594968036309	0.008808089340835172	0.0004329004329004329	0.0058823529411764705
Chk1-M-C	0.5078074260516284	0.012127728513265256	0.001038961038961039	0.01263157894736842
Raptor-R-V	0.507084122383165	0.00971530329012035	0.001038961038961039	0.01263157894736842
PARP_cleaved-M-QC	0.5068208356223212	0.009282697984850522	0.0012121212121212121	0.014
14-3-3_epsilon-M-C	0.504177651104941		0.0014718614718614719	0.015454545454545455
B-Raf-M-C	0.5036921990294055		0.0014718614718614719	0.015454545454545455
Akt-R-V	0.49790613036339787		0.0018181818181818182	0.018260869565217393
Bim(EP1036)-R-V	0.48811744222414105		0.003116883116883117	0.0296
B-Raf_pS445-R-E	0.48641178502995547		0.0032034632034632035	0.0296
p70S6K-R-V	0.48391495890310793		0.003463203463203463	0.030769230769230767
p14 Arf(BetA300-340A)-R-E	0.48221643055483593		0.0036363636363636364	0.03103448275862069
TTF1-R-V	0.48120085436738214		0.003896103896103896	0.03103448275862069
VAV1-R-E	0.4807974373234229		0.003896103896103896	0.03103448275862069
Chk1_pS345-R-C	0.47960853942202564		0.004329004329004329	0.03333333333333334
C-Raf(BD610151)-M-E	0.47602809656420025		0.005194805194805195	0.038709677419354833
GSK-3-BETA-R-E	0.46171684536384344		0.007186147186147187	0.051875000000000004
4E-BP1_pS65-R-V	0.4608967385244341		0.007532467532467533	0.052727272727272734
Chk2-M-V	0.4580902465332151		0.008051948051948052	0.05470588235294117
Bim(CST2933)-R-E	0.4538224530685525		0.00909090909090909	0.05888888888888889
Syk-M-V	0.4537105982461236		0.009177489177489178	0.05888888888888889
MDMX_MDM4(BetIHC-00108)-R-E	0.4518470662673539		0.009783549783549783	0.06
4E-BP1_pT37_T46-R-V	0.45076499074076454		0.009956709956709957	0.06
PI3K-p110-alpha-R-C	0.450691211430966		0.01012987012987013	0.06
PREX1-R-E	0.4491916715637068		0.011082251082251082	0.064
Bax-R-V	0.44731738236271945		0.011948051948051949	0.06571428571428571
HER3_pY1289-R-C	0.44692788057274596		0.011948051948051949	0.06571428571428571
DJ-1-R-V	0.4435429786049693		0.012987012987012988	0.06976744186046512
C-Raf(MP05-739)-R-V	0.4352862305872033		0.017056277056277058	0.08844444444444444
Acetyl-a-Tubulin (Lys40)-R-C	0.4350064141992382		0.01722943722943723	0.08844444444444444
53BP1-R-V	0.43373396023812116		0.017662337662337664	0.08851063829787234
4E-BP1-R-V	0.43282153441727084		0.01800865800865801	0.08851063829787234
Tuberin-R-V	0.43071365503906883		0.01948051948051948	0.09374999999999999
HSP70-R-C	0.42879716301040294		0.020346320346320345	0.09591836734693876
mTOR-R-V	0.4237781946160069		0.022943722943722943	0.10428571428571429
eIF4G-R-C	0.4200675152058771		0.02458874458874459	0.10428571428571429
PTEN-R-V	0.4197478705812238		0.024761904761904763	0.10428571428571429
FoxM1-R-V	0.41957085069220074		0.02484848484848485	0.10428571428571429
Cyclin_E1-M-V	0.41853896913365507		0.02502164502164502	0.10428571428571429
4E-BP1_pT70-R-V	0.41817883682453566		0.025281385281385283	0.10428571428571429
Tuberin_pT1462-R-V	0.41816807341596884		0.025281385281385283	0.10428571428571429
Histone H2A-R-E	0.41447042999040645		0.02727272727272727	0.11
ATM-R-E	0.4140507340091936		0.02761904761904762	0.11
p27_pT157-R-C	0.41074929050497144		0.030043290043290042	0.11762711864406779
Bak-R-C	0.4077184507484221		0.03298701298701299	0.12622950819672132
PR-R-V	0.40718982060226433		0.03333333333333333	0.12622950819672132
MDM2_pS166-R-E	0.40337966175402057		0.036277056277056276	0.13516129032258065
RBM15-R-V	0.40167190921490264		0.03774891774891775	0.1384126984126984
XRCC1-R-E	0.4007607284364916		0.038874458874458874	0.1403125
FASN-R-V	0.39040955037216973		0.048917748917748916	0.17384615384615382
Src_pY527-R-V	0.3887623608696061		0.050995670995671	0.1784848484848485
eIF4E-R-V	0.38353750503740774		0.05653679653679654	0.19391304347826088
Chk2_pT68-R-C	0.38281773330472463		0.05714285714285714	0.19391304347826088
LKB1-M-E	0.3820616490788642		0.05792207792207792	0.19391304347826088
ASNS-R-V	0.3809385222441125		0.058961038961038964	0.1945714285714286
PDK1-R-V	0.3767142671527802		0.06554112554112554	0.2132394366197183
Src_pY416-R-C	0.3743153792569125		0.06978354978354978	0.2238888888888889
p90RSK-R-C	0.37152970763407295		0.07437229437229437	0.23534246575342463
MDMX_MDM4(BetA300-287A)-R-E	0.36999792932192127		0.07766233766233767	0.23896103896103899
PDCD4-R-C	0.3699469952449118		0.07783549783549784	0.23896103896103899
Dvl3-R-V	0.36938396745587593		0.07896103896103897	0.23896103896103899
GSK3-alpha-beta_pS21_S9-R-V	0.3689383079918009		0.07965367965367966	0.23896103896103899
Ku80-R-C	0.36723051414715835		0.08225108225108226	0.2410126582278481
ERCC1-M-QC	0.36702800818509607		0.08242424242424243	0.2410126582278481
GSK3_pS9-R-V	0.36555724482152036		0.08597402597402598	0.24825000000000003
mTOR_pS2448-R-C	0.36208243274037405		0.09281385281385282	0.26469135802469135
c-Met_pY1235-R-V	0.3612585222956482		0.09523809523809523	0.26829268292682923
