Name	Score	0.95 CI	p-value	FDR
OSTC	-0.6318509812612714	0.017584437110785472	1.1697274535033338e-06	0.0004166666666666667
WDR12	-0.6043731135686355	0.020261516448594	1.1697274535033338e-06	0.0004166666666666667
EGFR	-0.5909788420579469	0.016500226588060923	1.1697274535033338e-06	0.0004166666666666667
EDF1	-0.5893105842727632	0.015883260459566326	1.1697274535033338e-06	0.0004166666666666667
FTSJ3	-0.5800812969261417	0.02005655293705734	1.1697274535033338e-06	0.0004166666666666667
DCAF17	-0.5771764923095394	0.02330159760838096	1.1697274535033338e-06	0.0004166666666666667
C7orf31	-0.5718356265759694	0.02114292410338416	1.1697274535033338e-06	0.0004166666666666667
PEX11A	-0.5657975195093264	0.02172690032266284	1.1697274535033338e-06	0.0004166666666666667
PDIA3P1	-0.5643726046469574	0.017437334232602242	1.1697274535033338e-06	0.0004166666666666667
PSMD6	-0.5623554002980309	0.018844932693165024	1.1697274535033338e-06	0.0004166666666666667
OSTCP1	-0.5550929068555709	0.019540327865423285	1.1697274535033338e-06	0.0004166666666666667
C10orf120	-0.5507270603093729	0.026196143982538084	1.1697274535033338e-06	0.0004166666666666667
GOLGA7	-0.5491104198220328	0.022294714429177902	1.1697274535033338e-06	0.0004166666666666667
RPF2	-0.5467373522133508	0.026522365741828164	1.1697274535033338e-06	0.0004166666666666667
ANAPC1	-0.5456193236361827	0.021174209033485616	1.1697274535033338e-06	0.0004166666666666667
RPS27	-0.5455205659611656	0.021205028979647163	1.1697274535033338e-06	0.0004166666666666667
GLIS2	-0.5453298370036302	0.023718273563441153	1.1697274535033338e-06	0.0004166666666666667
SLMAP	-0.5445870205748126	0.027172877180665373	1.1697274535033338e-06	0.0004166666666666667
ARSI	-0.5444495044211466	0.02710114775677732	1.1697274535033338e-06	0.0004166666666666667
ASTN2	-0.5420432044937517	0.02232402163571759	1.1697274535033338e-06	0.0004166666666666667
PTPN23	-0.5413683744666893		1.1697274535033338e-06	0.0004166666666666667
PINX1	-0.5388400168851321		1.1697274535033338e-06	0.0004166666666666667
RSL24D1	-0.5374665889412664		1.1697274535033338e-06	0.0004166666666666667
MYO1D	-0.5340204241756601		1.1697274535033338e-06	0.0004166666666666667
CACFD1	-0.532417294581464		1.1697274535033338e-06	0.0004166666666666667
TSPAN7	-0.5316272550779167		1.1697274535033338e-06	0.0004166666666666667
PRIMPOL	-0.5312090159455137		1.1697274535033338e-06	0.0004166666666666667
CXorf40B	-0.5306500427564408		1.1697274535033338e-06	0.0004166666666666667
RPN2	-0.529431757562716		1.1697274535033338e-06	0.0004166666666666667
STARD13	-0.5288125791606213		1.1697274535033338e-06	0.0004166666666666667
ANLN	-0.5287058107931721		1.1697274535033338e-06	0.0004166666666666667
HEATR3	-0.52713200633603		1.1697274535033338e-06	0.0004166666666666667
DPPA4	-0.525842993882527		1.1697274535033338e-06	0.0004166666666666667
DDX25	-0.5248298311966852		1.1697274535033338e-06	0.0004166666666666667
