Name	Score	0.95 CI	p-value	FDR
ECTODERM_DEVELOPMENT	0.8568564194803449	0.003928481783014077	2.6208884811951253e-06	1.602564102564103e-05
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP	0.8546457701258927	0.004600465761606628	2.6208884811951253e-06	1.602564102564103e-05
EPIDERMIS_DEVELOPMENT	0.8405972317990204	0.0039029541701079452	2.6208884811951253e-06	1.602564102564103e-05
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN	0.8365962309859272	0.004330900337583215	2.6208884811951253e-06	1.602564102564103e-05
INAMURA_LUNG_CANCER_SCC_UP	0.8356254728835518	0.004305031613370561	2.6208884811951253e-06	1.602564102564103e-05
HUPER_BREAST_BASAL_VS_LUMINAL_UP	0.8273999788994715	0.004360698795864715	2.6208884811951253e-06	1.602564102564103e-05
JAEGER_METASTASIS_DN	0.8192666587956372	0.003953236567777731	2.6208884811951253e-06	1.602564102564103e-05
TISSUE_DEVELOPMENT	0.817296328684949	0.003705580041816124	2.6208884811951253e-06	1.602564102564103e-05
MURAKAMI_UV_RESPONSE_1HR_UP	0.8168492032944513	0.005035420849091933	2.6208884811951253e-06	1.602564102564103e-05
KRAS.LUNG_UP.V1_DN	0.8144423257354505	0.004488417463727227	2.6208884811951253e-06	1.602564102564103e-05
TAUBE_EMT_DN	0.8103310764508069	0.005480510251292043	2.6208884811951253e-06	1.602564102564103e-05
CROMER_METASTASIS_DN	0.8080079196475682	0.006070391419493473	2.6208884811951253e-06	1.602564102564103e-05
PID_DELTA_NP63_PATHWAY	0.7997890827026916	0.004910961773619819	2.6208884811951253e-06	1.602564102564103e-05
HUMMERICH_BENIGN_SKIN_TUMOR_UP	0.794772236789761	0.005128742412673614	2.6208884811951253e-06	1.602564102564103e-05
RICKMAN_METASTASIS_DN	0.7937035100010037	0.004071229966178313	2.6208884811951253e-06	1.602564102564103e-05
KRAS.50_UP.V1_DN	0.7885863434143938	0.004729356474852667	2.6208884811951253e-06	1.602564102564103e-05
DOANE_BREAST_CANCER_ESR1_DN	0.787343929213194	0.004532598650126089	2.6208884811951253e-06	1.602564102564103e-05
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN	0.7866284996364672	0.005220666913709892	2.6208884811951253e-06	1.602564102564103e-05
PYEON_HPV_POSITIVE_TUMORS_DN	0.7855164999244961	0.006445758464833153	2.6208884811951253e-06	1.602564102564103e-05
ONDER_CDH1_TARGETS_2_DN	0.7792529806683005	0.00415610599216866	2.6208884811951253e-06	1.602564102564103e-05
CORNIFIED_ENVELOPE	0.7789157265820056		2.6208884811951253e-06	1.602564102564103e-05
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP	0.7743138342027865		2.6208884811951253e-06	1.602564102564103e-05
MARTINEZ_TP53_TARGETS_DN	0.7740555264082325		2.6208884811951253e-06	1.602564102564103e-05
MARTINEZ_RB1_AND_TP53_TARGETS_DN	0.7667297462590388		2.6208884811951253e-06	1.602564102564103e-05
