Name	Score	0.95 MoE	p-value	FDR
RAB6C	0.9399525026831118	0.20198745736220158	7.248740531332681e-06	0.0273972602739726
STARD3	0.928043112589566	0.052877861028942826	7.248740531332681e-06	0.0273972602739726
ORMDL3	0.9120700878359038	0.12314728658009025	7.248740531332681e-06	0.0273972602739726
CREB3L4	0.9091939780056242	0.035704744777506625	7.248740531332681e-06	0.0273972602739726
MKRN2-AS1	0.8876073538286122	0.08310335674696517	2.1746221593998042e-05	0.0273972602739726
RP11-517C16.2	0.8843381754846752	0.02753610622781345	2.1746221593998042e-05	0.0273972602739726
RP11-532F12.5	0.8829977523848007	0.0039545869230394135	2.1746221593998042e-05	0.0273972602739726
C1orf172	0.8825513921271316	0.0022079216645934665	2.1746221593998042e-05	0.0273972602739726
INADL	0.8779058079932038	0.007534624195524703	2.1746221593998042e-05	0.0273972602739726
ESRP2	0.8740036483208105	0.003649967272134396	2.1746221593998042e-05	0.0273972602739726
ESRP1	0.8727506016989064	0.0029228350638280903	2.1746221593998042e-05	0.0273972602739726
MARVELD3	0.8695314154124157	0.009546446930021513	2.1746221593998042e-05	0.0273972602739726
SERHL2	0.8694975127403621	0.13370428180094276	2.1746221593998042e-05	0.0273972602739726
CDC42BPG	0.8675042889165245	0.003812324817374178	2.1746221593998042e-05	0.0273972602739726
PRRG2	0.8656464290105936	0.0033093891667457615	2.1746221593998042e-05	0.0273972602739726
GRHL2	0.8654335955614177	0.004678459690937948	2.1746221593998042e-05	0.0273972602739726
HOOK2	0.8649810657535812	0.013417664444024403	2.1746221593998042e-05	0.0273972602739726
SPINT1	0.8643261425876816	0.005691875436248502	2.8994962125330724e-05	0.0273972602739726
F11R	0.8639620838451294	0.02558412711871829	2.8994962125330724e-05	0.0273972602739726
C9orf169	0.863545586497462	0.003387892884753021	2.8994962125330724e-05	0.0273972602739726
C8orf73	0.8627555586742043		2.8994962125330724e-05	0.0273972602739726
TSPAN15	0.8582866724834651		2.8994962125330724e-05	0.0273972602739726
RAB25	0.8573164714846709		2.8994962125330724e-05	0.0273972602739726
CDS1	0.8560713045399527		2.8994962125330724e-05	0.0273972602739726
RP4-537K17.2	0.8559289997440496		2.8994962125330724e-05	0.0273972602739726
TMEM125	0.8547852376202131		2.8994962125330724e-05	0.0273972602739726
ST14	0.8547210606888692		2.8994962125330724e-05	0.0273972602739726
AC093162.5	0.8542891715641167		2.8994962125330724e-05	0.0273972602739726
CDH1	0.8518097563027098		2.8994962125330724e-05	0.0273972602739726
RP11-429J17.6	0.8482589063022941		2.8994962125330724e-05	0.0273972602739726
MARVELD2	0.8462117785552171		2.8994962125330724e-05	0.0273972602739726
RP11-354M1.2	0.8459434826967348		2.8994962125330724e-05	0.0273972602739726
ARRDC1	0.8458437408671585		2.8994962125330724e-05	0.0273972602739726
TOB1	0.8447243054201433		2.8994962125330724e-05	0.0273972602739726
HSD17B1	0.8440933205561346		2.8994962125330724e-05	0.0273972602739726
BSPRY	0.8439914583285305		2.8994962125330724e-05	0.0273972602739726
CLDN7	0.8439873256407944		2.8994962125330724e-05	0.0273972602739726
OVOL2	0.843654877801636		2.8994962125330724e-05	0.0273972602739726
SH3YL1	0.8400443068156093		3.62437026566634e-05	0.0273972602739726
CRB3	0.8393151263989108		3.62437026566634e-05	0.0273972602739726
CNKSR1	0.8334095343751173		3.62437026566634e-05	0.0273972602739726
EPCAM	0.8320347195692354		3.62437026566634e-05	0.0273972602739726
GRHL1	0.8297958616490437		3.62437026566634e-05	0.0273972602739726
RP11-22C11.2	0.8289667027212804		3.62437026566634e-05	0.0273972602739726
CTD-2284J15.1	0.828842618819433		3.62437026566634e-05	0.0273972602739726
SPINT2	0.8269398117754777		3.62437026566634e-05	0.0273972602739726
CCDC64B	0.8261382697856574		3.62437026566634e-05	0.0273972602739726
SLC37A1	0.8240524373798105		3.62437026566634e-05	0.0273972602739726
AB019441.29	0.8217957610291821		3.62437026566634e-05	0.0273972602739726
LLGL2	0.8212360274757475		3.62437026566634e-05	0.0273972602739726
AP1M2	0.8205615632196228		3.62437026566634e-05	0.0273972602739726
STARD10	0.8201612308557702		3.62437026566634e-05	0.0273972602739726
TSEN54	0.8197065106204043		3.62437026566634e-05	0.0273972602739726
RAB11FIP1	0.8193183243295027		3.62437026566634e-05	0.0273972602739726
MPZL3	0.8177387387771768		4.3492443187996084e-05	0.0273972602739726
RECQL5	0.8175318342499088		4.3492443187996084e-05	0.0273972602739726
LSR	0.8172645185053449		4.3492443187996084e-05	0.0273972602739726
MAP7	0.8162952188750956		4.3492443187996084e-05	0.0273972602739726
