Name	Score	0.95 MoE	p-value	FDR
compound 1B	-0.5573594551952659	0.08082917172794925	0.000693000693000693	0.16666666666666666
AZD4547	-0.5158524423522992	0.05920087979400845	0.000693000693000693	0.16666666666666666
BRD-K99006945	-0.47402547259373967	0.07794045062541383	0.005544005544005544	0.46153846153846156
BRD-K26531177	-0.4572725297568323	0.051871525268830154	0.008316008316008316	0.46153846153846156
lenvatinib	-0.4458328059007172	0.08411663784124468	0.009702009702009701	0.46153846153846156
ML162	-0.4447895945272555	0.006688024381976896	0.009702009702009701	0.46153846153846156
chlorambucil	-0.4422074870278996	0.4103355035404253	0.010395010395010396	0.46153846153846156
tubastatin A	-0.43986801937777475	0.3098753907072521	0.011088011088011088	0.46153846153846156
BMS-195614	-0.43386184003058625	0.3509795479425958	0.01178101178101178	0.46153846153846156
staurosporine	-0.43296451137901726	0.06393922045061975	0.01178101178101178	0.46153846153846156
ML239	-0.43091181402854767	0.07483003395192173	0.012474012474012475	0.46153846153846156
CIL55	-0.4293217045629545	0.305487030509824	0.012474012474012475	0.46153846153846156
SZ4TA2	-0.42888709956852283	0.06550774780647954	0.012474012474012475	0.46153846153846156
RG-108	-0.42275104135332	0.026515240898471924	0.016632016632016633	0.4700854700854701
CCT036477	-0.42263357808683416	0.049099091134280376	0.016632016632016633	0.4700854700854701
BRD-K42260513	-0.417699909758365	0.46468656866157787	0.017325017325017324	0.4700854700854701
imatinib	-0.41763839798983343	0.35766420003815214	0.017325017325017324	0.4700854700854701
ruxolitinib	-0.41507147500524877	0.36478680417287496	0.019404019404019403	0.4700854700854701
XL765	-0.408651174520944	0.02498612567250355	0.022176022176022176	0.4700854700854701
tretinoin	-0.4081469072171944	0.050068309964476615	0.022176022176022176	0.4700854700854701
BRD-K51490254	-0.4078392861567894		0.02286902286902287	0.4700854700854701
olaparib	-0.3996733439674299		0.02772002772002772	0.4700854700854701
PF-4800567 hydrochloride	-0.39836204307961826		0.028413028413028413	0.4700854700854701
ML203	-0.39825420504088		0.028413028413028413	0.4700854700854701
PLX-4032	-0.3981684499315442		0.028413028413028413	0.4700854700854701
tivozanib	-0.3974634682888224		0.029106029106029108	0.4700854700854701
PRIMA-1-Met	-0.39371877461509547		0.03187803187803188	0.4700854700854701
NSC30930	-0.39332127788871424		0.03187803187803188	0.4700854700854701
TG-100-115	-0.3931934033460095		0.03187803187803188	0.4700854700854701
SGX-523	-0.3924923039467495		0.03187803187803188	0.4700854700854701
PLX-4720	-0.3919573257263431		0.03257103257103257	0.4700854700854701
AZD1480	-0.39159619141665175		0.033264033264033266	0.4700854700854701
BRD-K29086754	-0.39086083344062184		0.033264033264033266	0.4700854700854701
CHIR-99021	-0.38937191241091207		0.036036036036036036	0.4700854700854701
AT7867	-0.38911216258261616		0.036036036036036036	0.4700854700854701
fluvastatin	-0.38711170038975307		0.036036036036036036	0.4700854700854701
serdemetan	-0.38596374336256234		0.037422037422037424	0.4700854700854701
ML050	-0.38550837195794746		0.038115038115038115	0.4700854700854701
BRD-A05715709	-0.38528598298593436		0.038115038115038115	0.4700854700854701
cytochalasin B	-0.3815638090306185		0.0395010395010395	0.4728682170542635
BRD9647	-0.38114305257847786		0.04158004158004158	0.4728682170542635
BRD-K34485477	-0.38101309380941556		0.04158004158004158	0.4728682170542635
Ki8751	-0.38039033109249637		0.04227304227304227	0.4728682170542635
foretinib	-0.37861889674690463		0.04781704781704782	0.5
KW-2449	-0.3775223032961183		0.05058905058905059	0.5
SR1001	-0.37646280725883063		0.05266805266805267	0.5
sildenafil	-0.3749124129624039		0.05405405405405406	0.5
pazopanib	-0.37417736869414686		0.056133056133056136	0.5
CBB-1007	-0.37337149330855585		0.05751905751905752	0.5
CAY10576	-0.3732109099063256		0.058212058212058215	0.5
Compound 1541A	-0.37312796186700026		0.058905058905058906	0.5
IPR-456	-0.37277728453533665		0.058905058905058906	0.5
BMS-270394	-0.3723866987497916		0.058905058905058906	0.5
NSC48300	-0.371856116968651		0.058905058905058906	0.5
nilotinib	-0.3701987142424939		0.061677061677061676	0.5
axitinib	-0.36977454022288275		0.06306306306306306	0.5
epigallocatechin-3-monogallate	-0.36953358502830574		0.06306306306306306	0.5
UNC0638	-0.3678055328993688		0.06514206514206514	0.5
ML210	-0.3675179271238837		0.06583506583506583	0.5
NSC23766	-0.3664151159478299		0.06652806652806653	0.5
tandutinib	-0.3661991016364152		0.06722106722106722	0.5
CIL41	-0.3659835734100695		0.06722106722106722	0.5
PYR-41	-0.36429434277882927		0.06860706860706861	0.5
avrainvillamide	-0.36386830109955914		0.0693000693000693	0.5
pitstop2	-0.36097710546656697		0.07415107415107415	0.5
IC-87114	-0.36094327931130143		0.07415107415107415	0.5
lovastatin	-0.3607901644328534		0.07484407484407485	0.5
simvastatin	-0.36000011361088385		0.07623007623007623	0.5
1S,3R-RSL-3	-0.3598984225710728		0.07623007623007623	0.5
BRD-K24690302	-0.3593175354675186		0.07761607761607761	0.5
BRD-K04800985	-0.3584086460347917		0.07830907830907831	0.5
