Name	Score	0.95 MoE	p-value	FDR
TMEM41A	-0.5875806945228129	0.11823722299222332	5.848637267516669e-05	0.4403292181069959
TBCCD1	-0.5829551060529963	0.01077448288468416	7.798183023355558e-05	0.4403292181069959
RAB6A	-0.5680843850061476	0.07612556648706593	0.00015596366046711116	0.4403292181069959
MRPL47	-0.5606020629636008	0.07440688498414762	0.00015596366046711116	0.4403292181069959
ANKRD32	-0.557158402002505	0.09034737381314376	0.00017545911802550006	0.4403292181069959
NSMCE4A	-0.542316920639208	0.1485595906572431	0.000370413693609389	0.4403292181069959
AEN	-0.5421511758004831	0.010029499148783294	0.000370413693609389	0.4403292181069959
SLITRK3	-0.536906346732131	0.0031161695072266745	0.0004289000662845557	0.4403292181069959
YAE1D1	-0.5345882718764204	0.03550314897105621	0.0004483955238429446	0.4403292181069959
TCTN3	-0.5303109444373557	0.15313353343176175	0.0005068818965181113	0.4403292181069959
ZNF829	-0.5301200607962937	0.08509626205742742	0.0005068818965181113	0.4403292181069959
TMEM263	-0.5291928165664441	0.10968775546333273	0.0005263773540765002	0.4403292181069959
CAPZA3	-0.5290182660311197	0.07790528680504866	0.0005263773540765002	0.4403292181069959
TBC1D3K	-0.5288897336215047	0.13914741357866006	0.0005263773540765002	0.4403292181069959
TBC1D3C	-0.5288897336215047	0.13914741357866006	0.0005263773540765002	0.4403292181069959
HMGXB3	-0.5278660446009164	0.09321784754756936	0.0005263773540765002	0.4403292181069959
ACSF2	-0.5185022643607304	0.05058456538899552	0.0005848637267516669	0.4403292181069959
C6orf62	-0.5163500886932301	0.15283050994502462	0.0005848637267516669	0.4403292181069959
PARD6B	-0.5130306206916031	0.12848665114902197	0.0006433500994268335	0.4403292181069959
HFM1	-0.5114569162278666	0.054790247185805635	0.0006823410145436114	0.4403292181069959
ARHGAP29	-0.5103326243884484	0.04930797004163592	0.0006823410145436114	0.4403292181069959
FAM160B1	-0.505520584837148		0.000760322844777167	0.4403292181069959
ROR1-AS1	-0.5041978124864183		0.0007798183023355558	0.4403292181069959
MYADML2	-0.5027688200744436		0.0007993137598939447	0.4403292181069959
ARRB2	-0.5020385021191491		0.0007993137598939447	0.4403292181069959
NAV2	-0.4992719225458034		0.0008383046750107224	0.4403292181069959
MYL12B	-0.49767936297802007		0.0008578001325691114	0.4403292181069959
GSTA2	-0.4962842478621043		0.000935781962802667	0.4403292181069959
TEX28	-0.4962015629680021		0.000935781962802667	0.4403292181069959
CA3	-0.494202548407289		0.0009942683354778336	0.4403292181069959
LCE5A	-0.4935943665628681		0.0009942683354778336	0.4403292181069959
THSD4	-0.49140242770090614		0.0010137637930362226	0.4403292181069959
CXorf40A	-0.4907356868599045		0.0010137637930362226	0.4403292181069959
DCAF16	-0.48921314129062915		0.0010332592505946114	0.4403292181069959
MYOM3	-0.4891560681354644		0.0010332592505946114	0.4403292181069959
DIS3L	-0.4887089585866812		0.0010332592505946114	0.4403292181069959
ABCF3	-0.4875028921209855		0.0010527547081530004	0.4403292181069959
IGFN1	-0.4859733323640043		0.0010722501657113893	0.4403292181069959
OR10AG1	-0.4850315579803263		0.0010722501657113893	0.4403292181069959
WDR5B	-0.4845983984437246		0.0010722501657113893	0.4403292181069959
CDK5RAP3	-0.4816330781175374		0.0011697274535033338	0.4403292181069959
NEO1	-0.4814728569110645		0.0011697274535033338	0.4403292181069959
GTF2H1	-0.48063096410406064		0.0012087183686201116	0.4403292181069959
NNAT	-0.47914980896458137		0.0012477092837368893	0.4403292181069959
DZIP1L	-0.47884584217487197		0.0012477092837368893	0.4403292181069959
ARIH1	-0.4776270038115525		0.0012672047412952783	0.4403292181069959
RNF207	-0.476677087080476		0.001286700198853667	0.4403292181069959
CLIC1	-0.475984350789079		0.001306195656412056	0.4403292181069959
CARD8	-0.47034225249520334		0.0013841774866456115	0.4403292181069959
HSBP1L1	-0.46811054016771303		0.0014621593168791672	0.4403292181069959
RGS9BP	-0.46792459729563474		0.0014621593168791672	0.4403292181069959
C11orf95	-0.46601069577249965		0.001481654774437556	0.4403292181069959
RHOQ	-0.46450659541239536		0.001501150231995945	0.4403292181069959
OR52H1	-0.464147687628045		0.001520645689554334	0.4403292181069959
PHIP	-0.46328193888400626		0.0015401411471127227	0.4403292181069959
OR11H2	-0.4613041420980559		0.0016571138924630561	0.4403292181069959
OR11H12	-0.4613041420980559		0.0016571138924630561	0.4403292181069959
OR11H1	-0.4613041420980559		0.0016571138924630561	0.4403292181069959
ELP5	-0.4612816648370328		0.0016571138924630561	0.4403292181069959
SPDYA	-0.46022996200270944		0.0016961048075798339	0.4403292181069959
RPL26	-0.4592919789437793		0.0016961048075798339	0.4403292181069959
C16orf58	-0.45712967157308887		0.0017740866378133896	0.4403292181069959
SH2D2A	-0.4553292307319585		0.0018910593831637228	0.4403292181069959
WDR92	-0.4546434715571202		0.0019105548407221118	0.4403292181069959
C16orf78	-0.45413481560097163		0.0019300502982805006	0.4403292181069959
MORF4L2	-0.45375057020292386		0.0019495457558388895	0.4403292181069959
TBC1D10A	-0.4523987701866302		0.0019885366709556673	0.4403292181069959
SEC31A	-0.45223585183131637		0.0019885366709556673	0.4403292181069959
ASB18	-0.452099145563461		0.0019885366709556673	0.4403292181069959
NSUN4	-0.4514168248411675		0.002008032128514056	0.4403292181069959
FRMD5	-0.4511573760800592		0.002008032128514056	0.4403292181069959
CLMP	-0.4511140446038074		0.002008032128514056	0.4403292181069959
KRTAP1-1	-0.45064397995731287		0.0020275275860724452	0.4403292181069959
TMTC3	-0.4503214040154315		0.0020275275860724452	0.4403292181069959
RPL10L	-0.45030792921128143		0.0020275275860724452	0.4403292181069959
SFTPA1	-0.4502655964492847		0.002047023043630834	0.4403292181069959
HECTD3	-0.44974624956003745		0.002047023043630834	0.4403292181069959
STAU2	-0.44972779254465656		0.002047023043630834	0.4403292181069959
MAGEB1	-0.44959185446752975		0.0020665185011892228	0.4403292181069959
PURG	-0.4494081058257208		0.002086013958747612	0.4403292181069959
OSM	-0.44936438024738073		0.002086013958747612	0.4403292181069959
PF4V1	-0.44924477739453444		0.0021250048738643895	0.44308943089430886
CNGA4	-0.4484137433491555		0.002202986704097945	0.44808743169398907
KLC1	-0.4462338766829278		0.0023199594494482784	0.44808743169398907
IFIT1B	-0.4453816124366932		0.0023979412796818343	0.44808743169398907
ZC2HC1A	-0.44496531249047955		0.002436932194798612	0.44808743169398907
CXorf40B	-0.44424065859522494		0.0024564276523570006	0.44808743169398907
RPL13AP20	-0.44363586193346466		0.0024954185674737786	0.44808743169398907
FAM120A	-0.44227186567516746		0.0025539049401489453	0.44808743169398907
NSFL1C	-0.4419453380643919		0.0025539049401489453	0.44808743169398907
UBE2Q2P1	-0.4411203096925761		0.002612391312824112	0.44808743169398907
LGALS2	-0.4411103073532793		0.002612391312824112	0.44808743169398907
BTBD3	-0.4403834831056014		0.0026513822279408896	0.44808743169398907
ZNF470	-0.43941689260142114		0.0026513822279408896	0.44808743169398907
TIGD3	-0.43894619086668146		0.0026708776854992788	0.44808743169398907
DCTPP1	-0.43873489396649057		0.0026708776854992788	0.44808743169398907
HRH1	-0.4386653200646888		0.0026708776854992788	0.44808743169398907
LINC01123	-0.4384100607565105		0.0026708776854992788	0.44808743169398907
TRAPPC4	-0.43711090223581794		0.0027488595157328342	0.44808743169398907
FAM192A	-0.43656018654426476		0.002768354973291223	0.44808743169398907
PWP1	-0.43646914467761305		0.002787850430849612	0.44808743169398907
ST8SIA6	-0.43644969487100777		0.002787850430849612	0.44808743169398907
PLEKHA8	-0.43637137390247344		0.002787850430849612	0.44808743169398907
PTPLB	-0.4350920905558339		0.0028853277186415564	0.44808743169398907
SHOC2	-0.43497663956869576		0.002904823176199945	0.44808743169398907
LOR	-0.4349540384371508		0.002904823176199945	0.44808743169398907
VSTM4	-0.4344754122199292		0.002904823176199945	0.44808743169398907
SPANXN1	-0.4332397522392454		0.002963309548875112	0.44808743169398907
VAPA	-0.43281351082083863		0.002963309548875112	0.44808743169398907
UGT1A9	-0.4326715336413478		0.002963309548875112	0.44808743169398907
GPR6	-0.43257840810034404		0.002982805006433501	0.44808743169398907
LAMB2	-0.4318308574276999		0.002982805006433501	0.44808743169398907
RBM15B	-0.4315162848072912		0.002982805006433501	0.44808743169398907
AP1S1	-0.43033025626407256		0.0030607868366670566	0.44808743169398907
NPIPA2	-0.4293200410654526		0.003138768666900612	0.44808743169398907
NPIPA5	-0.4293200410654526		0.003138768666900612	0.44808743169398907
CBLN2	-0.42929040372334076		0.003138768666900612	0.44808743169398907
MCFD2	-0.4290979011843778		0.003138768666900612	0.44808743169398907
GJA9	-0.42897400197104757		0.003138768666900612	0.44808743169398907
ELF3	-0.42885865890429137		0.003197255039575779	0.44808743169398907
TMEM256	-0.42880048067089765		0.003197255039575779	0.44808743169398907
WFDC2	-0.4286970256748228		0.003197255039575779	0.44808743169398907
AKAP14	-0.42652338736863304		0.0032752368698093343	0.45528455284552843
EVI2A	-0.4255444609620095		0.003372714157601279	0.4573643410852713
EID2B	-0.4255180745839997		0.003372714157601279	0.4573643410852713
KANK1	-0.4245563870840938		0.0034312005302764457	0.4573643410852713
TMEM135	-0.42451152913132634		0.0034312005302764457	0.4573643410852713
DTL	-0.42355405064462864		0.0034506959878348345	0.4573643410852713
APCS	-0.4233390445511483		0.0034506959878348345	0.4573643410852713
VPS36	-0.4219921156416964		0.003567668733185168	0.46099290780141844
ITIH6	-0.42070282305418555		0.0036456505634187234	0.46099290780141844
TRABD	-0.4204235881253347		0.0036456505634187234	0.46099290780141844
PELP1	-0.42027016332501227		0.0036456505634187234	0.46099290780141844
BTBD9	-0.4193754779376513		0.0036456505634187234	0.46099290780141844
CIB2	-0.41863962671317423		0.003743127851210668	0.46099290780141844
RORA	-0.41819512458147734		0.003743127851210668	0.46099290780141844
HDLBP	-0.41803867142972384		0.0037821187663274456	0.46099290780141844
PPARD	-0.4165393507486326		0.0038016142238858344	0.46099290780141844
MYH11	-0.41646809737256996		0.0038016142238858344	0.46099290780141844
SNUPN	-0.4164386666137991		0.0038016142238858344	0.46099290780141844
YTHDC2	-0.4158726943061329		0.0038016142238858344	0.46099290780141844
ZNF408	-0.415279927798		0.0038795960541193903	0.46386946386946387
CCL5	-0.41521655738232316		0.0038795960541193903	0.46386946386946387
GDAP2	-0.41442929419060187		0.003957577884352945	0.4666666666666666
LRRC41	-0.4138998978094404		0.003957577884352945	0.4666666666666666
KRBA1	-0.4124635854396398		0.0040550551721448905	0.4714912280701754
PPP6R2	-0.41155645694024445		0.0041330370023784455	0.4714912280701754
MGME1	-0.41138571349851794		0.0041330370023784455	0.4714912280701754
TP53	-0.4112054044020623		0.0041330370023784455	0.4714912280701754
ARPC5L	-0.4110919214588758		0.004152532459936835	0.4714912280701754
LRRC3	-0.4104539481878641		0.004191523375053612	0.4714912280701754
TMEM128	-0.41041666100025415		0.004191523375053612	0.4714912280701754
PSMA2	-0.4100245614141416		0.004230514290170391	0.47276688453159044
MYL12A	-0.40968889469428277		0.004269505205287168	0.4731182795698925
MIS18A	-0.4090615550315549		0.004289000662845557	0.4731182795698925
CATSPERG	-0.4088511627743725		0.004347487035520724	0.4764957264957265
CCT8L2	-0.4085078245956616		0.00440597340819589	0.47679324894514763
KIF25	-0.40832723236837737		0.00440597340819589	0.47679324894514763
SMCO2	-0.40666848377026665		0.004522946153546223	0.4773175542406312
PEX7	-0.4063180087872132		0.004542441611104613	0.4773175542406312
CYP2S1	-0.40591787122715217		0.00458143252622139	0.4773175542406312
GLYAT	-0.4053770063387927		0.00458143252622139	0.4773175542406312
OXNAD1	-0.4051606484843878		0.00458143252622139	0.4773175542406312
ACOX1	-0.4050808245072644		0.004600927983779779	0.4773175542406312
CTSH	-0.40487683254816403		0.0046204234413381685	0.4773175542406312
FAM157C	-0.40482249790583513		0.004659414356454946	0.4773175542406312
CAMK2D	-0.40422508941388585		0.0046984052715717236	0.4773175542406312
C9orf131	-0.4040686122416169		0.0046984052715717236	0.4773175542406312
C1orf204	-0.40392616445110496		0.004717900729130113	0.4773175542406312
FAM76A	-0.40243890226078427		0.004912855304714001	0.49042145593869735
CSTF2	-0.4019782596883102		0.004990837134947557	0.49042145593869735
NAT8B	-0.40187901915703356		0.004990837134947557	0.49042145593869735
SUN1	-0.401799893599572		0.004990837134947557	0.49042145593869735
WASH2P	-0.4015500528830574		0.004990837134947557	0.49042145593869735
ZNF511	-0.4007294847812606		0.005146800795414668	0.4947089947089947
ITLN1	-0.40059974502392		0.005166296252973057	0.4947089947089947
RTN4	-0.4004874924468692		0.0051857917105314465	0.4947089947089947
CCDC62	-0.3993270073212513		0.005283268998323391	0.4947089947089947
RQCD1	-0.39910159729935407		0.005302764455881779	0.4947089947089947
TPSG1	-0.39898244678983047		0.0053417553709985575	0.4947089947089947
VWA5B2	-0.3988919563318579		0.005380746286115335	0.4947089947089947
PIEZO1	-0.39878126863004787		0.0054197372012321126	0.4947089947089947
NUP43	-0.3986703059478808		0.0054197372012321126	0.4947089947089947
SLC39A9	-0.3986204627655737		0.0054197372012321126	0.4947089947089947
TBC1D31	-0.39837105910738396		0.0054977190314656685	0.4947089947089947
CERS3	-0.39836435969241063		0.0054977190314656685	0.4947089947089947
KLHDC8A	-0.39802306801190496		0.005556205404140835	0.4947089947089947
GPNMB	-0.3979636749620383		0.005556205404140835	0.4947089947089947
TMEM35	-0.39753353153301074		0.005595196319257613	0.4947089947089947
NAV1	-0.3970050389654956		0.0056536826919327795	0.4947089947089947
C7orf55	-0.39668555901770497		0.005712169064607946	0.4947089947089947
SPOPL	-0.39666317503981624		0.005712169064607946	0.4947089947089947
ARMC3	-0.3960689137337916		0.005751159979724725	0.4947089947089947
STC1	-0.39556099267506667		0.005770655437283113	0.4947089947089947
GOT1L1	-0.3954367021879167		0.005790150894841502	0.4947089947089947
CCDC42	-0.39491766409684115		0.005868132725075057	0.4947089947089947
SOSTDC1	-0.39454547144362667		0.005887628182633446	0.4947089947089947
TBC1D21	-0.39452955942725343		0.005887628182633446	0.4947089947089947
UBR3	-0.39437492046392825		0.0059071236401918355	0.4947089947089947
WDR73	-0.3942629237470793		0.005926619097750224	0.4947089947089947
APOL1	-0.39363418671057293		0.005965610012867002	0.4947089947089947
ACTR2	-0.39338997145474847		0.005985105470425391	0.4947089947089947
