Name	Score	0.95 MoE	p-value	FDR
FAM3C	0.7095296207987796	0.012941281379598829	7.599072913104601e-06	0.002070393374741201
DAPP1	0.7036418216011651	0.030967275308188758	7.599072913104601e-06	0.002070393374741201
TACSTD2	0.6996622888096702	0.022809681792792594	7.599072913104601e-06	0.002070393374741201
GPR87	0.678450522104668	0.041429727253377936	7.599072913104601e-06	0.002070393374741201
PTAFR	0.643401628203733	0.06396857983991582	7.599072913104601e-06	0.002070393374741201
LAMB3	0.6411478543668683	0.04229653800760966	7.599072913104601e-06	0.002070393374741201
HLA-P	0.6411456875675805	0.04472145723918266	7.599072913104601e-06	0.002070393374741201
TGFA	0.6320943598042705	0.07107625622451604	7.599072913104601e-06	0.002070393374741201
CST6	0.6316029592503881	0.019343422142482462	7.599072913104601e-06	0.002070393374741201
GPR110	0.6271162681116806	0.028316650162002126	7.599072913104601e-06	0.002070393374741201
KRT7	0.6234695435663078	0.09223828305739265	7.599072913104601e-06	0.002070393374741201
FAM3C2	0.6185260567608267	0.04711281046750961	7.599072913104601e-06	0.002070393374741201
RP3-416H24.1	0.617886281385272	0.09063086944372321	7.599072913104601e-06	0.002070393374741201
TNFRSF21	0.6168846635037575	0.025823192658102893	7.599072913104601e-06	0.002070393374741201
PRSS22	0.6061686912174239	0.018019026791271833	7.599072913104601e-06	0.002070393374741201
RP5-998N21.4	0.6042915375715286	0.048503432534784556	7.599072913104601e-06	0.002070393374741201
INSIG2	0.6038638338971267	0.014311198589346858	7.599072913104601e-06	0.002070393374741201
KRT19	0.6035663423345068	0.035387363524568255	7.599072913104601e-06	0.002070393374741201
LAMC2	0.6024051209546277	0.00637186514473328	7.599072913104601e-06	0.002070393374741201
RASA1	0.6001401816678963	0.058097260069279656	7.599072913104601e-06	0.002070393374741201
MICE	0.5985170136653906		7.599072913104601e-06	0.002070393374741201
IKZF2	0.5962947365119134		7.599072913104601e-06	0.002070393374741201
LAMA3	0.595352460322303		7.599072913104601e-06	0.002070393374741201
INPP4B	0.5945333377612008		7.599072913104601e-06	0.002070393374741201
RP11-6F2.6	0.591225899111285		7.599072913104601e-06	0.002070393374741201
SCEL	0.5886666314857583		7.599072913104601e-06	0.002070393374741201
CAB39	0.5885596353054023		7.599072913104601e-06	0.002070393374741201
CLDN9	0.5877448417198802		7.599072913104601e-06	0.002070393374741201
RP11-6F2.5	0.5863934506224894		7.599072913104601e-06	0.002070393374741201
PRKCH	0.5841017166307755		7.599072913104601e-06	0.002070393374741201
FAM83A	0.5834053504439645		7.599072913104601e-06	0.002070393374741201
HS3ST1	0.5821287384561391		7.599072913104601e-06	0.002070393374741201
ARHGDIB	0.5815676380651459		7.599072913104601e-06	0.002070393374741201
P2RY2	0.5814261371094358		7.599072913104601e-06	0.002070393374741201
SH2D3A	0.5806052932189737		7.599072913104601e-06	0.002070393374741201
CAPN1	0.580549473970812		7.599072913104601e-06	0.002070393374741201
LRRC8A	0.5800246547342685		7.599072913104601e-06	0.002070393374741201
XDH	0.5795772341717875		7.599072913104601e-06	0.002070393374741201
FER1L4	0.5792908707880426		7.599072913104601e-06	0.002070393374741201
C1orf116	0.5792743031115283		7.599072913104601e-06	0.002070393374741201
ABLIM3	0.5772547384880379		7.599072913104601e-06	0.002070393374741201
MPZL2	0.5710061294687837		7.599072913104601e-06	0.002070393374741201
NPEPPS	0.5698768547575627		7.599072913104601e-06	0.002070393374741201
TINAGL1	0.5695535700276271		7.599072913104601e-06	0.002070393374741201
MUC4	0.5643502368433942		7.599072913104601e-06	0.002070393374741201
RP11-524D16__A.3	0.5633570170141432		7.599072913104601e-06	0.002070393374741201
RHOD	0.5629129480168626		7.599072913104601e-06	0.002070393374741201
GALNT3	0.5628877448532491		7.599072913104601e-06	0.002070393374741201
RP11-539E17.4	0.5617748349605648		7.599072913104601e-06	0.002070393374741201
FUT8	0.5612949437741218		7.599072913104601e-06	0.002070393374741201
SAMD9	0.5573846653711881		7.599072913104601e-06	0.002070393374741201
DDX60L	0.5573612497652479		7.599072913104601e-06	0.002070393374741201
F11R	0.5559300629962763		7.599072913104601e-06	0.002070393374741201
SDC4	0.5558062362758359		7.599072913104601e-06	0.002070393374741201
ITGB6	0.555550445489735		7.599072913104601e-06	0.002070393374741201
TAGAP	0.5524870391188502		7.599072913104601e-06	0.002070393374741201
F3	0.5516657527195115		7.599072913104601e-06	0.002070393374741201
MAL2	0.549874896641948		7.599072913104601e-06	0.002070393374741201
STYK1	0.5494246992702042		7.599072913104601e-06	0.002070393374741201
PLSCR1	0.5451011304012426		7.599072913104601e-06	0.002070393374741201
CD274	0.5450166438629404		7.599072913104601e-06	0.002070393374741201
SVIL	0.5441183557884914		7.599072913104601e-06	0.002070393374741201
AP001007.1	0.5439388859505314		7.599072913104601e-06	0.002070393374741201
PPL	0.543000266028441		7.599072913104601e-06	0.002070393374741201
GPR115	0.5423825513416367		7.599072913104601e-06	0.002070393374741201
RP11-439A17.9	0.5422770601207038		7.599072913104601e-06	0.002070393374741201
NTN4	0.5413708211093213		7.599072913104601e-06	0.002070393374741201
HLA-F-AS1	0.5405418036243522		7.599072913104601e-06	0.002070393374741201
CYB561	0.5404797103621929		7.599072913104601e-06	0.002070393374741201
STEAP4	0.5392360080254021		7.599072913104601e-06	0.002070393374741201
AC012613.2	0.5389966830968373		7.599072913104601e-06	0.002070393374741201
SPINT2	0.5355854570164024		7.599072913104601e-06	0.002070393374741201
DHRS3	0.5338496486245214		7.599072913104601e-06	0.002070393374741201
BAIAP2	0.53377449684291		7.599072913104601e-06	0.002070393374741201
TTYH1	0.5320263633389631		7.599072913104601e-06	0.002070393374741201
C8orf73	0.5305545618869663		7.599072913104601e-06	0.002070393374741201
SRPX2	0.5305287305557196		7.599072913104601e-06	0.002070393374741201
TMEM154	0.5291935596867571		7.599072913104601e-06	0.002070393374741201
C12orf70	0.5285089553082928		7.599072913104601e-06	0.002070393374741201
ALS2CL	0.527149645309125		7.599072913104601e-06	0.002070393374741201
AC003991.3	0.5263559438991176		7.599072913104601e-06	0.002070393374741201
AC009237.11	0.524781925236633		7.599072913104601e-06	0.002070393374741201
DAAM1	0.5240416381577285		7.599072913104601e-06	0.002070393374741201
RP11-1407O15.2	0.5232594963836956		7.599072913104601e-06	0.002070393374741201
BTC	0.5230790086805814		7.599072913104601e-06	0.002070393374741201
SCEL-AS1	0.5219422216194299		7.599072913104601e-06	0.002070393374741201
FGD6	0.521200187174933		7.599072913104601e-06	0.002070393374741201
GJB3	0.5205087954267975		7.599072913104601e-06	0.002070393374741201
FBXO32	0.5201916798561911		7.599072913104601e-06	0.002070393374741201
CCL22	0.5198490414330666		7.599072913104601e-06	0.002070393374741201
ADAM8	0.5198161105618414		7.599072913104601e-06	0.002070393374741201
