Name	Score	0.95 MoE	p-value	FDR
austocystin D	-0.5785732925605584	0.06546898944830608	0.001386001386001386	0.13888888888888887
PF-4800567 hydrochloride	-0.5614657482632702	0.2647794109867117	0.001386001386001386	0.13888888888888887
GSK-J4	-0.5233438274199234	0.48896782856952237	0.001386001386001386	0.13888888888888887
ibrutinib	-0.4459639699445912	0.15966263121718813	0.002772002772002772	0.13888888888888887
nutlin-3	-0.43102177827562815	0.136484365947781	0.002772002772002772	0.13888888888888887
tivantinib	-0.43076282637598895	0.04440175628804057	0.002772002772002772	0.13888888888888887
cediranib	-0.4294992142250662	0.2597941934124453	0.003465003465003465	0.13888888888888887
tipifarnib-P2	-0.4213897529326621	0.05609334342092381	0.004851004851004851	0.13888888888888887
BRD-K24690302	-0.4140586063277933	0.04783599000250807	0.004851004851004851	0.13888888888888887
CIL55	-0.4109313356406552	0.05082823066419455	0.004851004851004851	0.13888888888888887
RITA	-0.4068042984956456	0.0751619667377743	0.004851004851004851	0.13888888888888887
BRD-K27224038	-0.3977574437462345	0.3848326297682449	0.004851004851004851	0.13888888888888887
afatinib	-0.3958551315569814	0.09316472700816898	0.004851004851004851	0.13888888888888887
fluorouracil	-0.3916130544167797	0.05119416509810406	0.005544005544005544	0.13888888888888887
16-beta-bromoandrosterone	-0.39076717442110437	0.04737423248840913	0.005544005544005544	0.13888888888888887
GSK461364	-0.38789859779208485	0.08868476062753335	0.005544005544005544	0.13888888888888887
SB-743921	-0.38654674368830505	0.06853806842300558	0.006237006237006237	0.13888888888888887
CBB-1007	-0.3859983231263439	0.29203121074804766	0.006237006237006237	0.13888888888888887
FQI-1	-0.38359614594937813	0.02717048859908283	0.00693000693000693	0.13888888888888887
lomeguatrib	-0.37923743194962517	0.11205418408849364	0.00693000693000693	0.13888888888888887
BRD-A94377914	-0.37478329321601694		0.00693000693000693	0.13888888888888887
selumetinib	-0.37426946278191503		0.00693000693000693	0.13888888888888887
cimetidine	-0.3699746630068857		0.00693000693000693	0.13888888888888887
LBH-589	-0.36866070635972964		0.00693000693000693	0.13888888888888887
L-685458	-0.3647262081803897		0.009009009009009009	0.14767932489451477
fingolimod	-0.3600013628773812		0.009702009702009701	0.14767932489451477
Compound 23 citrate	-0.35593234105609983		0.010395010395010396	0.14767932489451477
indisulam	-0.35230613817811707		0.011088011088011088	0.14767932489451477
BRD-K90370028	-0.3508226238198302		0.011088011088011088	0.14767932489451477
XL765	-0.3504060666278738		0.011088011088011088	0.14767932489451477
bafilomycin A1	-0.3450907598503831		0.013167013167013167	0.14767932489451477
narciclasine	-0.34439004951632685		0.01386001386001386	0.14767932489451477
LRRK2-IN-1	-0.34264442318248317		0.01386001386001386	0.14767932489451477
