Name	Score	0.95 MoE	p-value	FDR
PEA15_pS116-R-V	0.3575098910291666	0.09542422350019437	0.002886002886002886	0.3333333333333333
c-Kit-R-V	0.3298395731444705	0.0288546461936998	0.004329004329004329	0.3333333333333333
CDK1-R-V	0.32114872537706973	0.34362416487394726	0.007215007215007215	0.3333333333333333
Akt_pT308-R-V	0.31803136695439976	0.02666384828323498	0.007215007215007215	0.3333333333333333
PRAS40_pT246-R-V	0.30670445256025186	0.024348835291310038	0.007215007215007215	0.3333333333333333
AR-R-V	0.29885192316981235	0.2551551529667996	0.010101010101010102	0.3333333333333333
Akt_pS473-R-V	0.2892784814215985	0.031713140866863714	0.012987012987012988	0.3333333333333333
G6PD-M-V	0.2871655797806274	0.28827772186438705	0.012987012987012988	0.3333333333333333
eIF4G-R-C	0.2856832570381441	0.028075019949906715	0.012987012987012988	0.3333333333333333
NF2-R-C	0.27886399823132074	0.06887825109096575	0.01443001443001443	0.3333333333333333
DJ-1-R-V	0.27205107265904804	0.09787646887716124	0.021645021645021644	0.3333333333333333
Bak-R-C	0.2713027098023004	0.052985237829997346	0.021645021645021644	0.3333333333333333
IGFBP2-R-V	0.27069371333797254	0.25846055750482844	0.021645021645021644	0.3333333333333333
4E-BP1_pT70-R-V	0.26795359377189	0.0636576386309552	0.023088023088023088	0.3333333333333333
ER-alpha_pS118-R-V	0.26321380448169235	0.02085926824520014	0.025974025974025976	0.3333333333333333
Heregulin-R-V	0.26250462836102245	0.07720568721418106	0.025974025974025976	0.3333333333333333
Prohibitin-R-E	0.2590682190365315	0.033518622445986176	0.025974025974025976	0.3333333333333333
S6-R-E	0.2556666047960428	0.013594153827361727	0.027417027417027416	0.3333333333333333
p27-R-V	0.2552841592911567	0.2313837261226439	0.027417027417027416	0.3333333333333333
4E-BP1-R-V	0.2520164262801014	0.16238739033549918	0.031746031746031744	0.36666666666666664
ASNS-R-V	0.24206570716093292		0.03607503607503607	0.3787878787878788
AMPK_alpha-R-C	0.2414495244357913		0.03607503607503607	0.3787878787878788
PRDX1-R-V	0.23061180844973217		0.046176046176046176	0.44
Rictor_pT1135-R-V	0.22981537975298788		0.047619047619047616	0.44
beta-Catenin_pT41_S45-R-E	0.22980962630872365		0.047619047619047616	0.44
JAK2-R-E	0.22613929114413894		0.050505050505050504	0.4487179487179487
S6_pS240_S244-R-V	0.22482499616011295		0.05772005772005772	0.4901960784313725
Histone H2A-R-E	0.22425002737226718		0.06060606060606061	0.4901960784313725
p70S6K-R-V	0.22139469111636195		0.06349206349206349	0.4901960784313725
Raptor-R-V	0.2171131975564999		0.06637806637806638	0.4901960784313725
MEK2(13E3)-R-E	0.21568925549752757		0.06926406926406926	0.4901960784313725
