Name	Score	0.95 CI	p-value	FDR
FOXA1	-0.6038097221467824	0.016898634829888768	1.1697274535033338e-06	0.0003225806451612903
KDM1A	-0.5311568261412736	0.02032129485381732	1.1697274535033338e-06	0.0003225806451612903
MYBL2	-0.5228283896960522	0.016257759643973656	1.1697274535033338e-06	0.0003225806451612903
PRSS3P2	-0.5160974810422763	0.014331094543759668	1.1697274535033338e-06	0.0003225806451612903
ADSL	-0.5066575793878025	0.021124469891127536	1.1697274535033338e-06	0.0003225806451612903
SRRM1	-0.5011819399805651	0.01737638222848828	1.1697274535033338e-06	0.0003225806451612903
COPS8	-0.5006572650552885	0.018400007853973433	1.1697274535033338e-06	0.0003225806451612903
SPC25	-0.4977838643280083	0.01808566729689376	1.1697274535033338e-06	0.0003225806451612903
GRPEL1	-0.4930345602594538	0.01798386996654412	1.1697274535033338e-06	0.0003225806451612903
NUP93	-0.4829708677839689	0.01773857545095734	1.1697274535033338e-06	0.0003225806451612903
PIK3CA	-0.48288158229238565	0.02114389055226543	1.1697274535033338e-06	0.0003225806451612903
TFAP2C	-0.48230592859280064	0.01931154392107593	1.1697274535033338e-06	0.0003225806451612903
CLTC	-0.47604971096906296	0.01764080647379069	1.1697274535033338e-06	0.0003225806451612903
NUP43	-0.4738423006046941	0.014945801894059425	1.1697274535033338e-06	0.0003225806451612903
HNRNPM	-0.47342404760288703	0.018609342196890474	1.1697274535033338e-06	0.0003225806451612903
SPDEF	-0.47228750656375046	0.018843748667273712	1.1697274535033338e-06	0.0003225806451612903
NSMCE1	-0.4721209879270296	0.016915060156480453	1.1697274535033338e-06	0.0003225806451612903
NARS2	-0.4716432918065744	0.0197683360789235	1.1697274535033338e-06	0.0003225806451612903
ESR1	-0.4693890160703398	0.025890354976368875	1.1697274535033338e-06	0.0003225806451612903
ZNF652	-0.4691424896679279	0.08386700672733288	1.1697274535033338e-06	0.0003225806451612903
NDUFA11	-0.4676788654287192		1.1697274535033338e-06	0.0003225806451612903
MED12	-0.4660624988285655		1.1697274535033338e-06	0.0003225806451612903
RAB6A	-0.4658241517376882		1.1697274535033338e-06	0.0003225806451612903
DLG5	-0.46534522205329365		1.1697274535033338e-06	0.0003225806451612903
MRPS31	-0.46481288077953137		1.1697274535033338e-06	0.0003225806451612903
CACFD1	-0.461085179751296		1.1697274535033338e-06	0.0003225806451612903
DCAKD	-0.4592421817939277		1.1697274535033338e-06	0.0003225806451612903
GATA3	-0.4575424480132411		1.1697274535033338e-06	0.0003225806451612903
TRRAP	-0.45724103285368545		1.1697274535033338e-06	0.0003225806451612903
CCM2	-0.4571951116675017		1.1697274535033338e-06	0.0003225806451612903
DIMT1	-0.45691569477308236		1.1697274535033338e-06	0.0003225806451612903
RAD21	-0.456860581341996		1.1697274535033338e-06	0.0003225806451612903
COX11	-0.4527353228899285		1.1697274535033338e-06	0.0003225806451612903
COPZ1	-0.4502000123447734		1.1697274535033338e-06	0.0003225806451612903
FOSL1	-0.4499882128781493		1.1697274535033338e-06	0.0003225806451612903
SEMA7A	-0.44989662596521557		1.1697274535033338e-06	0.0003225806451612903
ATP5J2	-0.4484357771810626		1.1697274535033338e-06	0.0003225806451612903
SPC24	-0.4481531629101886		1.1697274535033338e-06	0.0003225806451612903
RPA2	-0.4480554867414419		1.1697274535033338e-06	0.0003225806451612903
RCOR2	-0.4476927110982306		1.1697274535033338e-06	0.0003225806451612903
MRPS5	-0.44741626638630616		1.1697274535033338e-06	0.0003225806451612903
CDC37	-0.446684439082359		1.1697274535033338e-06	0.0003225806451612903
SMC3	-0.44578976500781514		1.1697274535033338e-06	0.0003225806451612903
MYL12A	-0.44529877980762705		1.1697274535033338e-06	0.0003225806451612903
GRHL2	-0.4441448770685654		1.1697274535033338e-06	0.0003225806451612903
SDHA	-0.44325500680612145		1.1697274535033338e-06	0.0003225806451612903
SAMD4B	-0.4411219923726164		1.1697274535033338e-06	0.0003225806451612903
WDR26	-0.4405687957693005		1.1697274535033338e-06	0.0003225806451612903
PRKCZ	-0.43957063861275675		1.1697274535033338e-06	0.0003225806451612903
RPL5	-0.4385002757197073		1.1697274535033338e-06	0.0003225806451612903
ELAC2	-0.4377254065123077		1.1697274535033338e-06	0.0003225806451612903
H1FNT	-0.4355035243801648		1.1697274535033338e-06	0.0003225806451612903
SF3B1	-0.4352408278387215		1.1697274535033338e-06	0.0003225806451612903
RPAP1	-0.4337682057530642		1.1697274535033338e-06	0.0003225806451612903
PTPN23	-0.43192683927155084		1.1697274535033338e-06	0.0003225806451612903
COPS6	-0.4317722314699453		1.1697274535033338e-06	0.0003225806451612903
MRPS22	-0.43056427922060897		1.1697274535033338e-06	0.0003225806451612903
SSBP1	-0.42908696173984645		1.1697274535033338e-06	0.0003225806451612903
NUF2	-0.42844118870392583		1.1697274535033338e-06	0.0003225806451612903
PSMD6	-0.4280274284401247		1.1697274535033338e-06	0.0003225806451612903
POLD1	-0.4271020104156604		1.1697274535033338e-06	0.0003225806451612903
MYH10	-0.4268278815729774		1.1697274535033338e-06	0.0003225806451612903
UBL5	-0.42557833767028197		2.3394549070066676e-06	0.0004395604395604396
RBM47	-0.42446858367975304		2.3394549070066676e-06	0.0004395604395604396
CD6	-0.4235313338325307		2.3394549070066676e-06	0.0004395604395604396
PPP1R15B	-0.4234941791685369		2.3394549070066676e-06	0.0004395604395604396
ATP5J2-PTCD1	-0.42338839928083877		2.3394549070066676e-06	0.0004395604395604396
SRSF3	-0.42126518555914266		2.3394549070066676e-06	0.0004395604395604396
TIMM50	-0.42096107878539624		2.3394549070066676e-06	0.0004395604395604396
CCNA2	-0.4208330066619664		2.3394549070066676e-06	0.0004395604395604396
AKT1	-0.4203782688384308		2.3394549070066676e-06	0.0004395604395604396
ARIH1	-0.4202127304057185		2.3394549070066676e-06	0.0004395604395604396
UQCRB	-0.41952879851475855		2.3394549070066676e-06	0.0004395604395604396
ATP5I	-0.4185051192303049		2.3394549070066676e-06	0.0004395604395604396
IQCC	-0.41829216822117804		2.3394549070066676e-06	0.0004395604395604396
PSMB6	-0.41752106438093256		2.3394549070066676e-06	0.0004395604395604396
MTSS1L	-0.41694248091431857		2.3394549070066676e-06	0.0004395604395604396
HAUS6	-0.4153029778041301		2.3394549070066676e-06	0.0004395604395604396
HSPA9	-0.4149279500979452		2.3394549070066676e-06	0.0004395604395604396
COMMD1	-0.41407577587044503		2.3394549070066676e-06	0.0004395604395604396
HDGFL1	-0.41384613663443703		2.3394549070066676e-06	0.0004395604395604396
ANKRD17	-0.4130760408386477		2.3394549070066676e-06	0.0004395604395604396
FBXO5	-0.4126573820624636		2.3394549070066676e-06	0.0004395604395604396
POLR2A	-0.41246085774150165		2.3394549070066676e-06	0.0004395604395604396
XRCC6	-0.41223074577545626		2.3394549070066676e-06	0.0004395604395604396
BIRC6	-0.41206006255517175		2.3394549070066676e-06	0.0004395604395604396
SMC2	-0.41130384558664224		2.3394549070066676e-06	0.0004395604395604396
PCNA	-0.41077957641843177		2.3394549070066676e-06	0.0004395604395604396
CENPC	-0.41064918793914074		2.3394549070066676e-06	0.0004395604395604396
PNPT1	-0.41059642322864176		2.3394549070066676e-06	0.0004395604395604396
SLC3A2	-0.4102936860298092		2.3394549070066676e-06	0.0004395604395604396
NDUFS7	-0.4102532060854612		3.5091823605100013e-06	0.0006060606060606061
RPL12	-0.41017336918426284		3.5091823605100013e-06	0.0006060606060606061
AZIN1	-0.40928867854622475		3.5091823605100013e-06	0.0006060606060606061
BCLAF1	-0.40882821754174953		3.5091823605100013e-06	0.0006060606060606061
ERBB3	-0.4085913009110733		3.5091823605100013e-06	0.0006060606060606061
MRPS28	-0.40850291265157873		3.5091823605100013e-06	0.0006060606060606061
SFPQ	-0.40837196403885423		3.5091823605100013e-06	0.0006060606060606061
POLR2C	-0.40770021137154894		3.5091823605100013e-06	0.0006060606060606061
DYNC1H1	-0.4071553516394241		4.678909814013335e-06	0.0007547169811320754
SLC25A3	-0.40684368412202127		4.678909814013335e-06	0.0007547169811320754
KMT2D	-0.40649050692995603		4.678909814013335e-06	0.0007547169811320754
POLR2D	-0.40617453838136514		4.678909814013335e-06	0.0007547169811320754
ATP6V1G2-DDX39B	-0.4056262813593953		4.678909814013335e-06	0.0007547169811320754
GBF1	-0.40558802050547105		4.678909814013335e-06	0.0007547169811320754
UXT	-0.4052213863754363		4.678909814013335e-06	0.0007547169811320754
NEDD8	-0.40512261569944913		5.848637267516669e-06	0.0008849557522123895
FOXB1	-0.4047074749973415		5.848637267516669e-06	0.0008849557522123895
POLA1	-0.4046643641591699		5.848637267516669e-06	0.0008849557522123895
RPS18	-0.40433460496690726		5.848637267516669e-06	0.0008849557522123895
UGCG	-0.4038403154485502		5.848637267516669e-06	0.0008849557522123895
PFAS	-0.4030951644805553		5.848637267516669e-06	0.0008849557522123895
ALYREF	-0.40283477770325365		5.848637267516669e-06	0.0008849557522123895
RGS19	-0.40237334887188153		7.0183647210200025e-06	0.001
EIF2B4	-0.4022871954239411		7.0183647210200025e-06	0.001
NUS1	-0.40217501256531607		7.0183647210200025e-06	0.001
PTMA	-0.40184030976613433		7.0183647210200025e-06	0.001
GTF3C6	-0.401777171461057		7.0183647210200025e-06	0.001
NDUFV1	-0.40168294944156585		7.0183647210200025e-06	0.001
RPS15	-0.4013247825377963		7.0183647210200025e-06	0.001
VPS36	-0.4006410234711951		8.188092174523336e-06	0.0011382113821138211
RPL24	-0.4005761683662549		8.188092174523336e-06	0.0011382113821138211
GTF2F1	-0.39991010497074736		8.188092174523336e-06	0.0011382113821138211
CWC22	-0.39921219131937286		1.0527547081530003e-05	0.0014516129032258063
MRPL22	-0.3983036510232818		1.1697274535033338e-05	0.0015873015873015873
MYL12B	-0.39747150800855635		1.1697274535033338e-05	0.0015873015873015873
CORO7-PAM16	-0.3972341334962309		1.286700198853667e-05	0.0017054263565891472
PAM16	-0.3972341334962309		1.286700198853667e-05	0.0017054263565891472
TBX3	-0.39723159421354765		1.286700198853667e-05	0.0017054263565891472
PSMC4	-0.3965400066956352		1.4036729442040005e-05	0.0018320610687022902
PRPF39	-0.3960380001884343		1.4036729442040005e-05	0.0018320610687022902
RHEB	-0.3957238155465453		1.5206456895543338e-05	0.0018571428571428571
TP53I13	-0.3949859268239169		1.5206456895543338e-05	0.0018571428571428571
POLR2E	-0.39492551266379705		1.5206456895543338e-05	0.0018571428571428571
CDC5L	-0.39484768452501295		1.5206456895543338e-05	0.0018571428571428571
HMGB3P1	-0.3948171311757367		1.5206456895543338e-05	0.0018571428571428571
BIRC5	-0.3945641846037388		1.5206456895543338e-05	0.0018571428571428571
VPS18	-0.3942965360608457		1.5206456895543338e-05	0.0018571428571428571
PARP3	-0.39425539702737195		1.5206456895543338e-05	0.0018571428571428571
HMX3	-0.3940646180699548		1.5206456895543338e-05	0.0018571428571428571
NAA35	-0.3937340332547324		1.6376184349046672e-05	0.001948051948051948
UQCRC1	-0.393546817785602		1.7545911802550007e-05	0.001948051948051948
ATP6V0D1	-0.39323236118608396		1.7545911802550007e-05	0.001948051948051948
BUB1B	-0.3932279753356937		1.7545911802550007e-05	0.001948051948051948
EIF2B3	-0.3929044185681505		1.7545911802550007e-05	0.001948051948051948
ZBTB7B	-0.3928682913954406		1.7545911802550007e-05	0.001948051948051948
RPSA	-0.3926459244188317		1.7545911802550007e-05	0.001948051948051948
SOD2	-0.39244379687770153		1.7545911802550007e-05	0.001948051948051948
GTF2E2	-0.3919742796808312		1.7545911802550007e-05	0.001948051948051948
MRPS11	-0.39161793705907294		1.7545911802550007e-05	0.001948051948051948
POLR2B	-0.39132761245399306		1.7545911802550007e-05	0.001948051948051948
ERH	-0.39116869221809014		1.7545911802550007e-05	0.001948051948051948
SKA3	-0.39111308733370803		1.7545911802550007e-05	0.001948051948051948
ATP5O	-0.391106973601512		1.7545911802550007e-05	0.001948051948051948
SCAP	-0.38976821104931636		1.9885366709556672e-05	0.002193548387096774
FAF2	-0.38946982974838557		2.1055094163060007e-05	0.0022929936305732482
NDUFA9	-0.38943276188926257		2.1055094163060007e-05	0.0022929936305732482
