Name	Score	0.95 CI	p-value	FDR
CIL55	-0.5947812013664333	0.1425021056048287	0.0004158004158004158	0.2
linsitinib	-0.5561523561465402	0.027781832633929502	0.002079002079002079	0.3
sotrastaurin	-0.5481214519601172	0.06494661794924793	0.002453222453222453	0.3
BRD-K42260513	-0.5466248594358062	0.1381781446340101	0.002494802494802495	0.3
BRD-K88742110	-0.538329848739672	0.16301376959033267	0.0032016632016632018	0.308
Repligen 136	-0.5172859182613903	0.09158973916582669	0.006652806652806653	0.45714285714285713
bafilomycin A1	-0.5171988125370263	0.05780418033724402	0.006652806652806653	0.45714285714285713
PD318088	-0.4995775045861692	0.017880228561731982	0.011143451143451144	0.4593333333333333
BMS-195614	-0.48894436038782224	0.10852618565703287	0.014261954261954262	0.4593333333333333
CBB-1007	-0.4866405336071294	0.12915266115378524	0.015135135135135135	0.4593333333333333
necrostatin-7	-0.4865812621819101	0.05463133822710648	0.015218295218295218	0.4593333333333333
BRD-K24690302	-0.4830022689209076	0.16111618332469846	0.016590436590436592	0.4593333333333333
PF-4800567 hydrochloride	-0.48036598739407027	0.14626180962412694	0.01792099792099792	0.4593333333333333
selumetinib	-0.47491452413437657	0.016662279050493077	0.02108108108108108	0.4593333333333333
BRD-K02251932	-0.4747035603709302	0.10917512468459954	0.021205821205821207	0.4593333333333333
BRD-K26531177	-0.47410567864558356	0.09652732456685692	0.021787941787941786	0.4593333333333333
BRD-K41597374	-0.47210433105865585	0.011357361161748914	0.02340956340956341	0.4593333333333333
skepinone-L	-0.4715736090775853	0.1447454732617145	0.023866943866943865	0.4593333333333333
BRD-K13999467	-0.47089086418055753	0.14447840441561538	0.024365904365904367	0.4593333333333333
MLN2480	-0.4691787897541437	0.08582237143911722	0.025363825363825365	0.4593333333333333
Compound 23 citrate	-0.4685023709192788		0.025738045738045737	0.4593333333333333
tamoxifen	-0.4684776962600786		0.025738045738045737	0.4593333333333333
austocystin D	-0.46758698038141777		0.02627858627858628	0.4593333333333333
BRD-K52037352	-0.4670052740758403		0.026611226611226613	0.4593333333333333
trametinib	-0.46638266748405355		0.026985446985446984	0.4593333333333333
968	-0.46629699205964004		0.02706860706860707	0.4593333333333333
BRD-K19103580	-0.46579180583062585		0.027234927234927236	0.4593333333333333
BRD-K90370028	-0.4646567052385663		0.027692307692307693	0.4593333333333333
RO4929097	-0.46388699518136745		0.028482328482328484	0.4593333333333333
PD 153035	-0.46381477429283496		0.028648648648648647	0.4593333333333333
SB-431542	-0.4594842250664257		0.032141372141372145	0.4975757575757575
procarbazine	-0.4573243993222807		0.034137214137214135	0.4975757575757575
QS-11	-0.4572887209139125		0.034137214137214135	0.4975757575757575
trifluoperazine	-0.45575063406590705		0.035634095634095635	0.5041176470588236
L-685458	-0.45352491093508807		0.03787941787941788	0.5205714285714285
FSC231	-0.4501218898932584		0.04095634095634096	0.5472222222222223
GSK-J4	-0.4476027316021839		0.043243243243243246	0.551578947368421
MI-2	-0.44723367666429314		0.04357588357588357	0.551578947368421
epigallocatechin-3-monogallate	-0.4431581841416346		0.048066528066528065	0.5928205128205127
afatinib	-0.4404899266931289		0.05076923076923077	0.6104999999999999
ML029	-0.43658131837553465		0.05534303534303534	0.6244000000000001
ML203	-0.436485992411774		0.055426195426195424	0.6244000000000001
itraconazole	-0.43458032412827674		0.05771309771309771	0.6244000000000001
BRD-K27224038	-0.4341844587750974		0.05808731808731809	0.6244000000000001
zebularine	-0.43368255046660226		0.058877338877338876	0.6244000000000001
fluorouracil	-0.43156870079426596		0.06174636174636175	0.6244000000000001
PF-543	-0.43068090890984223		0.062993762993763	0.6244000000000001
SZ4TA2	-0.43026839228650493		0.06349272349272349	0.6244000000000001
erismodegib	-0.43009670902389846		0.0637006237006237	0.6244000000000001
Mdivi-1	-0.42917352588839924		0.06490644490644491	0.6244000000000001
VAF-347	-0.42613505630025245		0.06906444906444907	0.6271428571428571
GDC-0879	-0.4251337116552299		0.07043659043659044	0.6271428571428571
ibrutinib	-0.4249139201013265		0.07068607068607069	0.6271428571428571
RITA	-0.42462415043139323		0.07093555093555094	0.6271428571428571
HC-067047	-0.4230632954764781		0.07297297297297298	0.6271428571428571
indisulam	-0.42303335433551414		0.07301455301455302	0.6271428571428571
BRD-K28456706	-0.4210003401328178		0.07621621621621621	0.6389830508474577
BRD1835	-0.4194538861771716		0.0782952182952183	0.6389830508474577
isonicotinohydroxamic acid	-0.41938845043724926		0.07837837837837838	0.6389830508474577
BRD-A05715709	-0.41736291771389994		0.08191268191268192	0.6566666666666666
lomeguatrib	-0.4166078513806701		0.08361746361746361	0.6570149253731342
WAY-362450	-0.4149917986027574		0.08557172557172557	0.6570149253731342
etomoxir	-0.4134413120409949		0.0886070686070686	0.6570149253731342
erlotinib	-0.4129379033534695		0.0891891891891892	0.6570149253731342
serdemetan	-0.4119889226860327		0.09068607068607068	0.6570149253731342
nelarabine	-0.41192438613194077		0.09093555093555093	0.6570149253731342
SR8278	-0.4116407501620542		0.09151767151767151	0.6570149253731342
brivanib	-0.4107969523345639		0.0930977130977131	0.6585294117647058
NVP-TAE684	-0.40829356162952385		0.09775467775467775	0.6814492753623188
imatinib	-0.40731106185941934		0.09975051975051975	0.6854285714285714
barasertib	-0.40624739231310947		0.10187110187110188	0.6901408450704225
canertinib	-0.40519523030814714		0.10386694386694387	0.6928947368421052
thalidomide	-0.40429653150147554		0.10586278586278586	0.6928947368421052
BRD-A71883111	-0.40360471984610047		0.10698544698544699	0.6928947368421052
BRD-K09587429	-0.40253465819874457		0.10864864864864865	0.6928947368421052
decitabine	-0.40205533161898166		0.10948024948024948	0.6928947368421052
lapatinib	-0.4003743158971339		0.11264033264033264	0.6929113924050633
BMS-754807	-0.39990862296236807		0.11326403326403327	0.6929113924050633
GSK4112	-0.39967127370058836		0.1138045738045738	0.6929113924050633
ciclosporin	-0.3991073672519922		0.11525987525987526	0.693
azacitidine	-0.3972918111918117		0.11896049896049896	0.703047619047619
JW-480	-0.39544793589029215		0.12224532224532225	0.703047619047619
semagacestat	-0.3953101656905338		0.12237006237006237	0.703047619047619
pifithrin-mu	-0.39411586021418016		0.12453222453222454	0.703047619047619
hyperforin	-0.3914339768314989		0.1306860706860707	0.703047619047619
crizotinib	-0.39068483290663014		0.1318918918918919	0.703047619047619
fingolimod	-0.3904182385915932		0.13239085239085238	0.703047619047619
GSK-3 inhibitor IX	-0.3897121920458976		0.13347193347193348	0.703047619047619
HLI 373	-0.38959119309766554		0.13397089397089398	0.703047619047619
linifanib	-0.38950346273097725		0.13422037422037422	0.703047619047619
PX-12	-0.3889442426283571		0.13492723492723493	0.703047619047619
blebbistatin	-0.38782468708547		0.13721413721413722	0.703047619047619
BRD-K27986637	-0.3870410934848518		0.1390852390852391	0.703047619047619
elocalcitol	-0.3862283328018936		0.14066528066528067	0.703047619047619
cimetidine	-0.38537317205867505		0.14224532224532224	0.703047619047619
triptolide	-0.38424382873005214		0.14465696465696465	0.703047619047619
BRD-K85133207	-0.38281006815223445		0.14790020790020791	0.703047619047619
NVP-ADW742	-0.3824434082369901		0.14873180873180875	0.703047619047619
BCL-LZH-4	-0.38211989161297943		0.1491060291060291	0.703047619047619
tipifarnib-P2	-0.38210442074651696		0.1491060291060291	0.703047619047619
BIRB-796	-0.3811699003425408		0.1511018711018711	0.703047619047619
BRD-K33514849	-0.3810341747858216		0.15135135135135136	0.703047619047619
BRD-A94377914	-0.38066921776167795		0.15197505197505198	0.703047619047619
BRD-K04800985	-0.37996143971779484		0.15326403326403326	0.703047619047619
foretinib	-0.3797381817566591		0.15347193347193347	0.703047619047619
SJ-172550	-0.37804514893145746		0.1573804573804574	0.7141509433962264
fumonisin B1	-0.3769249193339901		0.15975051975051974	0.7159259259259259
NPC-26	-0.3763577804912818		0.16074844074844075	0.7159259259259259
veliparib	-0.3732884824697184		0.16686070686070686	0.7363302752293578
BMS-536924	-0.3719466163301007		0.1701039501039501	0.7384251968503937
BRD-K30019337	-0.36982306464709647		0.17409563409563408	0.7384251968503937
Bax channel blocker	-0.368917206946764		0.176008316008316	0.7384251968503937
BRD-K64610608	-0.3676693534173564		0.17975051975051975	0.7384251968503937
BRD-K17060750	-0.36754422153442334		0.17987525987525987	0.7384251968503937
tosedostat	-0.36667742808377707		0.18133056133056133	0.7384251968503937
BRD-K50799972	-0.3666244768256074		0.18145530145530145	0.7384251968503937
C6-ceramide	-0.3653868687846695		0.18449064449064448	0.7384251968503937
NSC19630	-0.3647337945869035		0.1864033264033264	0.7384251968503937
neratinib	-0.3636377644546066		0.18881496881496881	0.7384251968503937
sildenafil	-0.3630995726375774		0.18981288981288982	0.7384251968503937
VU0155056	-0.36226690965495306		0.1916839916839917	0.7384251968503937
AZD7545	-0.3621421073970299		0.1918087318087318	0.7384251968503937
dacarbazine	-0.36158404659514076		0.193014553014553	0.7384251968503937
Ko-143	-0.36145045032831513		0.19313929313929315	0.7384251968503937
cytarabine hydrochloride	-0.3611897197989672		0.19363825363825363	0.7384251968503937
BEC	-0.36077920366114286		0.19463617463617464	0.7384251968503937
gefitinib	-0.3605232663157852		0.19496881496881496	0.7384251968503937
CIL55A	-0.3594572106326568		0.19754677754677755	0.7390697674418604
navitoclax	-0.3590867896585422		0.1982120582120582	0.7390697674418604
BIX-01294	-0.35783143822014524		0.20187110187110188	0.7441481481481481
marinopyrrole A	-0.3573260365947911		0.2034095634095634	0.7441481481481481
COL-3	-0.35587128132452883		0.20644490644490646	0.7441481481481481
PDMP	-0.3550772898776863		0.20785862785862785	0.7441481481481481
AZ-3146	-0.3549517590429315		0.20814968814968815	0.7441481481481481
brefeldin A	-0.35461898363191174		0.20885654885654886	0.7441481481481481
pandacostat	-0.35324729988153		0.2118918918918919	0.7494117647058823
importazole	-0.3524923890117754		0.2135966735966736	0.74992700729927
AGK-2	-0.35113980068622125		0.2170893970893971	0.7545323741007194
TPCA-1	-0.3508948759837498		0.21804573804573804	0.7545323741007194
BRD-A86708339	-0.3473999729970665		0.2259043659043659	0.7761428571428571
BRD-K14844214	-0.34542698977136777		0.23193347193347194	0.7762913907284767
BRD-K84807411	-0.34484620415500317		0.2333056133056133	0.7762913907284767
spautin-1	-0.34429577343960915		0.23430353430353432	0.7762913907284767
belinostat	-0.3436176485558614		0.23584199584199583	0.7762913907284767
KU-0063794	-0.3428599324116396		0.23725571725571726	0.7762913907284767
AA-COCF3	-0.34169354680309916		0.24033264033264035	0.7762913907284767
bleomycin A2	-0.34167348251071245		0.24045738045738047	0.7762913907284767
tanespimycin	-0.3406754063368243		0.24266112266112266	0.7762913907284767
necrosulfonamide	-0.34057155554772617		0.24303534303534305	0.7762913907284767
CID-5951923	-0.34035247306942606		0.24324324324324326	0.7762913907284767
PAC-1	-0.3401572504529234		0.2437006237006237	0.7762913907284767
prochlorperazine	-0.3394590734054348		0.24548856548856549	0.7768421052631579
neuronal differentiation inducer III	-0.3376405852460307		0.2508939708939709	0.7832258064516129
BRD-K45681478	-0.3373180690799947		0.2518918918918919	0.7832258064516129
I-BET151	-0.3370750754694432		0.2523908523908524	0.7832258064516129
BRD-K63431240	-0.3359664339405242		0.2549272349272349	0.7860256410256409
vorinostat	-0.3350593989873538		0.25775467775467775	0.7896815286624204
SU11274	-0.3334045489491503		0.2626611226611227	0.799620253164557
tacedinaline	-0.33275049658286765		0.26449064449064447	0.8001257861635219
MK-2206	-0.33178782491807346		0.26744282744282744	0.8039999999999999
BRD-K80183349	-0.3307127536822438		0.27035343035343035	0.8077018633540372
ML334 diastereomer	-0.32962540057133694		0.27293139293139296	0.8103703703703704
SRT-1720	-0.32781078332172753		0.2774220374220374	0.8165853658536585
GSK525762A	-0.32740465475356806		0.2784199584199584	0.8165853658536585
LBH-589	-0.32396728272333825		0.28802494802494805	0.8290173410404623
NSC632839	-0.3230493396918766		0.29022869022869024	0.8290173410404623
ISOX	-0.32231352821238557		0.2920582120582121	0.8290173410404623
vorapaxar	-0.32228139960260094		0.2920997920997921	0.8290173410404623
MI-1	-0.32096148036009226		0.2951767151767152	0.8290173410404623
BRD-K34099515	-0.32092970520357783		0.2953014553014553	0.8290173410404623
BRD-K48334597	-0.3205454453646224		0.29634095634095636	0.8290173410404623
ciclopirox	-0.3199250947563645		0.2980873180873181	0.8290173410404623
BYL-719	-0.31986672638724917		0.29817047817047815	0.8290173410404623
N9-isopropylolomoucine	-0.31853227974813453		0.30145530145530147	0.8317777777777777
sunitinib	-0.31753096138397		0.3047817047817048	0.8317777777777777
piperlongumine	-0.31747601999953057		0.3049480249480249	0.8317777777777777
ML320	-0.3167478056303629		0.3071517671517672	0.8317777777777777
masitinib	-0.31549278621146476		0.31056133056133056	0.8317777777777777
SNX-2112	-0.31529900061633787		0.3108939708939709	0.8317777777777777
nutlin-3	-0.31514019788840636		0.3112681912681913	0.8317777777777777
entinostat	-0.31205091852921263		0.32153846153846155	0.854475138121547
MK-1775	-0.311027777031244		0.32449064449064446	0.8553005464480874
betulinic acid	-0.31056999174024896		0.3254054054054054	0.8553005464480874
KHS101	-0.30876546077825556		0.3306029106029106	0.8580208333333333
LY-2157299	-0.30747815230690856		0.33426195426195426	0.8580208333333333
valdecoxib	-0.30656793918921105		0.33696465696465694	0.8580208333333333
AT13387	-0.3064589329425241		0.33746361746361747	0.8580208333333333
PL-DI	-0.30585289043563063		0.339043659043659	0.8580208333333333
GW-405833	-0.3056433186624869		0.3400831600831601	0.8580208333333333
saracatinib	-0.3049359344819765		0.3418295218295218	0.8580208333333333
leptomycin B	-0.30470288939438916		0.34237006237006234	0.8580208333333333
bardoxolone methyl	-0.30458032115593414		0.3424948024948025	0.8580208333333333
StemRegenin 1	-0.30397756914832397		0.34465696465696466	0.8583589743589743
KU-60019	-0.30281953926171884		0.3478170478170478	0.8583589743589743
narciclasine	-0.3027759882579616		0.347983367983368	0.8583589743589743
WZ8040	-0.3018575615534441		0.3501871101871102	0.8593877551020408
SR-II-138A	-0.2995737492382827		0.35654885654885654	0.8705583756345177
JQ-1	-0.2974082902446201		0.36237006237006236	0.8755999999999999
vandetanib	-0.29719491425161854		0.362993762993763	0.8755999999999999
bosutinib	-0.2966591307664395		0.3640748440748441	0.8755999999999999
AZD7762	-0.2949389811687012		0.3694802494802495	0.8841791044776119
ML311	-0.29266528275599435		0.3744282744282744	0.8915841584158415
LRRK2-IN-1	-0.29056471468022926		0.3798336798336798	0.8999999999999999
MLN2238	-0.28716698109147765		0.3886070686070686	0.9082027649769584
SB-525334	-0.28572995359627695		0.3918087318087318	0.9082027649769584
cerulenin	-0.2848741289585295		0.3938045738045738	0.9082027649769584
myricetin	-0.28400839522494187		0.39575883575883575	0.9082027649769584
BRD8958	-0.2839480347904827		0.395966735966736	0.9082027649769584
SCH-79797	-0.2823422623597489		0.3998752598752599	0.9082027649769584
NVP-231	-0.2822360463125293		0.40012474012474014	0.9082027649769584
clofarabine	-0.2813158714200265		0.401995841995842	0.9082027649769584
VER-155008	-0.28036412967255714		0.40436590436590436	0.9082027649769584
BRD-K97651142	-0.2800478022948179		0.40540540540540543	0.9082027649769584
UNC0321	-0.27946147321947895		0.40686070686070686	0.9082027649769584
PF-573228	-0.2791635220605968		0.4074012474012474	0.9082027649769584
GDC-0941	-0.2787409336859625		0.409022869022869	0.9082027649769584
GSK461364	-0.2785510900140024		0.4097297297297297	0.9082027649769584
WP1130	-0.2735922236894478		0.4215800415800416	0.9280542986425339
GW-843682X	-0.2730310991222825		0.42266112266112266	0.9280542986425339
BMS-345541	-0.27147446660808716		0.4258212058212058	0.9280542986425339
gemcitabine	-0.2709942861150959		0.4264033264033264	0.9280542986425339
bortezomib	-0.26717184787602977		0.4347609147609148	0.9386725663716813
BRD-K34222889	-0.26563667868200425		0.43833679833679834	0.9386725663716813
cyanoquinoline 11	-0.2651779919938952		0.43945945945945947	0.9386725663716813
methylstat	-0.2649033538102364		0.4404158004158004	0.9386725663716813
KU 0060648	-0.26451611163951494		0.441039501039501	0.9386725663716813
BRD-K96970199	-0.2585825464014875		0.4520997920997921	0.9509090909090909
CR-1-31B	-0.257833962192078		0.45322245322245325	0.9509090909090909
BRD-K09344309	-0.2576640488225319		0.45334719334719337	0.9509090909090909
NVP-BSK805	-0.25610306043537173		0.4562577962577963	0.9509090909090909
SCH-529074	-0.25582490472361546		0.4566735966735967	0.9509090909090909
SB-743921	-0.25382815679427434		0.46095634095634097	0.9556896551724138
PRIMA-1	-0.24506085126210111		0.4721829521829522	0.9742016806722689
abiraterone	-0.23952471810217474		0.47767151767151766	0.9742016806722689
TG-101348	-0.23800844471084134		0.47875259875259873	0.9742016806722689
BRD-K96431673	-0.23410303008428615		0.48166320166320165	0.9742016806722689
BRD-K71935468	-0.23393426437277778		0.4818295218295218	0.9742016806722689
oligomycin A	-0.2335788491432157		0.48203742203742206	0.9742016806722689
methotrexate	-0.2225037351482814		0.48602910602910604	0.9754166666666666
fulvestrant	-0.22007935771282616		0.4866943866943867	0.9754166666666666
neopeltolide	0.21190742779867722		0.49363825363825364	0.985228215767635
BI-2536	0.2285630336284305		0.4982120582120582	0.9902479338842974
CHM-1	0.24403356604789425		0.49135135135135133	0.9888702928870292
obatoclax	0.24497335532685766		0.4903118503118503	0.9888702928870292
vincristine	0.24654463779052413		0.4881081081081081	0.9888702928870292
BRD-K70511574	0.2517713621213336		0.4805821205821206	0.9794915254237287
BRD4132	0.25636013008448766		0.47272349272349273	0.9675744680851064
sitagliptin	0.25772715808302893		0.47035343035343036	0.9668376068376068
AZD8055	0.26412431344338394		0.45725571725571723	0.9439484978540772
3-Cl-AHPC	0.26477875508737897		0.4560914760914761	0.9439484978540772
regorafenib	0.26629206249644755		0.45284823284823283	0.9429437229437229
PF-3758309	0.26652391141959597		0.4523076923076923	0.9429437229437229
KPT185	0.26678456296391245		0.4518087318087318	0.9429437229437229
topotecan	0.26774383610778757		0.44985446985446986	0.9429437229437229
HBX-41108	0.26809302617903413		0.44902286902286903	0.9429437229437229
TW-37	0.2693518139367408		0.4456133056133056	0.9429437229437229
parbendazole	0.2703593155395174		0.44303534303534303	0.9429437229437229
paclitaxel	0.2730281907038161		0.4367983367983368	0.9379464285714285
nakiterpiosin	0.2738348585732199		0.4341787941787942	0.9365022421524664
CD-437	0.27384954457776134		0.4341787941787942	0.9365022421524664
EX-527	0.2759035736035331		0.4281081081081081	0.9317647058823529
B02	0.27681310195814235		0.42586278586278586	0.9310909090909091
pevonedistat	0.2776709772655928		0.42345114345114343	0.9300456621004565
BRD9876	0.2815712091951686		0.4126403326403326	0.9104587155963302
KX2-391	0.2822358351344652		0.4104781704781705	0.9098617511520737
phloretin	0.2827698938775524		0.409022869022869	0.9098617511520737
SNS-032	0.2846894263029512		0.4032016632016632	0.9020465116279068
FQI-2	0.2862683026258075		0.39904365904365907	0.8969158878504673
cucurbitacin I	0.2873452508426583		0.3963825363825364	0.8951173708920188
parthenolide	0.28917047891628694		0.39122661122661123	0.8876415094339623
curcumin	0.2894976344829687		0.39018711018711016	0.8876415094339623
WZ4002	0.29103395098478285		0.384989604989605	0.8818095238095238
YK 4-279	0.2912593965397181		0.3841164241164241	0.8818095238095238
sirolimus	0.2934388199725111		0.3782120582120582	0.8746153846153846
teniposide	0.2945016661577148		0.3747609147609148	0.8708212560386474
rigosertib	0.2964318304091341		0.368024948024948	0.8593203883495145
SMER-3	0.2964496519614745		0.3679002079002079	0.8593203883495145
SN-38	0.2992947964139751		0.35817047817047815	0.8445098039215685
KW-2449	0.3011546477694674		0.3519334719334719	0.8338916256157635
cytochalasin B	0.30123854665958616		0.35172557172557173	0.8338916256157635
ML210	0.3012822653844169		0.35168399168399167	0.8338916256157635
mitomycin	0.3019195497029543		0.34952182952182953	0.8338916256157635
R428	0.30270126436334666		0.34735966735966733	0.8338916256157635
nintedanib	0.3029145935710596		0.34656964656964656	0.8338916256157635
quizartinib	0.3043331604922305		0.3420790020790021	0.8338916256157635
triazolothiadiazine	0.3055599894614491		0.338004158004158	0.8294897959183674
BRD-K35604418	0.30709434235269617		0.33326403326403325	0.822051282051282
daporinad	0.30717399985984817		0.3328898128898129	0.822051282051282
DBeQ	0.3074762858835776		0.33164241164241165	0.822051282051282
LY-2183240	0.3075243762521303		0.33155925155925153	0.822051282051282
STF-31	0.31004018628219815		0.3237006237006237	0.8151832460732984
NVP-BEZ235	0.3102981066527017		0.32316008316008316	0.8151832460732984
BRD-K94991378	0.3112121280012985		0.3210810810810811	0.8151832460732984
purmorphamine	0.3128093218263608		0.31525987525987526	0.806595744680851
MG-132	0.31386211622836346		0.3124324324324324	0.8036363636363635
MK-0752	0.3140503433932789		0.31176715176715175	0.8036363636363635
ceranib-2	0.3147196970253175		0.30956340956340955	0.8036363636363635
ML258	0.31481915059227555		0.3093139293139293	0.8036363636363635
PIK-93	0.3150622751780601		0.3084823284823285	0.8036363636363635
PHA-793887	0.31522693244961264		0.30785862785862783	0.8036363636363635
dexamethasone	0.31539172511699004		0.3071517671517672	0.8036363636363635
Ki8751	0.31622852814264135		0.30515592515592516	0.8036363636363635
ETP-46464	0.31653556245677555		0.3041995841995842	0.8036363636363635
