Name	Score	0.95 CI	p-value	FDR
Transglutaminase-M-V	0.5135100366493281	0.012936295462972003	8.658008658008658e-05	0.003333333333333333
TAZ-R-V	0.48546775882899873	0.012383234806723703	8.658008658008658e-05	0.003333333333333333
NF2-R-C	0.46293230352396275	0.014217319401258522	8.658008658008658e-05	0.003333333333333333
Caveolin-1-R-V	0.4624686601724769	0.01137479721207769	8.658008658008658e-05	0.003333333333333333
EGFR-R-V	0.4597401074195228	0.01084359475007402	8.658008658008658e-05	0.003333333333333333
PKC-alpha_pS657-R-C	0.4462935538925169	0.012502509286937141	8.658008658008658e-05	0.003333333333333333
PKC-alpha-M-V	0.4385005204432651	0.01430878575954599	0.0003463203463203463	0.011428571428571429
SETD2-R-QC	0.4239623786116361	0.014171017643317688	0.0009523809523809524	0.024444444444444446
PAI-1-M-E	0.4231589449146286	0.018731405259161043	0.0009523809523809524	0.024444444444444446
Myosin IIa pS1943-R-V	0.4158088802823123	0.011310917172193844	0.0012121212121212121	0.028
Heregulin-R-V	0.40816047592390625	0.04490062488711309	0.0015584415584415584	0.03272727272727273
MYH11-R-V	0.3973500711004464	0.014625234279840709	0.0025974025974025974	0.04923076923076923
MIG-6-M-V	0.3930212853728359	0.015682282967059865	0.0027705627705627706	0.04923076923076923
p62 Lck ligand-M-C	0.38723905409593734	0.012963072617630814	0.0038095238095238095	0.06285714285714286
YAP-R-E	0.38517352909514807	0.01184498142188171	0.004415584415584416	0.06705882352941177
N-Cadherin-R-V	0.3834800357493487	0.015630773968934746	0.004675324675324675	0.06705882352941177
PEA15-R-V	0.3822203095008161	0.010943724360989423	0.0049350649350649355	0.06705882352941177
Annexin_VII-M-V	0.3774723698697629	0.013027536948755473	0.005627705627705628	0.07157894736842105
VEGFR2-R-V	0.37563186744192517	0.012150411090923036	0.0058874458874458874	0.07157894736842105
c-Met-M-QC	0.37404918595047826	0.1262837424428629	0.006233766233766234	0.07200000000000001
Fibronectin-R-V	0.37247470913139946		0.006666666666666667	0.07333333333333333
G6PD-M-V	0.3704358425117943		0.0070995670995670996	0.07454545454545455
p14 Arf(BetA300-340A)-R-E	0.36819843951420217		0.00787878787878788	0.0791304347826087
PEA15_pS116-R-V	0.36313939826749586		0.009004329004329004	0.08666666666666666
PKC-delta_pS664-R-V	0.36178680281953124		0.009437229437229437	0.0872
PRDX1-R-V	0.3529870244855857		0.012121212121212121	0.10769230769230768
