Name	Score	0.95 CI	p-value	FDR
C19orf71	0.9438513686902391	0.028454229975095644	4.3492443187996084e-07	0.01
MFSD12	0.9179559817051054	0.03558278015374598	4.3492443187996084e-07	0.01
LYST-IT1	0.8297967204104648	0.017302532469979297	5.21909318255953e-06	0.03983379501385042
LYST	0.8217248111475497	0.013732539234109675	6.523866478199413e-06	0.03983379501385042
SH2B3	0.813426816915478	0.013713073212498709	6.958790910079373e-06	0.03983379501385042
PFKFB4	0.8049072766760125	0.03037848971380115	9.133413069479179e-06	0.03983379501385042
KAT2B	0.7919246968825636	0.01209855029856863	1.3047732956398826e-05	0.03983379501385042
BIN3	0.7884674163100156	0.012407362538456684	1.565727954767859e-05	0.03983379501385042
AP1S2	0.7852894763890077	0.018238274647850442	1.6962052843318474e-05	0.03983379501385042
ZCCHC24	0.7762757769954991	0.023059445470951668	2.00065238664782e-05	0.03983379501385042
INPP5F	0.7734452050510257	0.013449581056659925	2.2181146025878004e-05	0.03983379501385042
ATOX1	0.7702214344421499	0.014510842228605198	2.3050994889637926e-05	0.03983379501385042
OSTM1	0.7639577081655727	0.009716883005516729	2.435576818527781e-05	0.03983379501385042
SDC3	0.7621673837079392	0.01569642068105073	2.435576818527781e-05	0.03983379501385042
LDHAP2	0.7589914288877155	0.021693323495932372	2.566054148091769e-05	0.03983379501385042
TBC1D7	0.7554915748677864	0.014202284975760102	2.6965314776557572e-05	0.03983379501385042
FRMD4A	0.7537663025990068	0.02522973350292291	2.8705012504077418e-05	0.03983379501385042
PRR4	0.7537529377144891	0.042880779157638174	2.8705012504077418e-05	0.03983379501385042
RCAN1	0.7523916631345134	0.019785948563615933	2.8705012504077418e-05	0.03983379501385042
ZNF697	0.7496688308130514	0.01415136336903688	2.8705012504077418e-05	0.03983379501385042
RP11-342M3.5	0.7312954010631272		3.957812330107644e-05	0.03983379501385042
AC092143.2	0.7240748006851401		4.131782102859628e-05	0.03983379501385042
FBXO7	0.7224067671312963		4.21876698923562e-05	0.03983379501385042
PLOD3	0.7216092589252335		4.2622594324236166e-05	0.03983379501385042
ZEB2	0.7191517843153324		4.392736761987605e-05	0.03983379501385042
RP11-430B1.4	0.7179808091021809		4.5232140915515927e-05	0.03983379501385042
SRPX	0.7168112391416424		4.566706534739589e-05	0.03983379501385042
CNP	0.7161313670882505		4.653691421115581e-05	0.03983379501385042
ST3GAL4	0.7151664245976976		4.6971838643035776e-05	0.03983379501385042
ANKRD44	0.7061461059378724		5.1756007393715344e-05	0.03983379501385042
SLC26A2	0.7057904865609846		5.21909318255953e-05	0.03983379501385042
ETV5	0.7017167831923988		5.523540284875503e-05	0.03983379501385042
MYO5A	0.698979472010754		5.7844949440034795e-05	0.03983379501385042
PLEKHO2	0.6988174821203755		5.7844949440034795e-05	0.03983379501385042
RHOQP2	0.6987088426716102		5.7844949440034795e-05	0.03983379501385042
SPRY2	0.6969765243044999		5.871479830379471e-05	0.03983379501385042
RP1-40E16.8	0.6958756212841215		6.0019571599434596e-05	0.03983379501385042
ZEB2-AS1	0.6958255681451482		6.0019571599434596e-05	0.03983379501385042
SMPD1	0.6930293144191491		6.088942046319452e-05	0.03983379501385042
FAM86DP	0.6913884322361654		6.21941937588344e-05	0.03983379501385042
ATP6V1B2	0.6899815919909038		6.436881591823421e-05	0.03983379501385042
RHOQP3	0.6896461875523581		6.436881591823421e-05	0.03983379501385042
SLC35B4	0.6893964232410842		6.480374035011416e-05	0.03983379501385042
OPN1SW	0.689046850150384		6.56735892138741e-05	0.03983379501385042
CRTAP	0.6875199154216942		6.741328694139393e-05	0.03983379501385042
RHOQ	0.6871998512377515		6.741328694139393e-05	0.03983379501385042
GAPDHS	0.6842500275459785		7.00228335326737e-05	0.03983379501385042
RP11-550I24.2	0.6823113249896614		7.306730455583343e-05	0.03983379501385042
PCBP4	0.6804709777829824		7.567685114711318e-05	0.03983379501385042
FMNL3	0.6780483788283524		7.915624660215288e-05	0.03983379501385042
MBP	0.6770304748760402		7.959117103403283e-05	0.03983379501385042
TMTC2	0.6749472479105545		8.22007176253126e-05	0.03983379501385042
HMG20B	0.6738395711996067		8.350549092095248e-05	0.03983379501385042
LEPRE1	0.672932885743765		8.394041535283245e-05	0.03983379501385042
GPR3	0.6721021192092259		8.481026421659237e-05	0.03983379501385042
CD63	0.6716911554832699		8.481026421659237e-05	0.03983379501385042
RAB27A	0.6709419160502844		8.524518864847233e-05	0.03983379501385042
AC126365.1	0.6700949098878886		8.611503751223225e-05	0.03983379501385042
TUBB2A	0.6691597065432685		8.698488637599217e-05	0.03983379501385042
ITPKB	0.6676632517759585		8.78547352397521e-05	0.03983379501385042
MFI2	0.6668334982649933		8.872458410351202e-05	0.03983379501385042
KLF9	0.6664458631351668		8.872458410351202e-05	0.03983379501385042
RP11-390P2.4	0.6663541407353758		8.872458410351202e-05	0.03983379501385042
HPS5	0.6659468634174889		8.915950853539197e-05	0.03983379501385042
RP11-576I22.2	0.6652864973847425		8.959443296727194e-05	0.03983379501385042
PCDHGC3	0.6644145254369873		9.00293573991519e-05	0.03983379501385042
PYGB	0.662813827145668		9.22039795585517e-05	0.03983379501385042
CALU	0.6624481026698668		9.22039795585517e-05	0.03983379501385042
FAM210A	0.6624033399770499		9.22039795585517e-05	0.03983379501385042
PABPC4	0.6593241013155466		9.481352614983147e-05	0.03983379501385042
RPS27L	0.6557931922129338		9.829292160487115e-05	0.03983379501385042
SLC1A4	0.6543407202722453		0.00010133739262803089	0.03983379501385042
PLCD4	0.6539945787530077		0.00010177231705991084	0.03983379501385042
RAB8B	0.6536685565042507		0.00010264216592367076	0.03983379501385042
PPAP2A	0.6531917214999705		0.00010351201478743069	0.03983379501385042
POLR3G	0.6522886589068102		0.00010481678808307057	0.03983379501385042
SNX10	0.6519950464338048		0.00010525171251495052	0.03983379501385042
WDR91	0.6510001941043648		0.00010525171251495052	0.03983379501385042
KCNAB1	0.65092653285088		0.00010525171251495052	0.03983379501385042
TMEM55A	0.6504778918675741		0.00010568663694683049	0.03983379501385042
RP5-1086K13.1	0.6473521808382805		0.00011090573012939002	0.03983379501385042
SSH1	0.6471367896150233		0.00011134065456126997	0.03983379501385042
TBC1D16	0.646912127212477		0.00011134065456126997	0.03983379501385042
VAT1	0.6458667630396733		0.00011177557899314994	0.03983379501385042
IGSF8	0.6456791376467678		0.00011177557899314994	0.03983379501385042
ARMC9	0.6454181221555143		0.0001122105034250299	0.03983379501385042
SH3BP5	0.6443104800568695		0.00011395020115254974	0.03983379501385042
CEP170P1	0.6437996397226102		0.0001143851255844297	0.03983379501385042
ANKRD54	0.643794321587141		0.0001143851255844297	0.03983379501385042
IFFO1	0.6434057411499006		0.0001143851255844297	0.03983379501385042
LIX1L	0.6432004007136713		0.00011482005001630967	0.03983379501385042
RP11-6O2.4	0.6423641280304682		0.00011612482331194954	0.03983379501385042
TENC1	0.6412765908310416		0.00011742959660758943	0.03983379501385042
BCAS3	0.6407508323402431		0.00011916929433510927	0.03983379501385042
RP11-143A12.3	0.6405663412787571		0.00011916929433510927	0.03983379501385042
CDK4	0.6404456034730496		0.00011916929433510927	0.03983379501385042
ASAH1	0.6404434974763548		0.00011916929433510927	0.03983379501385042
CABLES1	0.6401388324178304		0.00011916929433510927	0.03983379501385042
SOX10	0.6400153072352853		0.00011916929433510927	0.03983379501385042
ABHD6	0.6394766516955444		0.00011960421876698924	0.03983379501385042
MTMR9LP	0.6386743730341728		0.00011960421876698924	0.03983379501385042
ANKS1A	0.6386490685280789		0.00011960421876698924	0.03983379501385042
RP11-1334A24.4	0.6384070544669894		0.00012003914319886919	0.03983379501385042
B4GALT6	0.6379442925157297		0.00012003914319886919	0.03983379501385042
PLXNB3	0.63734023360044		0.00012047406763074916	0.03983379501385042
BBS5	0.6369461710477833		0.000122213765358269	0.03983379501385042
PLOD1	0.6358486716569693		0.0001230836142220289	0.03983379501385042
PPM1F	0.634864790195319		0.0001243883875176688	0.03983379501385042
VIM	0.6337539160193962		0.00012699793410894856	0.03983379501385042
RP11-124N14.3	0.6332273192276701		0.00012743285854082854	0.03983379501385042
ARSB	0.6326218020696985		0.00012830270740458844	0.03983379501385042
MAFF	0.6326120710053034		0.00012830270740458844	0.03983379501385042
UBL3	0.6311289973234754		0.0001309122539958682	0.03983379501385042
QDPR	0.6308003438040923		0.0001309122539958682	0.03983379501385042
PRKD3	0.6299447328148255		0.00013265195172338807	0.03983379501385042
ANXA5	0.6297194392326351		0.00013308687615526803	0.03983379501385042
NEK10	0.6285950985207603		0.00013526149831466781	0.03983379501385042
SASH1	0.6282282297185494		0.00013613134717842775	0.03983379501385042
PAX3	0.6274990877335839		0.00013700119604218768	0.03983379501385042
RP11-726G1.1	0.6262093314006532		0.00013830596933782756	0.03983379501385042
DAAM2	0.6260271141658917		0.0001387408937697075	0.03983379501385042
FARP2	0.6251658962808897		0.00014091551592910733	0.03983379501385042
WIPI1	0.6250319699290405		0.00014091551592910733	0.03983379501385042
RGL1	0.6248037603158874		0.00014135044036098728	0.03983379501385042
RP11-104E19.1	0.6226138453977327		0.00014265521365662716	0.03983379501385042
SNRPB2	0.6211304532843115		0.00014526476024790693	0.03983379501385042
WIPF1	0.6202375930944689		0.0001465695335435468	0.03983379501385042
BACE2	0.6199456518706076		0.0001465695335435468	0.03983379501385042
ARHGAP31	0.6196901292852369		0.00014700445797542676	0.03983379501385042
ATP1A1	0.6188061993237501		0.00014917908013482658	0.03983379501385042
IKBIP	0.6182075886413858		0.00015004892899858648	0.03983379501385042
C6orf1	0.6173423018786052		0.00015135370229422637	0.03983379501385042
PLP1	0.6169850587462222		0.00015178862672610635	0.03983379501385042
PARVB	0.6169500967853448		0.00015178862672610635	0.03983379501385042
WWTR1-AS1	0.6164776024665258		0.0001522235511579863	0.03983379501385042
RP11-61I13.3	0.6162322017359534		0.00015265847558986625	0.03983379501385042
CSRP2	0.6156483992511782		0.00015396324888550613	0.03983379501385042
RHOJ	0.6155213921317358		0.00015396324888550613	0.03983379501385042
PNPLA3	0.615200649965351		0.00015526802218114602	0.03983379501385042
AP1M1	0.6150069482856928		0.000155702946613026	0.03983379501385042
PLEKHA4	0.6143838448400998		0.00015613787104490595	0.03983379501385042
RP11-973D8.4	0.6142287967481694		0.0001565727954767859	0.03983379501385042
C9orf96	0.6141995596369015		0.0001565727954767859	0.03983379501385042
ZCCHC17	0.6136340992378864		0.00015787756877242578	0.03983379501385042
RASSF8	0.613621910613945		0.00015787756877242578	0.03983379501385042
