	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
lung.carcinoma.non_small_cell_carcinoma	0.2227836551198899	0.0354105593459371	0.00571428571429	0.994285714286	0.00571428571429	0.28	0.994285714286	0.28
endometrium.carcinoma.adenocarcinoma	0.17433597317645133	0.0282231078995664	0.0142857142857	0.985714285714	0.0142857142857	0.35	0.994285714286	0.35
stomach.carcinoma.signet_ring_adenocarcinoma	0.16354575599638183	0.03590292351694631	0.0334693877551	0.966530612245	0.0334693877551	0.484	0.994285714286	0.484
ovary.carcinoma.endometrioid_carcinoma	0.16354575598890128	0.04285448546635527	0.0444897959184	0.955510204082	0.0444897959184	0.484	0.994285714286	0.484
stomach.carcinoma.undifferentiated_adenocarcinoma	0.16354575598395216	0.05192076232698353	0.049387755102	0.950612244898	0.049387755102	0.484	0.994285714286	0.484
ovary.carcinoma.clear_cell_carcinoma	0.16354575597823456	0.045624177472981024	0.0604081632653	0.939591836735	0.0604081632653	0.493333333333	0.994285714286	0.493333333333
endometrium	0.15446552532791435	0.029215687090058975	0.0820408163265	0.917959183673	0.0820408163265	0.542	0.994285714286	0.542
ovary	0.13711150353906204	0.04091533835362346	0.0930612244898	0.90693877551	0.0930612244898	0.542	0.994285714286	0.542
breast	0.09902121344928222	0.04539592367314744	0.110612244898	0.889387755102	0.110612244898	0.542	0.994285714286	0.542
breast.carcinoma.NS	0.09902121344928222	0.04539592367314744	0.110612244898	0.889387755102	0.110612244898	0.542	0.994285714286	0.542
carcinoma	0.08184351880672687	0.014946905900207488	0.160408163265	0.839591836735	0.160408163265	0.714545454545	0.994285714286	0.714545454545
stomach	0.0658587086661809	0.0385020534376961	0.190612244898	0.809387755102	0.190612244898	0.778333333333	0.994285714286	0.778333333333
ovary.carcinoma.NS	0.04579143193658234	0.03416872080728703	0.225714285714	0.774285714286	0.225714285714	0.850769230769	0.994285714286	0.850769230769
lung	0.011892581162109983	0.0275035872707222	0.258367346939	0.741632653061	0.258367346939	0.904285714286	0.994285714286	0.904285714286
lung.carcinoma.large_cell_carcinoma	0.011500944481409389	0.031143792832253752	0.277551020408	0.722448979592	0.277551020408	0.906666666667	0.994285714286	0.906666666667
pancreas.carcinoma.ductal_carcinoma	-0.0126999316126644	0.03894793367732605	0.305306122449	0.694693877551	0.694693877551	0.935	0.994285714286	0.994285714286
large_intestine.carcinoma.NS	-0.027054190253950804	0.03155696754627162	0.335102040816	0.664897959184	0.664897959184	0.963	0.987272727273	0.987272727273
lung.carcinoma.undifferentiated_carcinoma	-0.04710359751899251	0.04003994167298029	0.391428571429	0.608571428571	0.608571428571	0.963	0.931875	0.931875
carcinoid-endocrine_tumour	-0.04710359751903376	0.03405867483838376	0.39306122449	0.608163265306	0.608163265306	0.963	0.931875	0.931875
lung.carcinoid-endocrine_tumour.NS	-0.04710359751903376	0.03405867483838376	0.39306122449	0.608163265306	0.608163265306	0.963	0.931875	0.931875
urinary_tract.carcinoma.transitional_cell_carcinoma	-0.04710359752304417		0.478367346939	0.521632653061	0.521632653061	0.97829787234	0.881379310345	0.881379310345
urinary_tract	-0.04710359752304417		0.478367346939	0.521632653061	0.521632653061	0.97829787234	0.881379310345	0.881379310345
endometrium.carcinoma.clear_cell_carcinoma	-0.04710359752368173		0.500408163265	0.499591836735	0.499591836735	0.97829787234	0.881379310345	0.881379310345
oesophagus	-0.04710359752616127		0.587346938776	0.412653061224	0.412653061224	0.97829787234	0.777692307692	0.777692307692
oesophagus.carcinoma.squamous_cell_carcinoma	-0.04710359752616127		0.587346938776	0.412653061224	0.412653061224	0.97829787234	0.777692307692	0.777692307692
