	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
TAUBE_EMT	0.6641605867148976	0.015132413008345533	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
SMID_BREAST_CANCER_NORMAL_LIKE	0.6604607351827958	0.017021817316608904	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
GROGER_EMT	0.6556983288232084	0.016619499301566077	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE	0.648666635484347	0.015009182759629248	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
ONDER_CDH1_TARGETS_2	0.6363621035907626	0.01809223644348625	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
COLDREN_GEFITINIB_RESISTANCE	0.6343864104888121	0.017842042621557384	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
HEIDENBLAD_AMPLICON_12P11_12	0.6242632258634441	0.018033305266477527	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
GU_PDEF_TARGETS	0.6173594686519436	0.019326644285182302	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
HEIDENBLAD_AMPLICON_12P11_12_UP	0.6151019229003406	0.019180087552361447	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL	0.6145138494497953	0.01730439542177861	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
LIM_MAMMARY_STEM_CELL	0.6137628220565708	0.01803135839624535	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2	0.5997256226288074	0.021568769115846903	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.46448087431694e-05	1.0	5.46448087431694e-05
