	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
VX-680	-0.5529087446994213	0.14246982995545443	0.999293139293	0.000706860706861	0.000706860706861	0.999293139293	0.34	0.34
cyclophosphamide	-0.3652254222918808	0.11001225632025295	0.991101871102	0.00889812889813	0.00889812889813	0.993166666667	0.999376299376	0.999376299376
CIL41	-0.3532965266723915	0.0651292694873495	0.988773388773	0.0112266112266	0.0112266112266	0.992901878914	0.999376299376	0.999376299376
pitstop2	-0.3477030567085485	0.06359903140112494	0.98735966736	0.0126403326403	0.0126403326403	0.992901878914	0.999376299376	0.999376299376
BRD-K01737880	-0.3401140413077243	0.15016160896294256	0.986278586279	0.0137214137214	0.0137214137214	0.992901878914	0.999376299376	0.999376299376
austocystin D	-0.323368323756276	0.09804513363907824	0.980623700624	0.0193762993763	0.0193762993763	0.990924369748	0.999376299376	0.999376299376
CIL70	-0.3194862032778528	0.08797352196728724	0.978877338877	0.0211226611227	0.0211226611227	0.990924369748	0.999376299376	0.999376299376
istradefylline	-0.3144626844029441	0.08690581073701244	0.976673596674	0.0233264033264	0.0233264033264	0.990924369748	0.999376299376	0.999376299376
FSC231	-0.31444302228825644	0.10695294097620776	0.97659043659	0.0234095634096	0.0234095634096	0.990924369748	0.999376299376	0.999376299376
BRD-K78574327	-0.3039457566824774	0.059810531975039556	0.970852390852	0.0291476091476	0.0291476091476	0.98936440678	0.999376299376	0.999376299376
ML312	-0.3031749384525666	0.08835832123966149	0.970353430353	0.0296465696466	0.0296465696466	0.98936440678	0.999376299376	0.999376299376
saracatinib	-0.28578879533940615	0.01865857158637032	0.957089397089	0.0429106029106	0.0429106029106	0.979489361702	0.999376299376	0.999376299376
L-685458	-0.2849320212978566	0.06985079465089115	0.956465696466	0.0435343035343	0.0435343035343	0.979489361702	0.999376299376	0.999376299376
bleomycin A2	-0.2842564539845339	0.08232759316495596	0.956133056133	0.0438669438669	0.0438669438669	0.979489361702	0.999376299376	0.999376299376
BRD-K19103580	-0.2812866727542845	0.034698301824944947	0.953846153846	0.0461538461538	0.0461538461538	0.979489361702	0.999376299376	0.999376299376
dasatinib	-0.27987451388835544	0.026874939569282778	0.952390852391	0.0476091476091	0.0476091476091	0.979489361702	0.999376299376	0.999376299376
SKI-II	-0.27905104447772194	0.0966327179300618	0.951600831601	0.0483991683992	0.0483991683992	0.979489361702	0.999376299376	0.999376299376
BRD-K30019337	-0.2769872006569407	0.09472058389277682	0.94948024948	0.0505197505198	0.0505197505198	0.979489361702	0.999376299376	0.999376299376
IC-87114	-0.27578930487695524	0.02968604404141376	0.948232848233	0.0517671517672	0.0517671517672	0.979489361702	0.999376299376	0.999376299376
tivozanib	-0.27071469659090025	0.05189686719299726	0.942952182952	0.0570478170478	0.0570478170478	0.979489361702	0.999376299376	0.999376299376
foretinib	-0.2699992289401459		0.942079002079	0.057920997921	0.057920997921	0.979489361702	0.999376299376	0.999376299376
tacedinaline	-0.26754441556732894		0.939459459459	0.0605405405405	0.0605405405405	0.979489361702	0.999376299376	0.999376299376
CAY10594	-0.2657452251292614		0.937713097713	0.0622869022869	0.0622869022869	0.979489361702	0.999376299376	0.999376299376
BRD-K41334119	-0.2621727134023814		0.934095634096	0.0659043659044	0.0659043659044	0.979489361702	0.999376299376	0.999376299376
BRD-K37390332	-0.2589628171769881		0.928898128898	0.0711018711019	0.0711018711019	0.977680525164	0.999376299376	0.999376299376
SB-431542	-0.2557187191167603		0.92474012474	0.0752598752599	0.0752598752599	0.975438596491	0.999376299376	0.999376299376
BRD-K61166597	-0.25463489695930613		0.923201663202	0.0767983367983	0.0767983367983	0.975438596491	0.999376299376	0.999376299376
BRD-K44224150	-0.25338007781426775		0.921496881497	0.0785031185031	0.0785031185031	0.975438596491	0.999376299376	0.999376299376
968	-0.25311824434785807		0.921288981289	0.078711018711	0.078711018711	0.975438596491	0.999376299376	0.999376299376
necrostatin-7	-0.25301411173918575		0.921164241164	0.0788357588358	0.0788357588358	0.975438596491	0.999376299376	0.999376299376
palmostatin B	-0.249181597693118		0.914553014553	0.085446985447	0.085446985447	0.975388026608	0.999376299376	0.999376299376
fulvestrant	-0.2483690811494942		0.913014553015	0.0869854469854	0.0869854469854	0.975388026608	0.999376299376	0.999376299376
BRD-K27224038	-0.24606659903061812		0.909812889813	0.0901871101871	0.0901871101871	0.974654788419	0.999376299376	0.999376299376
VER-155008	-0.24601658546390295		0.909812889813	0.0901871101871	0.0901871101871	0.974654788419	0.999376299376	0.999376299376
CHIR-99021	-0.24597990588111576		0.909771309771	0.0902286902287	0.0902286902287	0.974654788419	0.999376299376	0.999376299376
tosedostat	-0.2454370468792318		0.908607068607	0.0913929313929	0.0913929313929	0.974654788419	0.999376299376	0.999376299376
BRD-K84807411	-0.2426959365134897		0.904407484407	0.0955925155925	0.0955925155925	0.974654788419	0.999376299376	0.999376299376
cytochalasin B	-0.239771188876928		0.898544698545	0.101455301455	0.101455301455	0.973423423423	0.999376299376	0.999376299376
Bax channel blocker	-0.23835105972748452		0.896632016632	0.103367983368	0.103367983368	0.973423423423	0.999376299376	0.999376299376
procarbazine	-0.2382301339320983		0.896465696466	0.103534303534	0.103534303534	0.973423423423	0.999376299376	0.999376299376
CAL-101	-0.23405634078799373		0.889563409563	0.110436590437	0.110436590437	0.970249433107	0.999376299376	0.999376299376
epigallocatechin-3-monogallate	-0.2334627542692253		0.888357588358	0.111642411642	0.111642411642	0.970249433107	0.999376299376	0.999376299376
BRD-K02492147	-0.23226256210180557		0.886195426195	0.113804573805	0.113804573805	0.970249433107	0.999376299376	0.999376299376
PF-543	-0.23045330612584755		0.882494802495	0.117505197505	0.117505197505	0.969132420091	0.999376299376	0.999376299376
NSC30930	-0.22999828546348353		0.881455301455	0.118544698545	0.118544698545	0.969132420091	0.999376299376	0.999376299376
BRD-K48477130	-0.22912748398138974		0.879792099792	0.120207900208	0.120207900208	0.969132420091	0.999376299376	0.999376299376
sildenafil	-0.22800972347372067		0.877879417879	0.122120582121	0.122120582121	0.969132420091	0.999376299376	0.999376299376
NSC23766	-0.22773405566965663		0.877255717256	0.122744282744	0.122744282744	0.969132420091	0.999376299376	0.999376299376
BRD-K51490254	-0.22144107241103406		0.864948024948	0.135051975052	0.135051975052	0.960831408776	0.999376299376	0.999376299376
imatinib	-0.22030589158591518		0.862577962578	0.137422037422	0.137422037422	0.960416666667	0.999376299376	0.999376299376
BRD-K94991378	-0.21642068764019998		0.853097713098	0.146902286902	0.146902286902	0.952064965197	0.999376299376	0.999376299376
PLX-4720	-0.21378488293148631		0.845987525988	0.154012474012	0.154012474012	0.946325581395	0.999376299376	0.999376299376
YM-155	-0.2120069358704458		0.841621621622	0.158378378378	0.158378378378	0.943636363636	0.999376299376	0.999376299376
NVP-ADW742	-0.21088167744529843		0.839002079002	0.160997920998	0.160997920998	0.942897196262	0.999376299376	0.999376299376
BRD-K51831558	-0.21017575395318644		0.837130977131	0.162869022869	0.162869022869	0.942897196262	0.999376299376	0.999376299376
necrostatin-1	-0.20943850555155677		0.835467775468	0.164532224532	0.164532224532	0.942897196262	0.999376299376	0.999376299376
temsirolimus	-0.20883375710737742		0.833804573805	0.166195426195	0.166195426195	0.942897196262	0.999376299376	0.999376299376
FGIN-1-27	-0.20828618922677508		0.832557172557	0.167442827443	0.167442827443	0.942897196262	0.999376299376	0.999376299376
O-6-benzylguanine	-0.208109136437249		0.832182952183	0.167817047817	0.167817047817	0.942897196262	0.999376299376	0.999376299376
semagacestat	-0.2064381980703755		0.827442827443	0.172557172557	0.172557172557	0.942897196262	0.999376299376	0.999376299376
SCH-529074	-0.20586687120417463		0.825821205821	0.174178794179	0.174178794179	0.942897196262	0.999376299376	0.999376299376
BRD-A02303741	-0.20568501602976938		0.825488565489	0.174511434511	0.174511434511	0.942897196262	0.999376299376	0.999376299376
pifithrin-mu	-0.2037492246863573		0.820374220374	0.179625779626	0.179625779626	0.941766109785	0.999376299376	0.999376299376
BRD-K55116708	-0.20317247838287852		0.818295218295	0.181704781705	0.181704781705	0.941626794258	0.999376299376	0.999376299376
MK-1775	-0.20300311907729138		0.817920997921	0.182079002079	0.182079002079	0.941626794258	0.999376299376	0.999376299376
cimetidine	-0.20033932176872554		0.810810810811	0.189189189189	0.189189189189	0.9375	0.999376299376	0.999376299376
tretinoin	-0.1999787045220609		0.809896049896	0.190103950104	0.190103950104	0.9375	0.999376299376	0.999376299376
