	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
alpha-Catenin-M-V	0.5900271834134804	0.010514758600167913	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
E-Cadherin-R-V	0.5511107891386322	0.015729618450601453	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
Claudin-7-R-V	0.5122921833201631	0.015094118346432072	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
Rab25-R-V	0.4878300706886994	0.019607772752697445	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
VAV1-R-E	0.4739779915210316	0.0209482558300323	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
Syk-M-V	0.4677937509990104	0.02525855169063279	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
CD49b-M-V	0.45451556305354973	0.021242465370819728	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
RASD2(SigHPA005839)-R-E	0.45299413357615326	0.02303601459816853	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
c-Met-M-QC	0.43970890284453545	0.07254297670892171	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
P-Cadherin-R-C	0.4382053115491015	0.021362781922332107	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
SETD2-R-QC	0.4267699439959478	0.02064278613135943	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
Annexin 1-M-E	0.4248027767934628	0.01938094371233868	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
Fibronectin-R-V	0.42255498872137154	0.024120505982262473	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0014285714285714286	1.0	0.0014285714285714286
beta-Catenin-R-V	0.3912597156560371	0.014231147560376252	8.65800865801e-05	0.999913419913	8.65800865801e-05	0.0014285714285714286	1.0	0.0014285714285714286
ADAR1-R-V	0.3764420692199398	0.025267699999775812	0.00017316017316	0.999826839827	0.00017316017316	0.0025	1.0	0.0025
A-Raf_pS299-R-C	0.3719808962309555	0.025083975575815296	0.00017316017316	0.999826839827	0.00017316017316	0.0025	1.0	0.0025
VEGFR2-R-V	0.36206579909469344	0.020683447752206485	0.000692640692641	0.999307359307	0.000692640692641	0.00888888888889	1.0	0.00888888888889
INPP4B-R-V	0.36177668211687247	0.025450349050399463	0.000692640692641	0.999307359307	0.000692640692641	0.00888888888889	1.0	0.00888888888889
Rab11-R-E	0.35852834823094076	0.022354423379796606	0.000865800865801	0.999134199134	0.000865800865801	0.0105263157895	1.0	0.0105263157895
STAT3_pY705-R-V	0.3476370982802007	0.021966011556532654	0.00147186147186	0.998528138528	0.00147186147186	0.0154545454545	1.0	0.0154545454545
BRCA2-R-C	0.3468409208143045		0.00147186147186	0.998528138528	0.00147186147186	0.0154545454545	1.0	0.0154545454545
GATA3-M-V	0.3467264268537323		0.00147186147186	0.998528138528	0.00147186147186	0.0154545454545	1.0	0.0154545454545
p14 Arf(BetIHC-00196)-R-E	0.34419095399860145		0.00164502164502	0.998354978355	0.00164502164502	0.0165217391304	1.0	0.0165217391304
