	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
SPANXN5	-0.7186328130591936	0.07825793558044841	0.99999882856	1.17144028583e-06	1.17144028583e-06	0.99999882856	0.02	0.02
PROK1	-0.6281592290377258	0.03496131216206176	0.999974228314	2.57716862883e-05	2.57716862883e-05	0.99999882856	0.16	0.16
CACFD1	-0.6207735888492856	0.05707325047739938	0.999971885433	2.811456686e-05	2.811456686e-05	0.99999882856	0.16	0.16
DBR1	-0.5899416798631041	0.05554703879325897	0.999921513501	7.84864991507e-05	7.84864991507e-05	0.99999882856	0.335	0.335
CTNNB1	-0.5761148640198219	0.06476047560070979	0.999892227494	0.000107772506296	0.000107772506296	0.99999882856	0.346666666667	0.346666666667
ZNF121	-0.5713173161310603	0.06356373911897327	0.99987817021	0.000121829789726	0.000121829789726	0.99999882856	0.346666666667	0.346666666667
CIRBP-AS1	-0.5524486063131078	0.06917243879505801	0.999783283547	0.000216716452879	0.000216716452879	0.99999882856	0.48	0.48
BIN1	-0.5518115816536956	0.029738004645355465	0.999775083465	0.00022491653488	0.00022491653488	0.99999882856	0.48	0.48
TXLNA	-0.5465210429466407	0.06720204491533845	0.999744626018	0.000255373982311	0.000255373982311	0.99999882856	0.484444444444	0.484444444444
NOMO1	-0.5235676514350026	0.03969511734096639	0.999536109647	0.000463890353189	0.000463890353189	0.99999882856	0.582	0.582
SYNGR4	-0.5198926206793437	0.11950779719418482	0.999495109237	0.000504890763193	0.000504890763193	0.99999882856	0.582	0.582
NOMO2	-0.5189417800088543	0.03791821300991275	0.999485737715	0.00051426228548	0.00051426228548	0.99999882856	0.582	0.582
ASZ1	-0.517489645757511	0.05539261304744634	0.999470508991	0.000529491009196	0.000529491009196	0.99999882856	0.582	0.582
SUPT20H	-0.5170574699043327	0.033194358622218055	0.99946699467	0.000533005330053	0.000533005330053	0.99999882856	0.582	0.582
COMMD2	-0.5144627084335804	0.07184721375352279	0.999445908745	0.000554091255198	0.000554091255198	0.99999882856	0.582	0.582
MRPS2	-0.5114053818670076	0.04626078882068557	0.999388508171	0.000611491829204	0.000611491829204	0.99999882856	0.582	0.582
ZNF229	-0.5087505063146978	0.039478357503645596	0.999361565044	0.000638434955778	0.000638434955778	0.99999882856	0.582	0.582
TMEM50B	-0.5078112831107634	0.04972954221867601	0.999333450477	0.000666549522638	0.000666549522638	0.99999882856	0.582	0.582
CACYBP	-0.5073997097281965	0.039755527820937435	0.999324078955	0.000675921044925	0.000675921044925	0.99999882856	0.582	0.582
MECP2	-0.5072247783275514	0.03335811422813017	0.999318221754	0.000681778246354	0.000681778246354	0.99999882856	0.582	0.582
EXTL2	-0.49974067963959573		0.999218649329	0.00078135067065	0.00078135067065	0.99999882856	0.592173913043	0.592173913043
SATB2	-0.49916255100562446		0.999208106367	0.000791893633222	0.000791893633222	0.99999882856	0.592173913043	0.592173913043
NSL1	-0.4983155013714934		0.999202249165	0.000797750834651	0.000797750834651	0.99999882856	0.592173913043	0.592173913043
KBTBD6	-0.4906379026839024		0.999052304809	0.000947695191238	0.000947695191238	0.99999882856	0.631327201051	0.631327201051
GATS	-0.4894027883909957		0.999025361682	0.000974638317812	0.000974638317812	0.99999882856	0.631327201051	0.631327201051
PNMA6A	-0.4840045856102194		0.998908217654	0.00109178234639	0.00109178234639	0.99999882856	0.631327201051	0.631327201051
TTC19	-0.4835359301436381		0.998897674691	0.00110232530897	0.00110232530897	0.99999882856	0.631327201051	0.631327201051
CD248	-0.4774648589259143		0.998741873133	0.00125812686698	0.00125812686698	0.99999882856	0.631327201051	0.631327201051
IRS4	-0.4768591263127916		0.998721958648	0.00127804135184	0.00127804135184	0.99999882856	0.631327201051	0.631327201051
NCK1	-0.4742993289879776		0.998662215194	0.00133778480642	0.00133778480642	0.99999882856	0.631327201051	0.631327201051
DIRAS3	-0.4722683916839986		0.998597785978	0.00140221402214	0.00140221402214	0.99999882856	0.631327201051	0.631327201051
SMIM11	-0.47085535738562184		0.99856615709	0.00143384290986	0.00143384290986	0.99999882856	0.631327201051	0.631327201051
SIGLEC1	-0.4706793016645936		0.998559128448	0.00144087155157	0.00144087155157	0.99999882856	0.631327201051	0.631327201051
FUNDC2	-0.46981776003888837		0.99852515668	0.00147484331986	0.00147484331986	0.99999882856	0.631327201051	0.631327201051
LPIN3	-0.468892614566478		0.998491184912	0.00150881508815	0.00150881508815	0.99999882856	0.631327201051	0.631327201051
SEC24D	-0.4676920329146441		0.998456041703	0.00154395829673	0.00154395829673	0.99999882856	0.631327201051	0.631327201051
BSPRY	-0.4669842375195372		0.998424412816	0.00157558718444	0.00157558718444	0.99999882856	0.631327201051	0.631327201051
CCDC88A	-0.465094184009145		0.998375212324	0.00162478767645	0.00162478767645	0.99999882856	0.631327201051	0.631327201051
AQP9	-0.4643664405038665		0.998351783518	0.00164821648216	0.00164821648216	0.99999882856	0.631327201051	0.631327201051
ATOH1	-0.46427717392054524		0.998349440637	0.00165055936274	0.00165055936274	0.99999882856	0.631327201051	0.631327201051
KAAG1	-0.46404945991634583		0.998343583436	0.00165641656417	0.00165641656417	0.99999882856	0.631327201051	0.631327201051
WARS2-IT1	-0.46397067128844294		0.998341240555	0.00165875944474	0.00165875944474	0.99999882856	0.631327201051	0.631327201051
